,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Economics: GDP
1997-01-01,7.575,0.084466565,0.8056064,183035114648.4,6.505,0.076832693,0.699121363,169278753531.98,6.867,0.057440282,0.870815624,146683499005.964,5.168,0.047726762,0.644514749,128889318946.587,5.891,0.041358786,0.479880578,111452869378.467,8.067,0.097880419,0.745627695,150180619366.605
1998-01-01,8.067,0.097880419,0.745627695,150180619366.605,7.575,0.084466565,0.8056064,183035114648.4,6.505,0.076832693,0.699121363,169278753531.98,6.867,0.057440282,0.870815624,146683499005.964,5.168,0.047726762,0.644514749,128889318946.587,7.823,0.137598501,1.622711069,113675561057.462
1999-01-01,7.823,0.137598501,1.622711069,113675561057.462,8.067,0.097880419,0.745627695,150180619366.605,7.575,0.084466565,0.8056064,183035114648.4,6.505,0.076832693,0.699121363,169278753531.98,6.867,0.057440282,0.870815624,146683499005.964,7.492,0.164825027,2.255660058,126669064386.717
2000-01-01,7.492,0.164825027,2.255660058,126669064386.717,7.823,0.137598501,1.622711069,113675561057.462,8.067,0.097880419,0.745627695,150180619366.605,7.575,0.084466565,0.8056064,183035114648.4,6.505,0.076832693,0.699121363,169278753531.98,7.59,0.149922702,2.966260302,126392233706.79
2001-01-01,7.59,0.149922702,2.966260302,126392233706.79,7.492,0.164825027,2.255660058,126669064386.717,7.823,0.137598501,1.622711069,113675561057.462,8.067,0.097880419,0.745627695,150180619366.605,7.575,0.084466565,0.8056064,183035114648.4,9.423,0.167524222,2.881761649,120296476180.402
2002-01-01,9.423,0.167524222,2.881761649,120296476180.402,7.59,0.149922702,2.966260302,126392233706.79,7.492,0.164825027,2.255660058,126669064386.717,7.823,0.137598501,1.622711069,113675561057.462,8.067,0.097880419,0.745627695,150180619366.605,7.916,0.187835653,2.81217593,134300851255.002
2003-01-01,7.916,0.187835653,2.81217593,134300851255.002,9.423,0.167524222,2.881761649,120296476180.402,7.59,0.149922702,2.966260302,126392233706.79,7.492,0.164825027,2.255660058,126669064386.717,7.823,0.137598501,1.622711069,113675561057.462,8.552,0.206114282,2.47341036,152280677649.055
2004-01-01,8.552,0.206114282,2.47341036,152280677649.055,7.916,0.187835653,2.81217593,134300851255.002,9.423,0.167524222,2.881761649,120296476180.402,7.59,0.149922702,2.966260302,126392233706.79,7.492,0.164825027,2.255660058,126669064386.717,9.981,0.253059754,3.377852738,172895749632.046
2005-01-01,9.981,0.253059754,3.377852738,172895749632.046,8.552,0.206114282,2.47341036,152280677649.055,7.916,0.187835653,2.81217593,134300851255.002,9.423,0.167524222,2.881761649,120296476180.402,7.59,0.149922702,2.966260302,126392233706.79,10.715,0.501087486,4.371886121,189318549680.384
2006-01-01,10.715,0.501087486,4.371886121,189318549680.384,9.981,0.253059754,3.377852738,172895749632.046,8.552,0.206114282,2.47341036,152280677649.055,7.916,0.187835653,2.81217593,134300851255.002,9.423,0.167524222,2.881761649,120296476180.402,11.18,0.586128125,5.151853594,221758196504.936
2007-01-01,11.18,0.586128125,5.151853594,221758196504.936,10.715,0.501087486,4.371886121,189318549680.384,9.981,0.253059754,3.377852738,172895749632.046,8.552,0.206114282,2.47341036,152280677649.055,7.916,0.187835653,2.81217593,134300851255.002,9.268,0.744679257,4.488359136,262942476722.425
2008-01-01,9.268,0.744679257,4.488359136,262942476722.425,11.18,0.586128125,5.151853594,221758196504.936,10.715,0.501087486,4.371886121,189318549680.384,9.981,0.253059754,3.377852738,172895749632.046,8.552,0.206114282,2.47341036,152280677649.055,8.954,0.961094251,2.783573901,291382991177.698
2009-01-01,8.954,0.961094251,2.783573901,291382991177.698,9.268,0.744679257,4.488359136,262942476722.425,11.18,0.586128125,5.151853594,221758196504.936,10.715,0.501087486,4.371886121,189318549680.384,9.981,0.253059754,3.377852738,172895749632.046,8.776,1.305501083,2.4600901,281710416557.292
2010-01-01,8.776,1.305501083,2.4600901,281710416557.292,8.954,0.961094251,2.783573901,291382991177.698,9.268,0.744679257,4.488359136,262942476722.425,11.18,0.586128125,5.151853594,221758196504.936,10.715,0.501087486,4.371886121,189318549680.384,10.121,1.313651456,7.253783506,341104820155.464
2011-01-01,10.121,1.313651456,7.253783506,341104820155.464,8.776,1.305501083,2.4600901,281710416557.292,8.954,0.961094251,2.783573901,291382991177.698,9.268,0.744679257,4.488359136,262942476722.425,11.18,0.586128125,5.151853594,221758196504.936,10.833,1.335339387,10.77440883,370819140946.553
2012-01-01,10.833,1.335339387,10.77440883,370819140946.553,10.121,1.313651456,7.253783506,341104820155.464,8.776,1.305501083,2.4600901,281710416557.292,8.954,0.961094251,2.783573901,291382991177.698,9.268,0.744679257,4.488359136,262942476722.425,9.502,1.911847914,10.52742564,397558222957.17
2013-01-01,9.502,1.911847914,10.52742564,397558222957.17,10.833,1.335339387,10.77440883,370819140946.553,10.121,1.313651456,7.253783506,341104820155.464,8.776,1.305501083,2.4600901,281710416557.292,8.954,0.961094251,2.783573901,291382991177.698,10.34,1.794222323,12.57179155,420333203150.426
