,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
2022-01-01,0.005917729269111019,0.027232459515029228,0.08084600343194603,56.818547858689946,2.337052793256045,1444248716.0027208
2023-01-01,0.005880218671942021,0.027759081348398947,0.08208643809659892,58.05342780581727,2.345918104097929,1518273154.2683344
2024-01-01,0.005707646038187111,0.027989829303579763,0.08191498206940037,59.891959029981734,2.4290986614071475,1628577301.1192665
2025-01-01,0.003862000407889087,0.027629736249688182,0.08290279255423293,60.98401339792385,2.6059402183617286,1695188256.0328612
2026-01-01,0.004155545185805442,0.02801237424368468,0.08924513587888504,62.66054737773568,2.5520735592097856,1756070937.079989
2027-01-01,0.006335585819242149,0.028469572846528804,0.09760014141863245,64.53488762655383,2.3934462000011876,1799045930.31101
2028-01-01,0.00652481329688227,0.028975750616314817,0.10002511863094911,66.3708965275971,2.4169015724258243,1887678620.995219
2029-01-01,0.006512773179504669,0.029301084556893852,0.10078291258629404,68.15673512904519,2.4674439033578706,1983873562.383462
2030-01-01,0.006255872313717363,0.0293730370636922,0.10425541645657328,69.87207642436825,2.5324914509558685,2070538822.147974
2031-01-01,0.0069564302897654855,0.029821562327773506,0.11112923697724288,71.68192555679846,2.504950218515981,2154527243.389863
