,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Population: Growth Rate,Economics: GDP
1992-01-01,0.51,0.0,0.112,3.113074711603629,8209129171.73649
1993-01-01,0.566,0.0,0.273,3.113074711603629,5751789915.05363
1994-01-01,0.569,0.0,0.264,3.0190882391108547,7148145375.78545
1995-01-01,0.75,0.0,0.17,2.9306105215214555,9046326059.98857
1996-01-01,0.764,0.0,0.15,2.8471710278146096,12045858436.2399
1997-01-01,0.948,0.0,0.144,2.7683513307766177,13115773737.5664
1998-01-01,0.945,0.0,0.146,2.6937780891961993,14093998843.7334
1999-01-01,0.959,0.0,0.1,2.623117134571157,12896013576.7324
2000-01-01,0.867,0.0,0.198,2.556068464702184,12705357103.0056
2001-01-01,0.945,0.0,0.172,3.457288090610254,12986007425.8781
2002-01-01,1.053,0.0,0.222,3.341754026630095,13147743910.7241
2003-01-01,0.941,0.0,0.189,3.233691994204937,14904517649.8476
2004-01-01,0.96,0.015,0.162,3.132399831623236,16095337093.8366
2005-01-01,1.024,0.0244,0.028,3.0372606830998574,18737897744.7948
2006-01-01,1.096,0.047,0.011,2.9477304258322814,25825524820.8064
2007-01-01,1.11,0.058,0.023,2.8633272570840655,31958195182.2406
2008-01-01,1.062,0.041,0.025,2.783623020406324,35895153327.8497
2009-01-01,1.057,0.027,0.039,2.7082359412974317,42347217912.9176
2010-01-01,1.068,0.029,0.03,2.636824512150433,45405587556.7313
2011-01-01,1.18,0.037,0.034,2.5692983712204134,46869457318.2541
2012-01-01,1.404,0.033,0.039,2.504939013935309,56396706005.9435
2013-01-01,1.476,0.044,0.049,2.4437251883001956,61671425370.0235
2014-01-01,1.693,0.031,0.158,2.3854317907792204,68285768554.472
2015-01-01,1.642,0.047,0.059,2.3298546961776365,70120413328.7838
2016-01-01,1.965,0.039,0.086,2.191730602024846,74815121314.9381
2017-01-01,1.9375,0.012,0.23,2.1447240291490073,82035800868.187
2018-01-01,2.4445,0.035,0.13,2.0996914422491204,92202956320.532
2019-01-01,2.7505,0.016,0.212,2.0565110556056463,100555485831.944
2020-01-01,2.7907,0.0165,0.1367,2.015070899773512,101013726529.063
2021-01-01,2.91175,0.0165,0.156934255,1.9637168087119208,101013726529.063
