,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,1.095,3.9,0.95,3.944,-2.95,2.182116584244403,1600000000.0
1993-01-01,1.177,4.4,1.251,3.944,-3.149,2.182116584244403,3340000000.0
1994-01-01,0.978,3.65,1.05,3.944,-2.6,2.1355171112014864,2564705882.35294
1995-01-01,1.206,3.0,0.98,3.944,-2.02,2.0908663035175237,2483809523.80952
1996-01-01,1.131,3.15,0.95,3.944,-2.2,2.0480444325953324,2378759975.44506
1997-01-01,0.935,2.7,0.95,3.924,-1.75,2.006941381368736,2450374944.86105
1998-01-01,1.257,2.8,1.3,3.924,-1.5,1.9674556987896508,2605660026.06591
1999-01-01,1.156,1.2,0.6,3.924,-0.6,1.9294937637764191,2450513196.48094
2000-01-01,1.401,1.0,0.0,3.921,-1.0,1.892969044119928,2904732773.48312
2001-01-01,1.491,1.85,0.0,3.921,-1.85,1.5294764957545506,3534803921.56863
2002-01-01,1.499,1.056,0.0,3.921,-1.056,1.5064359125485154,4461978498.86577
2003-01-01,1.468,1.065,0.0,3.921,-1.065,1.48407921035311,5977560877.44013
2004-01-01,1.627,1.173,0.0,3.9212,-1.173,1.462376386425043,6838351088.46688
2005-01-01,1.772,1.26,0.0,3.106,-1.26,1.4412991677382974,8103901996.37024
2006-01-01,1.821,1.34,0.0,2.852,-1.34,1.4208208881030169,10276674364.8961
2007-01-01,1.948,1.46,0.0,2.852,-1.46,1.4009163756134453,12664165103.1895
2008-01-01,2.073,1.476,0.0,2.852,-1.476,1.3815618494256323,19271523178.8079
2009-01-01,2.091,1.568,0.0,2.852,-1.568,1.3627348249749232,20214385964.9123
2010-01-01,2.129,2.41,0.0,3.001,-2.41,1.344414026839336,22583157894.7368
2011-01-01,2.187,2.55,0.0,3.201,-2.55,1.8924215589686384,29233333333.3333
2012-01-01,2.232,2.72,0.0,3.401,-2.72,1.8572741034262583,35164210526.3158
2013-01-01,2.382,2.85,0.0,3.801,-2.85,1.8234084112052305,39197543859.6491
2014-01-01,2.544,3.21,0.0,4.001,-3.21,1.790755622559369,43524210526.3158
2015-01-01,2.892,3.201,0.0,4.401,-3.201,1.7592517234074772,35799714285.7143
2016-01-01,2.892,3.201,0.0,4.675,-3.201,1.6787055979686634,36169428571.4286
2017-01-01,2.892,3.201,0.0,5.201,-3.201,1.6509903308625364,37926285714.2857
2018-01-01,2.892,3.201,0.0,5.201,-3.201,1.6241753528310592,40765428571.4286
2019-01-01,2.892,3.201,0.0,5.201,-3.201,1.5982174981415944,45231428571.4286
2020-01-01,2.892,3.201,0.0,5.205,-3.201,1.573076317181297,45231428571.4286
2021-01-01,2.9685,3.201009497,0.0,5.205,-3.201009497,1.442554905752205,45231428571.4286
