,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,0.061,0.0,2.358,0.325,3.1451808556159166,2639953230.54915
1993-01-01,0.086,0.0,2.358,0.78,3.1451808556159166,2729550591.08977
1994-01-01,0.198,0.0,2.358,0.705,3.049275622502007,2796549978.47183
1995-01-01,0.195,0.0,2.209,0.6,2.959046149603562,2899922841.66085
1996-01-01,0.343,0.0,2.308,0.65,2.874003072351652,3856799844.1609
1997-01-01,0.315,0.483,2.309,0.203,2.7937117119184673,4648832184.06736
1998-01-01,0.412,0.9,2.309,-0.315,2.71778464401394,5263877520.08489
1999-01-01,0.212,5.6,2.382,-5.45,2.6458754474046193,5976408043.77265
2000-01-01,0.979,8.435,2.397,-6.492,2.5776734192893884,5656473652.41147
2001-01-01,1.261,10.37,2.402,-5.57,2.985742469611263,5398568543.63492
2002-01-01,1.349,11.408,2.354,-6.376,2.8991804088728954,5677003239.29386
2003-01-01,1.388,9.643,2.354,-2.28,2.817496113528696,6303391143.83386
2004-01-01,1.641,10.402,2.354,-1.135,2.7402885890332342,7631120533.36168
2005-01-01,1.629,12.001,2.383,-2.413,2.6671996221409677,8542070109.70903
2006-01-01,2.075,12.825,2.383,-2.986,2.5979082238118876,9176889070.42298
2007-01-01,2.331,12.347,2.513,-3.779,2.532125916392651,10450843291.2931
2008-01-01,2.244,11.212,2.442,-3.005,2.469592719122389,12556195188.5962
2009-01-01,2.443,12.7,2.442,-4.36,2.4100737141522206,11914471497.1492
2010-01-01,2.457,12.075,2.442,-3.542,2.3533560974472465,11104648673.0016
2011-01-01,2.456,11.736,2.444,-2.933,3.2673730199500164,14381552432.9494
2012-01-01,2.243,9.74,2.452,-1.234,3.1639935483967263,16350804543.0515
2013-01-01,2.647,9.042,2.565,-0.654,3.066955281168362,16974320551.0213
2014-01-01,2.612,10.202,2.567,-2.002,2.9756921341099507,17716084107.5888
2015-01-01,2.596,11.561,2.6208,-3.3,2.8897034556801864,15950969018.9458
2016-01-01,2.492,11.711,2.6256,-3.328,3.2298575217021126,11936999283.1791
2017-01-01,2.603,10.01,2.644,-1.721,3.1288016851356044,13219084261.3664
2018-01-01,2.663,9.738,2.669,-1.411,3.0338776694877323,14845870050.7092
2019-01-01,2.768,10.771,2.749,-2.495,2.944543812298124,15384701797.9863
2020-01-01,2.768,12.29,2.765,-4.014,2.860320424234442,14019446610.1963
2021-01-01,2.746750397,11.94831591,2.765,-3.67231591,2.8726413958145613,14019446610.1963
