,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
2022-01-01,26.112334468104393,69.98051893395322,50.4555098648806,247.60722309773723,509.05424026351665,233.35946862313455,0.06039516193453212,3845207292262.2
2023-01-01,30.661636778000098,70.54303651013672,50.518300521956775,272.1202828964839,540.1106024697951,233.95130887118938,0.11314986427612092,3840928403192.3516
2024-01-01,24.753891675710964,82.33299591787667,48.01081105799708,273.8462153154529,546.2874335818034,232.61331481191303,0.07110914764356399,3720386145675.1826
2025-01-01,27.584021587595135,86.48259360294485,36.17778658547603,246.39411430529174,572.5945037425165,230.9951319982704,0.024863424301580492,3868009611168.491
2026-01-01,25.49528637214899,89.81629009220498,36.119636547218605,219.13858922474026,555.2542136280344,230.7030083478504,0.0018733874737600908,4149072478589.116
2027-01-01,25.35442824614595,70.39231200350963,43.83188437100011,218.21790977580906,539.5254634230272,230.68315254571453,-0.060194351175005295,4278441286014.42
2028-01-01,23.30139301003272,61.10257420255726,45.56248143130619,232.03776392722756,552.6993175111652,230.68818474920448,-0.010321054993285339,4516545459148.678
2029-01-01,20.74641233446974,76.02255481836195,36.116048714459865,232.3598047409369,566.7471003179775,230.02280056339703,0.1961081567058212,4415027816384.223
2030-01-01,19.50018447205434,100.55654111684014,27.98902371148821,247.11991510542322,581.4461298920156,229.66800255057336,0.2265815439333193,4354026231084.588
2031-01-01,22.969385195735477,120.05496384418996,24.62301552695255,261.1566257275096,570.2182313407774,230.8634201563837,0.3075885177409813,4092409308826.8086
