,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,0.00224,0.007,135.27791164658635,0.3850394874087377,222100576.345483,0.00196,0.007,134.75903614457832,0.3865277719605872,208871665.748682,0.00189,0.007,134.24016064257026,0.3880276064222686,195990986.21421,0.00175,0.007,133.72128514056226,0.3895391257680793,138489884.393064,0.00175,0.007,133.2024096385542,0.3895391257680793,137066290.550071,0.00238,0.007,135.79678714859438,0.38356261986331,214991452.314998
1998-01-01,0.00238,0.007,135.79678714859438,0.38356261986331,214991452.314998,0.00224,0.007,135.27791164658635,0.3850394874087377,222100576.345483,0.00196,0.007,134.75903614457832,0.3865277719605872,208871665.748682,0.00189,0.007,134.24016064257026,0.3880276064222686,195990986.21421,0.00175,0.007,133.72128514056226,0.3895391257680793,138489884.393064,0.00245,0.007,136.3156626506024,0.382097038452217,191504892.761394
1999-01-01,0.00245,0.007,136.3156626506024,0.382097038452217,191504892.761394,0.00238,0.007,135.79678714859438,0.38356261986331,214991452.314998,0.00224,0.007,135.27791164658635,0.3850394874087377,222100576.345483,0.00196,0.007,134.75903614457832,0.3865277719605872,208871665.748682,0.00189,0.007,134.24016064257026,0.3880276064222686,195990986.21421,0.00231,0.008,136.83453815261043,0.3806426142958909,199214633.22171
2000-01-01,0.00231,0.008,136.83453815261043,0.3806426142958909,199214633.22171,0.00245,0.007,136.3156626506024,0.382097038452217,191504892.761394,0.00238,0.007,135.79678714859438,0.38356261986331,214991452.314998,0.00224,0.007,135.27791164658635,0.3850394874087377,222100576.345483,0.00196,0.007,134.75903614457832,0.3865277719605872,208871665.748682,0.005,0.008,137.35341365461846,0.3791992204697196,204849612.592276
2001-01-01,0.005,0.008,137.35341365461846,0.3791992204697196,204849612.592276,0.00231,0.008,136.83453815261043,0.3806426142958909,199214633.22171,0.00245,0.007,136.3156626506024,0.382097038452217,191504892.761394,0.00238,0.007,135.79678714859438,0.38356261986331,214991452.314998,0.00224,0.007,135.27791164658635,0.3850394874087377,222100576.345483,0.004,0.01,137.9933065595716,0.4658733175443212,181116952.7897
2002-01-01,0.004,0.01,137.9933065595716,0.4658733175443212,181116952.7897,0.005,0.008,137.35341365461846,0.3791992204697196,204849612.592276,0.00231,0.008,136.83453815261043,0.3806426142958909,199214633.22171,0.00245,0.007,136.3156626506024,0.382097038452217,191504892.761394,0.00238,0.007,135.79678714859438,0.38356261986331,214991452.314998,0.004,0.0101,138.63319946452478,0.4637130023961738,182763693.916873
2003-01-01,0.004,0.0101,138.63319946452478,0.4637130023961738,182763693.916873,0.004,0.01,137.9933065595716,0.4658733175443212,181116952.7897,0.005,0.008,137.35341365461846,0.3791992204697196,204849612.592276,0.00231,0.008,136.83453815261043,0.3806426142958909,199214633.22171,0.00245,0.007,136.3156626506024,0.382097038452217,191504892.761394,0.004,0.0121,139.27309236947792,0.4615726300949218,202246959.690276
2004-01-01,0.004,0.0121,139.27309236947792,0.4615726300949218,202246959.690276,0.004,0.0101,138.63319946452478,0.4637130023961738,182763693.916873,0.004,0.01,137.9933065595716,0.4658733175443212,181116952.7897,0.005,0.008,137.35341365461846,0.3791992204697196,204849612.592276,0.00231,0.008,136.83453815261043,0.3806426142958909,199214633.22171,0.004,0.0123,139.9129852744311,0.4594519257571825,230657965.488586
2005-01-01,0.004,0.0123,139.9129852744311,0.4594519257571825,230657965.488586,0.004,0.0121,139.27309236947792,0.4615726300949218,202246959.690276,0.004,0.0101,138.63319946452478,0.4637130023961738,182763693.916873,0.004,0.01,137.9933065595716,0.4658733175443212,181116952.7897,0.005,0.008,137.35341365461846,0.3791992204697196,204849612.592276,0.008,0.0123,140.5528781793842,0.4573506195282973,261797606.149719
2006-01-01,0.008,0.0123,140.5528781793842,0.4573506195282973,261797606.149719,0.004,0.0123,139.9129852744311,0.4594519257571825,230657965.488586,0.004,0.0121,139.27309236947792,0.4615726300949218,202246959.690276,0.004,0.0101,138.63319946452478,0.4637130023961738,182763693.916873,0.004,0.01,137.9933065595716,0.4658733175443212,181116952.7897,0.008,0.0123,141.19277108433735,0.4552684464678597,292232117.078998
