,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,1.08,0.5,0.6,3.12,0.1,-0.7107591917348293,1255802469.1358
1993-01-01,0.663,0.0,0.575,3.12,0.575,-0.7107591917348293,1255802469.1358
1994-01-01,0.808,0.4,0.6,3.059,0.2,-0.7158471410888896,1255802469.1358
1995-01-01,0.843,0.672,0.4,2.827,-0.272,-0.7210084595334689,1866572953.73665
1996-01-01,1.565,2.061,0.385,2.827,-1.676,-0.7262447455860618,2786045321.63743
1997-01-01,1.801,2.684,0.387,2.827,-2.297,-0.73155764454047,3671816504.23851
1998-01-01,1.522,2.7,0.424,3.544,-2.276,-0.7369488501903909,4116699437.4041
1999-01-01,1.577,3.909,0.4,4.36,-3.509,-0.7424201066297814,4685733115.46841
2000-01-01,1.749,2.569,1.6,4.36,-0.969,-0.7479732101340205,5567405599.31206
2001-01-01,1.781,2.351,1.262,4.37,-1.089,-0.8811465897807119,5800774717.40538
2002-01-01,1.806,2.133,1.019,4.757,-1.114,-0.8889798050164424,6728771313.86805
2003-01-01,1.93,3.015,2.016,4.757,-0.999,-0.8969535408550349,8498560902.29181
2004-01-01,2.043,3.598,1.653,4.757,-1.945,-0.9050716127327032,10157553968.1525
2005-01-01,2.227,3.628,2.251,4.73,-1.377,-0.9133379754770652,11222953335.3385
2006-01-01,2.222,5.123,3.015,5.018,-2.108,-0.921756729731216,12864610862.5901
2007-01-01,2.218,4.344,3.743,5.018,-0.601,-0.9303321287366862,15778767410.8109
2008-01-01,1.966,5.057,3.412,4.725,-1.645,-0.9390685854984636,19112739397.886
2009-01-01,1.875,5.877,2.887,4.725,-2.99,-0.9479706803574242,17613836526.6393
2010-01-01,1.602,6.905,3.076,4.7243,-3.829,-0.9570431689979,17176781045.5967
2011-01-01,1.549,5.66,4.171,4.7246,-1.489,-1.504893090896873,18644723853.5807
2012-01-01,1.496,4.525,4.481,4.7276,-0.044,-1.5278861439134086,17221192466.1918
2013-01-01,1.448,6.862,3.167,4.7283,-3.695,-1.5515927140005812,18172335776.3301
2014-01-01,1.322,5.998,3.162,4.56253,-2.836,-1.5760465372416943,18560861388.6402
2015-01-01,1.394,6.007,3.872,4.67047,-2.135,-1.6012835105613052,16219819017.3607
2016-01-01,1.358,6.841,3.084,4.71921,-3.757,-1.1685475001730803,16914287348.9819
2017-01-01,1.347,5.187,3.346,4.81621,-1.841,-1.182363984962304,18079075770.6713
2018-01-01,1.349,7.698,3.092,4.71506,-4.606,-1.1965111013001664,20177409351.4329
2019-01-01,1.257,6.565,2.825,4.759,-3.74,-1.211000861039329,20201323260.0733
2020-01-01,1.23,7.317,3.266,4.775,-4.051,-1.225845865019733,19946496562.9733
2021-01-01,1.159142857,8.014,3.259,4.499,-4.755,-1.2789419742665682,19946496562.9733
