,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.068761,0.112,0.0,0.162,3.409058359747978,2857457860.05088
1993-01-01,0.067704,0.114,0.0,0.162,3.409058359747978,3220439044.18949
1994-01-01,0.070455,0.114,0.0,0.162,3.29667285808584,3990430446.71216
1995-01-01,0.073143,0.115,0.0,0.193,3.1914608349631695,5755818947.42125
1996-01-01,0.078232,0.115,0.0,0.19,3.0927567156621203,6044585326.938
1997-01-01,0.08757,0.115,0.0,0.265,2.9999747937599386,6269333313.17108
1998-01-01,0.08862,0.18,0.001,0.265,2.912597599918737,6584815846.52754
1999-01-01,0.08848,0.18,0.001,0.28,2.8301662457706924,5998563257.94659
2000-01-01,0.623,0.165,0.001,0.2962,2.7522723623789673,6193246837.09687
2001-01-01,0.621,0.161,0.001,0.3208,3.4641088890967717,5840503868.57246
2002-01-01,0.67,0.265,0.003,0.3211,3.348126153398698,6178563590.89254
2003-01-01,0.703,0.217,0.003,0.3217,3.239658306362632,6606884390.78019
2004-01-01,0.749,0.193,0.002,0.3223,3.1379978968440256,7939487473.86318
2005-01-01,0.763,0.063,0.002,0.372,3.042523571169749,9239221858.55839
2006-01-01,0.639,0.053,0.049,0.432,2.952687362192104,9977647644.69953
2007-01-01,0.794,0.066,0.06,0.454,2.8680041656459205,11902564401.3238
2008-01-01,0.907,0.065368,0.043,0.569,2.78804297692765,14440404021.4881
2009-01-01,0.876,0.082041,0.028,0.627,2.7124195540462392,25127805566.4346
2010-01-01,0.962,0.075,0.032,0.651,2.6407902431107697,26673441667.2778
2011-01-01,0.849,0.089,0.039,0.685,3.175852570400696,27871725205.585
2012-01-01,0.919,0.099,0.035,0.895,3.078096755472598,27305915761.2794
2013-01-01,0.947,0.106,0.046,0.9081,2.986179268302366,28915786996.5408
2014-01-01,0.981,0.1677,0.033,0.9356,2.8995922457932077,32612397758.4418
2015-01-01,0.822,0.121,0.048,0.9591,2.8178850688417088,32387183844.6574
2016-01-01,0.913,0.163,0.048,0.9611,3.6967682565440314,29203988814.8973
2017-01-01,1.05165,0.3164,0.023,1.004,3.564979235802499,30744473911.5312
2018-01-01,1.02892,0.2331,0.035,1.0838,3.442263265157961,32927025573.4296
2019-01-01,1.15727,0.302,0.023,1.0949,3.3277145689806304,35353060634.2022
2020-01-01,1.126898,0.222,0.021,1.4219,3.2205440552535194,37600368180.9399
2021-01-01,1.126898,0.222,0.021,1.4599,3.2034668651865905,37600368180.9399
