,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Economics: GDP
1997-01-01,0.043,0.707,1.953,5115602836.87943,0.069,0.65,1.779,4734020036.68689,0.048,0.475,1.515,4087337959.93191,0.064,0.469,1.39,4105706151.75145,0.087,0.417,1.237,4183548189.07305,0.029,0.707,2.234,5197332974.13793
1998-01-01,0.029,0.707,2.234,5197332974.13793,0.043,0.707,1.953,5115602836.87943,0.069,0.65,1.779,4734020036.68689,0.048,0.475,1.515,4087337959.93191,0.064,0.469,1.39,4105706151.75145,0.029,0.769,2.324,4051147227.53346
1999-01-01,0.029,0.769,2.324,4051147227.53346,0.029,0.707,2.234,5197332974.13793,0.043,0.707,1.953,5115602836.87943,0.069,0.65,1.779,4734020036.68689,0.048,0.475,1.515,4087337959.93191,0.028,0.77,2.26,4600000000.0
2000-01-01,0.028,0.77,2.26,4600000000.0,0.029,0.769,2.324,4051147227.53346,0.029,0.707,2.234,5197332974.13793,0.043,0.707,1.953,5115602836.87943,0.069,0.65,1.779,4734020036.68689,0.029,0.763,2.36142,6001153306.2645
2001-01-01,0.029,0.763,2.36142,6001153306.2645,0.028,0.77,2.26,4600000000.0,0.029,0.769,2.324,4051147227.53346,0.029,0.707,2.234,5197332974.13793,0.043,0.707,1.953,5115602836.87943,0.307,0.761,2.11726,5601090584.36122
2002-01-01,0.307,0.761,2.11726,5601090584.36122,0.029,0.763,2.36142,6001153306.2645,0.028,0.77,2.26,4600000000.0,0.029,0.769,2.324,4051147227.53346,0.029,0.707,2.234,5197332974.13793,0.34,0.761,2.19894,5843329107.56171
2003-01-01,0.34,0.761,2.19894,5843329107.56171,0.307,0.761,2.11726,5601090584.36122,0.029,0.763,2.36142,6001153306.2645,0.028,0.77,2.26,4600000000.0,0.029,0.769,2.324,4051147227.53346,0.392,0.86,2.60754,6557333084.60567
2004-01-01,0.392,0.86,2.60754,6557333084.60567,0.34,0.761,2.19894,5843329107.56171,0.307,0.761,2.11726,5601090584.36122,0.029,0.763,2.36142,6001153306.2645,0.028,0.77,2.26,4600000000.0,0.122,0.874,2.94616,7872333215.00414
2005-01-01,0.122,0.874,2.94616,7872333215.00414,0.392,0.86,2.60754,6557333084.60567,0.34,0.761,2.19894,5843329107.56171,0.307,0.761,2.11726,5601090584.36122,0.029,0.763,2.36142,6001153306.2645,0.174,0.759,2.89416,9531402847.87311
2006-01-01,0.174,0.759,2.89416,9531402847.87311,0.122,0.874,2.94616,7872333215.00414,0.392,0.86,2.60754,6557333084.60567,0.34,0.761,2.19894,5843329107.56171,0.307,0.761,2.11726,5601090584.36122,0.176,0.759,2.92412,11470703002.0769
2007-01-01,0.176,0.759,2.92412,11470703002.0769,0.174,0.759,2.89416,9531402847.87311,0.122,0.874,2.94616,7872333215.00414,0.392,0.86,2.60754,6557333084.60567,0.34,0.761,2.19894,5843329107.56171,0.165,0.759,3.0263,12247694247.2298
2008-01-01,0.165,0.759,3.0263,12247694247.2298,0.176,0.759,2.92412,11470703002.0769,0.174,0.759,2.89416,9531402847.87311,0.122,0.874,2.94616,7872333215.00414,0.392,0.86,2.60754,6557333084.60567,0.164,0.759,3.05362,14393099068.5859
2009-01-01,0.164,0.759,3.05362,14393099068.5859,0.165,0.759,3.0263,12247694247.2298,0.176,0.759,2.92412,11470703002.0769,0.174,0.759,2.89416,9531402847.87311,0.122,0.874,2.94616,7872333215.00414,0.218,0.768,3.17728,10732366286.2643
2010-01-01,0.218,0.768,3.17728,10732366286.2643,0.164,0.759,3.05362,14393099068.5859,0.165,0.759,3.0263,12247694247.2298,0.176,0.759,2.92412,11470703002.0769,0.174,0.759,2.89416,9531402847.87311,0.368,0.889,3.19648,13707370737.0737
2011-01-01,0.368,0.889,3.19648,13707370737.0737,0.218,0.768,3.17728,10732366286.2643,0.164,0.759,3.05362,14393099068.5859,0.165,0.759,3.0263,12247694247.2298,0.176,0.759,2.92412,11470703002.0769,0.267,0.895,3.23262,18525319977.7407
2012-01-01,0.267,0.895,3.23262,18525319977.7407,0.368,0.889,3.19648,13707370737.0737,0.218,0.768,3.17728,10732366286.2643,0.164,0.759,3.05362,14393099068.5859,0.165,0.759,3.0263,12247694247.2298,0.243,0.915,3.45132,19047940300.8963
2013-01-01,0.243,0.915,3.45132,19047940300.8963,0.267,0.895,3.23262,18525319977.7407,0.368,0.889,3.19648,13707370737.0737,0.218,0.768,3.17728,10732366286.2643,0.164,0.759,3.05362,14393099068.5859,0.409,0.916,3.729,18093829923.2737
