,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Economics: GDP
2022-01-01,0.5719906787510171,0.5787208139000888,0.3531903385796141,389.4514821834268,14731914551.11711
2023-01-01,0.577505564963174,0.5701014551889758,0.35518181130454823,390.12046639990496,14877887130.764154
2024-01-01,0.6217974043006055,0.5797317908247023,0.3687299472213754,399.3390787324144,16095931585.812801
2025-01-01,0.580021808385503,0.5488559943385798,0.3566274767640961,389.58135318885314,14934457556.67068
2026-01-01,0.5486012526976426,0.5228536163102169,0.34761111036089576,382.10672974419714,14059270780.691898
2027-01-01,0.5707579852804676,0.5404439427766976,0.3539922832066046,387.34121870589047,14675991359.370342
2028-01-01,0.5751030621438755,0.5438898429950907,0.35524378598632245,388.36755620369195,14796932076.770828
2029-01-01,0.6128680965114685,0.5809686252999298,0.3659000314855432,397.6355988632976,15852213444.991306
2030-01-01,0.5764558220187869,0.5433975017191888,0.3556819684112529,388.61075442854013,14833677842.382147
2031-01-01,0.5489680497486122,0.5148077399756739,0.3479753581804259,381.78678400819626,14064649595.184116
