,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Population: Growth Rate_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Population: Growth Rate_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Population: Growth Rate_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Population: Growth Rate_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Population: Growth Rate_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Electricity: Net Generation,Population: Growth Rate,Population: Percentage,Economics: GDP
1997-01-01,0.078,40.87,0.0,3.967,44.915,2.3186809907945336,0.0833967470257047,9788391780.52421,0.666,37.828,0.0,3.263,41.757,2.37371998485813,0.0826786483582894,9062131475.02318,0.546,32.773,0.001,2.753,36.071,2.431435454152247,0.0819396009942272,7870982004.8195,0.475,28.121,0.003,2.574,31.167,2.492027494172808,0.0811786746774217,7249533620.30614,0.043,24.619,0.002,2.521,27.181,2.492027494172808,0.0803948832451464,7157424031.06045,1.178,45.673,0.0,3.549,50.4,2.26613651421398,0.084094775252334,9965225678.05093
1998-01-01,1.178,45.673,0.0,3.549,50.4,2.26613651421398,0.084094775252334,9965225678.05093,0.078,40.87,0.0,3.967,44.915,2.3186809907945336,0.0833967470257047,9788391780.52421,0.666,37.828,0.0,3.263,41.757,2.37371998485813,0.0826786483582894,9062131475.02318,0.546,32.773,0.001,2.753,36.071,2.431435454152247,0.0819396009942272,7870982004.8195,0.475,28.121,0.003,2.574,31.167,2.492027494172808,0.0811786746774217,7249533620.30614,1.387,45.213,0.0,3.822,50.422,2.2159207255268014,0.0847735628771675,9260481572.42462
1999-01-01,1.387,45.213,0.0,3.822,50.422,2.2159207255268014,0.0847735628771675,9260481572.42462,1.178,45.673,0.0,3.549,50.4,2.26613651421398,0.084094775252334,9965225678.05093,0.078,40.87,0.0,3.967,44.915,2.3186809907945336,0.0833967470257047,9788391780.52421,0.666,37.828,0.0,3.263,41.757,2.37371998485813,0.0826786483582894,9062131475.02318,0.546,32.773,0.001,2.753,36.071,2.431435454152247,0.0819396009942272,7870982004.8195,1.466,46.036,0.0,3.947,51.449,2.167882175103659,0.0854338946133988,8837070235.51892
2000-01-01,1.466,46.036,0.0,3.947,51.449,2.167882175103659,0.0854338946133988,8837070235.51892,1.387,45.213,0.0,3.822,50.422,2.2159207255268014,0.0847735628771675,9260481572.42462,1.178,45.673,0.0,3.549,50.4,2.26613651421398,0.084094775252334,9965225678.05093,0.078,40.87,0.0,3.967,44.915,2.3186809907945336,0.0833967470257047,9788391780.52421,0.666,37.828,0.0,3.263,41.757,2.37371998485813,0.0826786483582894,9062131475.02318,1.428,47.358,0.0,4.183,52.969,2.1218822676466806,0.0860765130746534,8855705139.55857
2001-01-01,1.428,47.358,0.0,4.183,52.969,2.1218822676466806,0.0860765130746534,8855705139.55857,1.466,46.036,0.0,3.947,51.449,2.167882175103659,0.0854338946133988,8837070235.51892,1.387,45.213,0.0,3.822,50.422,2.2159207255268014,0.0847735628771675,9260481572.42462,1.178,45.673,0.0,3.549,50.4,2.26613651421398,0.084094775252334,9965225678.05093,0.078,40.87,0.0,3.967,44.915,2.3186809907945336,0.0833967470257047,9788391780.52421,1.455,39.137,0.0,4.284,44.876,1.2584246242890385,0.0860071740645828,8495806432.18467
2002-01-01,1.455,39.137,0.0,4.284,44.876,1.2584246242890385,0.0860071740645828,8495806432.18467,1.428,47.358,0.0,4.183,52.969,2.1218822676466806,0.0860765130746534,8855705139.55857,1.466,46.036,0.0,3.947,51.449,2.167882175103659,0.0854338946133988,8837070235.51892,1.387,45.213,0.0,3.822,50.422,2.2159207255268014,0.0847735628771675,9260481572.42462,1.178,45.673,0.0,3.549,50.4,2.26613651421398,0.084094775252334,9965225678.05093,1.561,41.777,0.0,4.406,47.744,1.242785110432342,0.0859396449156542,7196260656.84556
2003-01-01,1.561,41.777,0.0,4.406,47.744,1.242785110432342,0.0859396449156542,7196260656.84556,1.455,39.137,0.0,4.284,44.876,1.2584246242890385,0.0860071740645828,8495806432.18467,1.428,47.358,0.0,4.183,52.969,2.1218822676466806,0.0860765130746534,8855705139.55857,1.466,46.036,0.0,3.947,51.449,2.167882175103659,0.0854338946133988,8837070235.51892,1.387,45.213,0.0,3.822,50.422,2.2159207255268014,0.0847735628771675,9260481572.42462,1.883,45.18,0.0,4.206333333,51.26933333,1.227529555885657,0.0858738556802538,7691367471.17992
2004-01-01,1.883,45.18,0.0,4.206333333,51.26933333,1.227529555885657,0.0858738556802538,7691367471.17992,1.561,41.777,0.0,4.406,47.744,1.242785110432342,0.0859396449156542,7196260656.84556,1.455,39.137,0.0,4.284,44.876,1.2584246242890385,0.0860071740645828,8495806432.18467,1.428,47.358,0.0,4.183,52.969,2.1218822676466806,0.0860765130746534,8855705139.55857,1.466,46.036,0.0,3.947,51.449,2.167882175103659,0.0854338946133988,8837070235.51892,2.202,45.005,0.0,4.21,51.417,1.2126439924703931,0.0858097399693759,9624440836.29309
2005-01-01,2.202,45.005,0.0,4.21,51.417,1.2126439924703931,0.0858097399693759,9624440836.29309,1.883,45.18,0.0,4.206333333,51.26933333,1.227529555885657,0.0858738556802538,7691367471.17992,1.561,41.777,0.0,4.406,47.744,1.242785110432342,0.0859396449156542,7196260656.84556,1.455,39.137,0.0,4.284,44.876,1.2584246242890385,0.0860071740645828,8495806432.18467,1.428,47.358,0.0,4.183,52.969,2.1218822676466806,0.0860765130746534,8855705139.55857,2.368,43.792,0.002,4.499,50.657,1.1981151214275405,0.085747234729158,10737500188.1123
2006-01-01,2.368,43.792,0.002,4.499,50.657,1.1981151214275405,0.085747234729158,10737500188.1123,2.202,45.005,0.0,4.21,51.417,1.2126439924703931,0.0858097399693759,9624440836.29309,1.883,45.18,0.0,4.206333333,51.26933333,1.227529555885657,0.0858738556802538,7691367471.17992,1.561,41.777,0.0,4.406,47.744,1.242785110432342,0.0859396449156542,7196260656.84556,1.455,39.137,0.0,4.284,44.876,1.2584246242890385,0.0860071740645828,8495806432.18467,2.64,45.707,0.00063,4.90263,53.249,1.1839302737901023,0.0856862800340468,13429430050.261
