,Electricity: Distribution Losses,Population: Percentage,Economics: GDP
2022-01-01,0.11182092978252683,0.007695108295287928,1732380409.352698
2023-01-01,0.1224335494005446,0.007691098025830534,1928881709.7570972
2024-01-01,0.12134129718177833,0.007690398447917212,1914406861.4139838
2025-01-01,0.11457727460538147,0.007693525537996974,1777721622.3039331
2026-01-01,0.10647416343711869,0.007697616538990467,1694324481.5010722
2027-01-01,0.10760105502958528,0.007698008695601249,1740877408.9686742
2028-01-01,0.11889866555348404,0.00769336015419162,1889238936.4843073
2029-01-01,0.11782389428316314,0.00769246873200472,1874958207.04992
2030-01-01,0.11013550647171438,0.007695472448718175,1771884155.540025
2031-01-01,0.10433600787540617,0.007698665096686125,1707899333.3642447
