,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Economics: GDP
2022-01-01,87.71066911831572,0.3714268637952597,34.802001311620685,1488385657527.2654
2023-01-01,94.272919088273,0.36815923166777437,33.83084580212047,1750324674590.7427
2024-01-01,92.44125105562439,0.3384566030386129,34.152607242944676,1779575854517.71
2025-01-01,94.54652107174506,0.4053281627429898,34.50709349077229,1886880013913.1575
2026-01-01,90.59510085660827,0.45418115562773176,35.25646574195134,1760538410587.6763
2027-01-01,83.29518809592484,0.39270982091152123,36.22339636201295,1512182110355.7134
2028-01-01,88.90522066048027,0.4158140849666249,35.364192268399236,1704420442316.2856
2029-01-01,88.79682926660841,0.41618450701515597,35.46761528549038,1722619136962.4324
2030-01-01,91.00765939113879,0.44435771104028404,35.31760157908969,1799619560165.9766
2031-01-01,88.06447450775276,0.4424750264924815,35.81576707115663,1715479235342.8315
