,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Density,Population: Growth Rate,Economics: GDP
1992-01-01,3.404,1.197,2.538,8.013,25.92,1.341,109.30613530242154,0.2913569856234878,107592098307.098
1993-01-01,3.448,1.902,2.077,8.513,26.271,0.175,109.6246063633402,0.2913569856234878,95009751901.2592
1994-01-01,3.586,1.355,2.3,8.618,27.389,0.945,109.94307742425887,0.290510562804782,99688641304.3478
1995-01-01,3.33,1.741,2.7,9.152,29.226,0.959,110.26154848517754,0.2896690436358443,118122007430.012
1996-01-01,3.469,3.01,4.115,9.22,30.754,1.105,110.5800195460962,0.2888323856266888,122630089680.27
1997-01-01,3.217,2.477,5.4,9.274,32.48895,2.923,110.89849060701488,0.2880005467768154,117016535162.95
1998-01-01,3.24,3.7,3.975,9.572,34.302,0.275,111.21696166793356,0.2871734855681811,123946327916.296
1999-01-01,3.648,4.488,3.625,10.405,36.159,-0.863,111.5354327288522,0.2863511609582922,127427343916.471
2000-01-01,3.649,3.767,4.698,11.192,38.56018,0.931,111.85390378977088,0.2855335323734157,118310710337.203
2001-01-01,4.057,3.502,3.741,11.27,40.25568,0.239,112.16639700293192,0.2793762243187938,121498889485.459
2002-01-01,3.502,3.43,5.329,11.541,41.61664,1.899,112.47889021609296,0.2785978880581052,134156091661.961
2003-01-01,3.881,3.104,5.898,11.915,43.4106,2.794,112.791383429254,0.2778238766053615,164862142212.19
2004-01-01,4.057,2.131,8.612,12.996,45.0873,6.481,113.10387664241505,0.2770541540143825,189034502110.752
2005-01-01,4.212,2.802,9.626,13.736,46.31462,6.824,113.41636985557606,0.276288684736249,197180330804.626
2006-01-01,3.686,3.183,8.624,14.814,48.03012,5.441,113.7288630687371,0.2755274336138298,208581694893.991
2007-01-01,3.18,2.153,9.641,15.386,49.09648,7.488,114.04135628189816,0.2747703658763993,240190803449.22
2008-01-01,4.189,1.313,10.744,16.152,48.67142,9.431,114.35384949505918,0.2740174471343431,262344779551.78
2009-01-01,3.792,2.822,7.598,17.802,48.32542,4.776,114.6663427082202,0.2732686433739512,243701635176.438
2010-01-01,4.28,3.191001,5.814002,19.475,51.06156,2.623001,114.97883592138126,0.2725239209522953,237880908317.652
2011-01-01,4.09,3.929,6.741998,20.484,49.573619,2.812998,114.49460093386904,-0.4211514089804424,244797226567.109
2012-01-01,4.707,2.870998,10.766002,20.3153,47.513047,7.895004,114.01036594635684,-0.4229325955657226,216236608773.976
2013-01-01,5.455,5.324001,8.1,19.4513,46.739815,2.775999,113.52613095884462,-0.4247289125797967,226369502104.236
2014-01-01,5.209,6.343999,7.246999,19.687,46.552783,0.903,113.04189597133238,-0.4265405536349802,229596170846.995
2015-01-01,4.894,5.811,8.076999,20.202,47.319549,2.265999,112.55766098382016,-0.428367715660936,199313894327.486
2016-01-01,4.901,9.701001,4.615999,21.199,47.819042,-5.085002,112.41162341187967,-0.1297446754525943,206286022781.894
2017-01-01,5.100801,8.189703,5.50573,21.514637,48.125497,-2.683973,112.2655858399392,-0.1299132309524636,220811110492.149
2018-01-01,5.06,8.3245361,5.667568,21.844538,49.3271795,-2.6569681,112.1195482679987,-0.13008222497384,242194788533.537
2019-01-01,4.947661,4.7011472,8.099798,22.263104,49.1050443,3.3986508,111.9735106960582,-0.130251659230214,239986922638.902
2020-01-01,4.501381,6.096938,7.5534621,22.438618,47.7378714,1.4565241,111.82747312411772,-0.1304215354441235,228539245045.341
2021-01-01,4.479587,4.7915858,9.54494,23.180618,47.7430319,4.7533542,111.67910196546856,-0.1326786294137845,228539245045.341
