,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
1992-01-01,0.06,0.02,0.114,0.179,3.4865631788769544,0.1592388556149875,373573141.486811
1993-01-01,0.058,0.012,0.114,0.18,3.492115142183291,0.1592388556149875,454101382.488479
1994-01-01,0.112,0.015,0.114,0.258,3.497667105489629,0.1589856886238313,540874934.201012
1995-01-01,0.114,0.02,0.114,0.445,3.503219068795966,0.1587333253534426,621626785.915493
1996-01-01,0.138,0.015,0.114,0.527,3.5087710321023033,0.158481761982569,705406001.424501
1997-01-01,0.157,0.014,0.302,0.602,3.5143229954086403,0.1582309947141434,749138009.56454
1998-01-01,0.165,0.0,0.302,0.639,3.519874958714978,0.1579810197750938,717530683.169567
1999-01-01,0.173,0.0,0.301,0.671,3.525426922021315,0.157731833416153,694754988.258295
2000-01-01,0.307259722,0.0,0.27649,0.569740278,3.530978885327652,0.157483431911672,712667896.727512
2001-01-01,0.315865556,0.0,0.27649,0.594134444,3.5258065116365613,-0.14648554576702,712167575.624277
2002-01-01,0.3151525,0.0,0.27649,0.5988475,3.520634137945471,-0.1467004407082341,726131434.715338
2003-01-01,0.298286389,0.0,0.27349,0.523713611,3.5154617642543813,-0.146915967079395,743064076.794567
2004-01-01,0.301435278,0.0,0.26218,0.556564722,3.510289390563291,-0.1471321276676578,787814379.183843
2005-01-01,0.237661111,0.0,0.27664,0.412538889,3.5051170168722003,-0.1473489252765125,824880550.343965
2006-01-01,0.230676389,0.0,0.28714,0.438623611,3.49994464318111,-0.147566362726059,2379818382.99241
2007-01-01,0.224769444,0.0,0.28814,0.479630556,3.4947722694900194,-0.1477844428530522,2730971150.01134
2008-01-01,0.251905833,0.0,0.28814,0.458494167,3.48959989579893,-0.1480031685110256,3025187923.58617
2009-01-01,0.273262222,0.0,0.3994,0.452237778,3.484427522107839,-0.1482225425704931,3165663152.73351
2010-01-01,0.251764167,0.0,0.36587,0.610483833,3.4792551484167484,-0.1484425679189194,3432913073.24154
2011-01-01,0.262459444,0.0,0.36827,0.646873556,3.485859821648703,0.1898300915056511,3691384317.52178
2012-01-01,0.242108056,0.0,0.37272,0.713297944,3.492464494880657,0.1894704196346669,4063089191.87525
2013-01-01,0.229839444,0.0,0.389615,0.759649556,3.499069168112612,0.1891121081298289,4167800259.20888
2014-01-01,0.214900278,0.0,0.41148,0.784652722,3.505673841344566,0.1887551492877916,4127659492.02031
2015-01-01,0.219320556,0.0,0.419926,0.821632444,3.5122785145765203,0.1883995354633857,4279840193.7046
2016-01-01,0.223831944,0.0,0.401195,0.877568056,3.551513008852439,1.1170667164659402,4482697336.56174
2017-01-01,0.232906111,0.0,0.389242,0.911493889,3.590747503128358,1.1047261879127,4748174334.14044
2018-01-01,0.235216111,0.0,0.389243,0.923183889,3.629981997404277,1.092655338247439,4787636237.24043
2019-01-01,0.24669,0.0,0.378455,0.97271,3.669216491680196,1.080845423034465,5173760191.84652
2020-01-01,0.25,0.0,0.379955,0.912546515,3.7084509859561146,1.069288071850797,5471256594.72422
2021-01-01,0.250024731,0.0,0.379955,0.980883161,3.735254850699403,0.722777915760372,5471256594.72422
