,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
2022-01-01,32.043450384710916,53.61332018127784,10.19395492909501,153.15384638414398,550.2971885957152,-43.41936525218283,0.8823776101883023,1655990175462.7263
2023-01-01,28.582375513886333,73.18791048067983,11.298665132332767,154.14977843850824,536.8603243388217,-61.889245348347075,1.204515054818229,1599396513983.929
2024-01-01,36.46648554743107,53.80120281064459,11.648948978388336,149.26492106889927,571.1637314713092,-42.15225383225625,1.0120209957608957,1816964392732.2197
2025-01-01,33.35534331999215,66.6036336762156,10.063789803447914,153.5397218705197,533.3885047438231,-56.53984387276768,1.105729559689585,1480328301375.5728
2026-01-01,27.417283646662142,60.70964328469066,13.003540170271087,151.28412229735164,570.601976534498,-47.706103114419584,1.1047879112504262,1791569158723.7104
2027-01-01,30.656840533737824,60.51607793694133,11.446253879836096,154.1228850134963,550.0434080259997,-49.06982405710524,1.0298681442928237,1772210664347.3877
2028-01-01,27.94230175669184,63.07607047037884,10.829556068017244,149.1395950240678,544.4317587002967,-52.24651440236161,1.1133139096228557,1659299777667.6487
2029-01-01,32.201119325881166,57.47137068202068,11.894239534606175,154.81332023981946,561.8006506580472,-45.577131147414484,1.0390248655466632,1816719506754.313
2030-01-01,27.555631717900667,64.62997748263308,10.928310824387163,150.80423106399655,546.155960988634,-53.70166665824593,1.1272008665143431,1653333160341.289
2031-01-01,27.520830723100467,60.74124033459563,11.53118854940961,152.42771126232617,561.4447208655985,-49.210051785186025,1.0171698977790278,1875457954467.267
