,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Economics: GDP
2022-01-01,234.82591143587996,15.105902913616088,63.29773281970588,1171.5456837266734,48.191829906089794,21072613746026.336
2023-01-01,232.28370588392772,14.386188936447374,65.55188309752461,1173.355085218326,51.16569416107724,21375992919901.754
2024-01-01,225.58513612789054,12.65294666812572,65.33542925532008,1145.0685077783603,52.68248258719435,20836990424401.008
2025-01-01,228.1399079516265,11.943177438256676,65.06094867480489,1118.2880264310186,53.11777123654821,19994293350368.414
2026-01-01,244.90925911014344,13.823447758231291,63.36304887688014,1134.4700720054484,49.53960111864885,19595068022971.25
2027-01-01,239.904767158428,13.87987986387736,67.18023709077623,1183.7904297199036,53.300357226898875,21428817039518.92
2028-01-01,233.24206424283898,13.625423297930638,66.70843576816232,1180.241442289625,53.083012470231665,21587094402420.79
2029-01-01,231.91100561350228,13.532662267435237,65.56793054577847,1161.011463228737,52.03526827834323,21044843114674.285
2030-01-01,236.5355799274106,13.621532742032787,64.6404255600829,1149.6078304048983,51.01889281805012,20459360185078.684
2031-01-01,243.27204882493777,13.402081297105962,65.54808241300532,1154.84923570437,52.14600111589936,20367071956791.035
