,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Growth Rate_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Growth Rate_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Growth Rate_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Growth Rate_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Growth Rate_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,Population: Percentage,Economics: GDP
1997-01-01,0.00875,0.035,0.11625,1.191527094899982,0.0013572704840284,503068472.20266,0.00847,0.033,0.11253,1.205895668526703,0.0013605717364646,508221508.221508,0.00826,0.033,0.10974,1.2206150120868449,0.0013639692945187,486451204.557142,0.0077,0.028,0.1023,1.2356981289529003,0.0013674674347759,473916819.453826,0.00721,0.028,0.09579,1.2356981289529003,0.0013710706908363,433667193.814795,0.00973,0.041,0.12927,1.1774969002914024,0.0013540614996809,562958836.519905
1998-01-01,0.00973,0.041,0.12927,1.1774969002914024,0.0013540614996809,562958836.519905,0.00875,0.035,0.11625,1.191527094899982,0.0013572704840284,503068472.20266,0.00847,0.033,0.11253,1.205895668526703,0.0013605717364646,508221508.221508,0.00826,0.033,0.10974,1.2206150120868449,0.0013639692945187,486451204.557142,0.0077,0.028,0.1023,1.2356981289529003,0.0013674674347759,473916819.453826,0.01043,0.05,0.13857,1.1637932706042189,0.0013509409684756,608369282.225727
1999-01-01,0.01043,0.05,0.13857,1.1637932706042189,0.0013509409684756,608369282.225727,0.00973,0.041,0.12927,1.1774969002914024,0.0013540614996809,562958836.519905,0.00875,0.035,0.11625,1.191527094899982,0.0013572704840284,503068472.20266,0.00847,0.033,0.11253,1.205895668526703,0.0013605717364646,508221508.221508,0.00826,0.033,0.10974,1.2206150120868449,0.0013639692945187,486451204.557142,0.01134,0.088,0.15066,1.1504049353815682,0.0013479052829189,622985493.682733
2000-01-01,0.01134,0.088,0.15066,1.1504049353815682,0.0013479052829189,622985493.682733,0.01043,0.05,0.13857,1.1637932706042189,0.0013509409684756,608369282.225727,0.00973,0.041,0.12927,1.1774969002914024,0.0013540614996809,562958836.519905,0.00875,0.035,0.11625,1.191527094899982,0.0013572704840284,503068472.20266,0.00847,0.033,0.11253,1.205895668526703,0.0013605717364646,508221508.221508,0.0,0.09136,0.178,1.1373211368916292,0.0013449510290579,614879764.780006
2001-01-01,0.0,0.09136,0.178,1.1373211368916292,0.0013449510290579,614879764.780006,0.01134,0.088,0.15066,1.1504049353815682,0.0013479052829189,622985493.682733,0.01043,0.05,0.13857,1.1637932706042189,0.0013509409684756,608369282.225727,0.00973,0.041,0.12927,1.1774969002914024,0.0013540614996809,562958836.519905,0.00875,0.035,0.11625,1.191527094899982,0.0013572704840284,503068472.20266,0.0,0.09251,0.18,1.5424681488883265,0.0013476373322827,622262057.191635
2002-01-01,0.0,0.09251,0.18,1.5424681488883265,0.0013476373322827,622262057.191635,0.0,0.09136,0.178,1.1373211368916292,0.0013449510290579,614879764.780006,0.01134,0.088,0.15066,1.1504049353815682,0.0013479052829189,622985493.682733,0.01043,0.05,0.13857,1.1637932706042189,0.0013509409684756,608369282.225727,0.00973,0.041,0.12927,1.1774969002914024,0.0013540614996809,562958836.519905,0.0,0.08586,0.205,1.519037479595902,0.0013502535186163,697518248.175182
2003-01-01,0.0,0.08586,0.205,1.519037479595902,0.0013502535186163,697518248.175182,0.0,0.09251,0.18,1.5424681488883265,0.0013476373322827,622262057.191635,0.0,0.09136,0.178,1.1373211368916292,0.0013449510290579,614879764.780006,0.01134,0.088,0.15066,1.1504049353815682,0.0013479052829189,622985493.682733,0.01043,0.05,0.13857,1.1637932706042189,0.0013509409684756,608369282.225727,0.0,0.09162,0.21,1.4963080002617166,0.0013528022979403,705704816.042365
2004-01-01,0.0,0.09162,0.21,1.4963080002617166,0.0013528022979403,705704816.042365,0.0,0.08586,0.205,1.519037479595902,0.0013502535186163,697518248.175182,0.0,0.09251,0.18,1.5424681488883265,0.0013476373322827,622262057.191635,0.0,0.09136,0.178,1.1373211368916292,0.0013449510290579,614879764.780006,0.01134,0.088,0.15066,1.1504049353815682,0.0013479052829189,622985493.682733,0.0,0.09186,0.212,1.474248699034329,0.00135528624227,839319927.272727
2005-01-01,0.0,0.09186,0.212,1.474248699034329,0.00135528624227,839319927.272727,0.0,0.09162,0.21,1.4963080002617166,0.0013528022979403,705704816.042365,0.0,0.08586,0.205,1.519037479595902,0.0013502535186163,697518248.175182,0.0,0.09251,0.18,1.5424681488883265,0.0013476373322827,622262057.191635,0.0,0.09136,0.178,1.1373211368916292,0.0013449510290579,614879764.780006,0.0,0.1111,0.217,1.4528303662605402,0.001357707794412,919103254.545455
2006-01-01,0.0,0.1111,0.217,1.4528303662605402,0.001357707794412,919103254.545455,0.0,0.09186,0.212,1.474248699034329,0.00135528624227,839319927.272727,0.0,0.09162,0.21,1.4963080002617166,0.0013528022979403,705704816.042365,0.0,0.08586,0.205,1.519037479595902,0.0013502535186163,697518248.175182,0.0,0.09251,0.18,1.5424681488883265,0.0013476373322827,622262057.191635,0.0,0.1121,0.237,1.4320254654459574,0.0013600692759774,1016418229.25159
