,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Percentage,Economics: GDP
1997-01-01,0.04221,0.09,0.56079,0.0014156130838705,1379960893.85475,0.04053,0.09,0.53847,0.0013938484236539,1320474860.3352,0.0371,0.09,0.4929,0.0013714488350002,1245688268.15642,0.03493,0.09,0.46407,0.0013483861230267,1082979720.67039,0.02247,0.09,0.29853,0.0013246303983912,958463184.357542,0.04445,0.114,0.59055,0.0014367694344719,1531944134.07821
1998-01-01,0.04445,0.114,0.59055,0.0014367694344719,1531944134.07821,0.04221,0.09,0.56079,0.0014156130838705,1379960893.85475,0.04053,0.09,0.53847,0.0013938484236539,1320474860.3352,0.0371,0.09,0.4929,0.0013714488350002,1245688268.15642,0.03493,0.09,0.46407,0.0013483861230267,1082979720.67039,0.04802,0.114,0.63798,0.0014573426268258,1665100558.65922
1999-01-01,0.04802,0.114,0.63798,0.0014573426268258,1665100558.65922,0.04445,0.114,0.59055,0.0014367694344719,1531944134.07821,0.04221,0.09,0.56079,0.0014156130838705,1379960893.85475,0.04053,0.09,0.53847,0.0013938484236539,1320474860.3352,0.0371,0.09,0.4929,0.0013714488350002,1245688268.15642,0.04858,0.114,0.64542,0.0014773564445941,1722798882.68156
2000-01-01,0.04858,0.114,0.64542,0.0014773564445941,1722798882.68156,0.04802,0.114,0.63798,0.0014573426268258,1665100558.65922,0.04445,0.114,0.59055,0.0014367694344719,1531944134.07821,0.04221,0.09,0.56079,0.0014156130838705,1379960893.85475,0.04053,0.09,0.53847,0.0013938484236539,1320474860.3352,0.078,0.15,0.652,0.0014968333954545,1873452513.96648
2001-01-01,0.078,0.15,0.652,0.0014968333954545,1873452513.96648,0.04858,0.114,0.64542,0.0014773564445941,1722798882.68156,0.04802,0.114,0.63798,0.0014573426268258,1665100558.65922,0.04445,0.114,0.59055,0.0014367694344719,1531944134.07821,0.04221,0.09,0.56079,0.0014156130838705,1379960893.85475,0.1347,0.15,0.6253,0.0014956728934436,1920111731.84358
2002-01-01,0.1347,0.15,0.6253,0.0014956728934436,1920111731.84358,0.078,0.15,0.652,0.0014968333954545,1873452513.96648,0.04858,0.114,0.64542,0.0014773564445941,1722798882.68156,0.04802,0.114,0.63798,0.0014573426268258,1665100558.65922,0.04445,0.114,0.59055,0.0014367694344719,1531944134.07821,0.1319,0.15,0.6431,0.001494542682426,1941340782.12291
2003-01-01,0.1319,0.15,0.6431,0.001494542682426,1941340782.12291,0.1347,0.15,0.6253,0.0014956728934436,1920111731.84358,0.078,0.15,0.652,0.0014968333954545,1873452513.96648,0.04858,0.114,0.64542,0.0014773564445941,1722798882.68156,0.04802,0.114,0.63798,0.0014573426268258,1665100558.65922,0.1402,0.15,0.6508,0.0014934415917138,2021229050.27933
2004-01-01,0.1402,0.15,0.6508,0.0014934415917138,2021229050.27933,0.1319,0.15,0.6431,0.001494542682426,1941340782.12291,0.1347,0.15,0.6253,0.0014956728934436,1920111731.84358,0.078,0.15,0.652,0.0014968333954545,1873452513.96648,0.04858,0.114,0.64542,0.0014773564445941,1722798882.68156,0.136,0.15,0.677,0.0014923685101782,2228491620.11173
2005-01-01,0.136,0.15,0.677,0.0014923685101782,2228491620.11173,0.1402,0.15,0.6508,0.0014934415917138,2021229050.27933,0.1319,0.15,0.6431,0.001494542682426,1941340782.12291,0.1347,0.15,0.6253,0.0014956728934436,1920111731.84358,0.078,0.15,0.652,0.0014968333954545,1873452513.96648,0.1512,0.15,0.7038,0.0014913223825093,2330726256.98324
2006-01-01,0.1512,0.15,0.7038,0.0014913223825093,2330726256.98324,0.136,0.15,0.677,0.0014923685101782,2228491620.11173,0.1402,0.15,0.6508,0.0014934415917138,2021229050.27933,0.1319,0.15,0.6431,0.001494542682426,1941340782.12291,0.1347,0.15,0.6253,0.0014956728934436,1920111731.84358,0.1479,0.15,0.7061,0.0014903022057548,2424581005.58659
