,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Population: Growth Rate,Economics: GDP
1992-01-01,0.00287,0.011,0.03813,28.373995847750862,2.5101984311186567,226313443.749086
1993-01-01,0.00308,0.011,0.04092,29.08623944636678,2.5101984311186567,236880821.656388
1994-01-01,0.00322,0.011,0.04278,29.7984830449827,2.4487304380796675,235620043.500927
1995-01-01,0.00329,0.011,0.04371,30.510726643598616,2.39020086203966,253966922.278198
1996-01-01,0.00336,0.021,0.04464,31.222970242214533,2.334403919433864,270419779.418107
1997-01-01,0.0035,0.021,0.0465,31.935213840830453,2.281152603646082,268550998.219197
1998-01-01,0.0035,0.021,0.0465,32.64745743944636,2.230276591119236,206457544.497703
1999-01-01,0.00357,0.021,0.04743,33.35970103806228,2.181620421550342,224446663.800548
2000-01-01,0.0,0.021,0.03,34.071944636678204,2.135041911206796,371095510.047761
2001-01-01,0.0,0.021,0.03,35.003075432525954,2.7328372529855485,392621385.894576
2002-01-01,0.0,0.021,0.02,35.934206228373704,2.660139957252188,417806667.07798
2003-01-01,0.0,0.022,0.02,36.86533702422145,2.5912101409172945,477458598.710737
2004-01-01,0.0,0.022,0.03,37.7964678200692,2.525762331254345,532062927.382438
2005-01-01,0.0,0.022,0.03,38.72759861591695,2.463539186466892,587029054.444652
2006-01-01,0.0,0.023,0.03,39.65872941176471,2.40430811391714,592365688.05204
2007-01-01,0.0,0.023,0.03,40.58986020761245,2.347858364750153,696910810.918663
2008-01-01,0.0,0.0272,0.03,41.52099100346021,2.2939985284135664,868154708.520179
2009-01-01,0.0,0.0272,0.03,42.45212179930795,2.2425543642976873,830126469.986608
2010-01-01,0.0,0.0272,0.03,43.38325259515571,2.1933669187365155,849878424.225986
2011-01-01,0.0,0.0262,0.031,44.61065190311419,2.8292007503732752,1099818651.98114
2012-01-01,0.0,0.0241,0.032,45.83805121107267,2.7513592731712495,989271229.637162
2013-01-01,0.0,0.0198,0.033,47.06545051903114,2.677686497418069,1046087417.96916
2014-01-01,0.0,0.023812,0.0333,48.29284982698962,2.607856281885954,1054915645.19654
2015-01-01,0.0,0.023212,0.059076,49.520249134948095,2.541575641851058,1048229629.42039
2016-01-01,0.0,0.026912,0.07952,50.77649273356401,2.5368281068064036,1179004941.22904
2017-01-01,0.0,0.026612,0.07991,52.03273633217994,2.4740653223288156,1350177127.5523
2018-01-01,0.006,0.027469,0.07568,53.28897993079585,2.4143331432657735,1504630120.99275
2019-01-01,0.006,0.027769,0.076458,54.54522352941176,2.357417237573977,1439638443.38133
2020-01-01,0.006,0.027769,0.076458,55.80146712802768,2.303123018532556,1431758242.90375
2021-01-01,0.006000214,0.027769,0.076457786,57.043515570934254,2.2258347438372716,1431758242.90375
