,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Net Imports_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Net Imports_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Net Imports_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Net Imports_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Net Imports_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Economics: GDP
1997-01-01,12.212,0.3,3.7,3.4,272149750000.0,11.863,0.22,2.35,2.13,258031750000.0,11.56,0.011,1.2,1.189,257440000000.0,12.479,0.023,2.0,1.977,236741715015.015,11.397,0.01,3.26,3.25,228788617201.696,11.758,0.277,5.265,4.988,292859000000.0
1998-01-01,11.758,0.277,5.265,4.988,292859000000.0,12.212,0.3,3.7,3.4,272149750000.0,11.863,0.22,2.35,2.13,258031750000.0,11.56,0.011,1.2,1.189,257440000000.0,12.479,0.023,2.0,1.977,236741715015.015,11.223,0.0,7.9,7.9,298948250000.0
1999-01-01,11.223,0.0,7.9,7.9,298948250000.0,11.758,0.277,5.265,4.988,292859000000.0,12.212,0.3,3.7,3.4,272149750000.0,11.863,0.22,2.35,2.13,258031750000.0,11.56,0.011,1.2,1.189,257440000000.0,11.932,1.08,6.5,5.42,283523000000.0
2000-01-01,11.932,1.08,6.5,5.42,283523000000.0,11.223,0.0,7.9,7.9,298948250000.0,11.758,0.277,5.265,4.988,292859000000.0,12.212,0.3,3.7,3.4,272149750000.0,11.863,0.22,2.35,2.13,258031750000.0,13.188,6.023,7.245,1.222,284203750000.0
2001-01-01,13.188,6.023,7.245,1.222,284203750000.0,11.932,1.08,6.5,5.42,283523000000.0,11.223,0.0,7.9,7.9,298948250000.0,11.758,0.277,5.265,4.988,292859000000.0,12.212,0.3,3.7,3.4,272149750000.0,12.847,5.662,7.42,1.758,268696750000.0
2002-01-01,12.847,5.662,7.42,1.758,268696750000.0,13.188,6.023,7.245,1.222,284203750000.0,11.932,1.08,6.5,5.42,283523000000.0,11.223,0.0,7.9,7.9,298948250000.0,11.758,0.277,5.265,4.988,292859000000.0,14.501,2.856,8.7,5.844,97724004251.8602
2003-01-01,14.501,2.856,8.7,5.844,97724004251.8602,12.847,5.662,7.42,1.758,268696750000.0,13.188,6.023,7.245,1.222,284203750000.0,11.932,1.08,6.5,5.42,283523000000.0,11.223,0.0,7.9,7.9,298948250000.0,14.049,2.543,7.578,5.035,127586973492.177
2004-01-01,14.049,2.543,7.578,5.035,127586973492.177,14.501,2.856,8.7,5.844,97724004251.8602,12.847,5.662,7.42,1.758,268696750000.0,13.188,6.023,7.245,1.222,284203750000.0,11.932,1.08,6.5,5.42,283523000000.0,15.445,4.144,7.612,3.468,164657930452.787
2005-01-01,15.445,4.144,7.612,3.468,164657930452.787,14.049,2.543,7.578,5.035,127586973492.177,14.501,2.856,8.7,5.844,97724004251.8602,12.847,5.662,7.42,1.758,268696750000.0,13.188,6.023,7.245,1.222,284203750000.0,15.956,4.14,8.017,3.877,198737095012.282
2006-01-01,15.956,4.14,8.017,3.877,198737095012.282,15.445,4.144,7.612,3.468,164657930452.787,14.049,2.543,7.578,5.035,127586973492.177,14.501,2.856,8.7,5.844,97724004251.8602,12.847,5.662,7.42,1.758,268696750000.0,14.575,5.06,7.418,2.358,232557260817.308
2007-01-01,14.575,5.06,7.418,2.358,232557260817.308,15.956,4.14,8.017,3.877,198737095012.282,15.445,4.144,7.612,3.468,164657930452.787,14.049,2.543,7.578,5.035,127586973492.177,14.501,2.856,8.7,5.844,97724004251.8602,17.957,2.676,10.275,7.599,287530508430.568
2008-01-01,17.957,2.676,10.275,7.599,287530508430.568,14.575,5.06,7.418,2.358,232557260817.308,15.956,4.14,8.017,3.877,198737095012.282,15.445,4.144,7.612,3.468,164657930452.787,14.049,2.543,7.578,5.035,127586973492.177,16.274,2.975,8.458,5.483,361558037110.419
2009-01-01,16.274,2.975,8.458,5.483,361558037110.419,17.957,2.676,10.275,7.599,287530508430.568,14.575,5.06,7.418,2.358,232557260817.308,15.956,4.14,8.017,3.877,198737095012.282,15.445,4.144,7.612,3.468,164657930452.787,17.98,2.445,8.601,6.156,332976484577.619
2010-01-01,17.98,2.445,8.601,6.156,332976484577.619,16.274,2.975,8.458,5.483,361558037110.419,17.957,2.676,10.275,7.599,287530508430.568,14.575,5.06,7.418,2.358,232557260817.308,15.956,4.14,8.017,3.877,198737095012.282,16.817,1.701,10.301,8.6,423627422092.49
2011-01-01,16.817,1.701,10.301,8.6,423627422092.49,17.98,2.445,8.601,6.156,332976484577.619,16.274,2.975,8.458,5.483,361558037110.419,17.957,2.676,10.275,7.599,287530508430.568,14.575,5.06,7.418,2.358,232557260817.308,18.701,1.263,10.929,9.666,530163281574.658
2012-01-01,18.701,1.263,10.929,9.666,530163281574.658,16.817,1.701,10.301,8.6,423627422092.49,17.98,2.445,8.601,6.156,332976484577.619,16.274,2.975,8.458,5.483,361558037110.419,17.957,2.676,10.275,7.599,287530508430.568,18.445,0.506,8.118,7.612,545982375701.128
2013-01-01,18.445,0.506,8.118,7.612,545982375701.128,18.701,1.263,10.929,9.666,530163281574.658,16.817,1.701,10.301,8.6,423627422092.49,17.98,2.445,8.601,6.156,332976484577.619,16.274,2.975,8.458,5.483,361558037110.419,22.278,0.247,8.043,7.796,552025140252.246
