,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Population: Growth Rate,Population: Percentage,Economics: GDP
2022-01-01,0.2778627692471366,5.75701292081247,0.10749733007624451,0.8958249645830507,0.010293431564601106,2300491727.888584
2023-01-01,0.3249468520147535,5.994948276584164,0.10653590905274321,0.8692927053978742,0.010290175470831822,2426286321.614468
2024-01-01,0.29502986096942024,6.057023851002649,0.11505608029813788,0.8363090191358735,0.010310497941424697,2447482502.24959
2025-01-01,0.2911775881867409,6.0215668272281775,0.11113142072879632,0.8854465475749953,0.010313877228625711,2402822807.2758408
2026-01-01,0.24773562085870537,5.545070736038852,0.10414381137340001,0.9377084296560179,0.010297370705686109,2175980820.3117533
2027-01-01,0.2667593097697687,5.827511939533949,0.11033584151998307,0.8907199979724927,0.010309172663905526,2314695722.462126
2028-01-01,0.28247202460356247,6.060300262751198,0.1130572319463024,0.876520075110296,0.010321387506041307,2410444420.2009244
2029-01-01,0.28560595397171906,6.104545133726181,0.11520312554877996,0.8535507251524538,0.010323157987504142,2440231974.794032
2030-01-01,0.2853236640238842,5.970317357712099,0.1120587772737798,0.8661257568287644,0.010311748237729996,2389965759.272784
2031-01-01,0.25167784016527917,5.589804142473408,0.10648809030956337,0.9142897707340384,0.010296832178613295,2210731665.8669195
