,Electricity: Distribution Losses,Electricity: Installed Capacity,Economics: GDP
1992-01-01,0.01001028,0.0329,674074074.074074
1993-01-01,0.01121442,0.0402,684814814.814815
1994-01-01,0.01188866,0.0445,713703703.703704
1995-01-01,0.0129346,0.0445,762962962.962963
1996-01-01,0.01303057,0.0445,788888888.888889
1997-01-01,0.01402506,0.0599,805925925.925926
1998-01-01,0.01552096,0.0599,877407407.407407
1999-01-01,0.01685761,0.0599,921851851.851852
2000-01-01,0.0306,0.0664,932592592.592592
2001-01-01,0.0306,0.0664,892592592.592592
2002-01-01,0.0344,0.0664,900000000.0
2003-01-01,0.0351,0.0568,987407407.407407
2004-01-01,0.0301,0.0568,1066666666.66667
2005-01-01,0.033,0.0658,1135555555.55556
2006-01-01,0.0333,0.0658,1268319185.18519
2007-01-01,0.0347,0.076,1336088814.81481
2008-01-01,0.0361,0.076,1437731111.11111
2009-01-01,0.0336,0.076,1401507888.88889
2010-01-01,0.036,0.076,1486758037.03704
2011-01-01,0.037234,0.076,1576988407.40741
2012-01-01,0.036948,0.0885,1605146777.77778
2013-01-01,0.033791,0.0885,1664816740.74074
2014-01-01,0.033574,0.0885,1755130814.81481
2015-01-01,0.030013,0.0894,1808079888.88889
2016-01-01,0.029432,0.0894,1865513444.44444
2017-01-01,0.02745,0.0894,1996771444.44444
2018-01-01,0.025317,0.0924,2065127259.25926
2019-01-01,0.026658,0.0924,2118791555.55556
2020-01-01,0.026658,0.0924,1616772740.74074
2021-01-01,0.026658,0.0924,1616772740.74074
