,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,3.815,0.422,0.285,6.039,-0.137,1.86757695647721,46941582519.4661,3.34,0.491,0.215,6.007,-0.276,1.9031191715799367,41764315330.4366,3.214,1.191,0.067,6.007,-1.124,1.940040453384707,42543178042.4148,3.029,1.324,0.125,5.814,-1.199,1.978422653195644,49945599428.5812,2.228,1.061,0.125,5.369,-0.936,1.978422653195644,48003078388.5401,4.373,0.313,0.312,6.04,-0.001,1.8333379592165324,48177612042.1507
1998-01-01,4.373,0.313,0.312,6.04,-0.001,1.8333379592165324,48177612042.1507,3.815,0.422,0.285,6.039,-0.137,1.86757695647721,46941582519.4661,3.34,0.491,0.215,6.007,-0.276,1.9031191715799367,41764315330.4366,3.214,1.191,0.067,6.007,-1.124,1.940040453384707,42543178042.4148,3.029,1.324,0.125,5.814,-1.199,1.978422653195644,49945599428.5812,4.581,0.262,0.3,6.044,0.038,1.800331793062487,48187747528.899
1999-01-01,4.581,0.262,0.3,6.044,0.038,1.800331793062487,48187747528.899,4.373,0.313,0.312,6.04,-0.001,1.8333379592165324,48177612042.1507,3.815,0.422,0.285,6.039,-0.137,1.86757695647721,46941582519.4661,3.34,0.491,0.215,6.007,-0.276,1.9031191715799367,41764315330.4366,3.214,1.191,0.067,6.007,-1.124,1.940040453384707,42543178042.4148,4.73,0.21,0.15,6.044,-0.06,1.768493050417704,48640653469.3025
2000-01-01,4.73,0.21,0.15,6.044,-0.06,1.768493050417704,48640653469.3025,4.581,0.262,0.3,6.044,0.038,1.800331793062487,48187747528.899,4.373,0.313,0.312,6.04,-0.001,1.8333379592165324,48177612042.1507,3.815,0.422,0.285,6.039,-0.137,1.86757695647721,46941582519.4661,3.34,0.491,0.215,6.007,-0.276,1.9031191715799367,41764315330.4366,4.105,0.319,0.25,6.398,-0.069,1.7377608701954197,54790392746.1939
2001-01-01,4.105,0.319,0.25,6.398,-0.069,1.7377608701954197,54790392746.1939,4.73,0.21,0.15,6.044,-0.06,1.768493050417704,48640653469.3025,4.581,0.262,0.3,6.044,0.038,1.800331793062487,48187747528.899,4.373,0.313,0.312,6.04,-0.001,1.8333379592165324,48177612042.1507,3.815,0.422,0.285,6.039,-0.137,1.86757695647721,46941582519.4661,4.337,0.196,0.15,6.4,-0.046,1.6512707012703771,54744712814.8676
2002-01-01,4.337,0.196,0.15,6.4,-0.046,1.6512707012703771,54744712814.8676,4.105,0.319,0.25,6.398,-0.069,1.7377608701954197,54790392746.1939,4.73,0.21,0.15,6.044,-0.06,1.768493050417704,48640653469.3025,4.581,0.262,0.3,6.044,0.038,1.800331793062487,48187747528.899,4.373,0.313,0.312,6.04,-0.001,1.8333379592165324,48177612042.1507,4.346,0.259,0.237,6.835,-0.022,1.6244466890365596,56760355865.0082
2003-01-01,4.346,0.259,0.237,6.835,-0.022,1.6244466890365596,56760355865.0082,4.337,0.196,0.15,6.4,-0.046,1.6512707012703771,54744712814.8676,4.105,0.319,0.25,6.398,-0.069,1.7377608701954197,54790392746.1939,4.73,0.21,0.15,6.044,-0.06,1.768493050417704,48640653469.3025,4.581,0.262,0.3,6.044,0.038,1.800331793062487,48187747528.899,4.209,0.212,0.223,6.845,0.011,1.59848022986756,67863828412.6882
2004-01-01,4.209,0.212,0.223,6.845,0.011,1.59848022986756,67863828412.6882,4.346,0.259,0.237,6.835,-0.022,1.6244466890365596,56760355865.0082,4.337,0.196,0.15,6.4,-0.046,1.6512707012703771,54744712814.8676,4.105,0.319,0.25,6.398,-0.069,1.7377608701954197,54790392746.1939,4.73,0.21,0.15,6.044,-0.06,1.768493050417704,48640653469.3025,4.976,0.197,0.211,7.251,0.014,1.5733308473227106,85332581188.6107
2005-01-01,4.976,0.197,0.211,7.251,0.014,1.5733308473227106,85332581188.6107,4.209,0.212,0.223,6.845,0.011,1.59848022986756,67863828412.6882,4.346,0.259,0.237,6.835,-0.022,1.6244466890365596,56760355865.0082,4.337,0.196,0.15,6.4,-0.046,1.6512707012703771,54744712814.8676,4.105,0.319,0.25,6.398,-0.069,1.7377608701954197,54790392746.1939,4.475,0.275,0.359,7.499,0.084,1.5489605728177032,103198223709.439
2006-01-01,4.475,0.275,0.359,7.499,0.084,1.5489605728177032,103198223709.439,4.976,0.197,0.211,7.251,0.014,1.5733308473227106,85332581188.6107,4.209,0.212,0.223,6.845,0.011,1.59848022986756,67863828412.6882,4.346,0.259,0.237,6.835,-0.022,1.6244466890365596,56760355865.0082,4.337,0.196,0.15,6.4,-0.046,1.6512707012703771,54744712814.8676,6.295,0.3,0.382,7.899,0.082,1.525333754358794,117027307540.89
2007-01-01,6.295,0.3,0.382,7.899,0.082,1.525333754358794,117027307540.89,4.475,0.275,0.359,7.499,0.084,1.5489605728177032,103198223709.439,4.976,0.197,0.211,7.251,0.014,1.5733308473227106,85332581188.6107,4.209,0.212,0.223,6.845,0.011,1.59848022986756,67863828412.6882,4.346,0.259,0.237,6.835,-0.022,1.6244466890365596,56760355865.0082,6.647,0.273,0.279,8.134,0.006,1.5024168825185753,134977082623.78
2008-01-01,6.647,0.273,0.279,8.134,0.006,1.5024168825185753,134977082623.78,6.295,0.3,0.382,7.899,0.082,1.525333754358794,117027307540.89,4.475,0.275,0.359,7.499,0.084,1.5489605728177032,103198223709.439,4.976,0.197,0.211,7.251,0.014,1.5733308473227106,85332581188.6107,4.209,0.212,0.223,6.845,0.011,1.59848022986756,67863828412.6882,7.287,0.323,0.274,8.134,-0.049,1.480178431866788,171000699876.747
2009-01-01,7.287,0.323,0.274,8.134,-0.049,1.480178431866788,171000699876.747,6.647,0.273,0.279,8.134,0.006,1.5024168825185753,134977082623.78,6.295,0.3,0.382,7.899,0.082,1.525333754358794,117027307540.89,4.475,0.275,0.359,7.499,0.084,1.5489605728177032,103198223709.439,4.976,0.197,0.211,7.251,0.014,1.5733308473227106,85332581188.6107,7.859,0.362,0.33,11.327,-0.032,1.4585887162788085,137211035770.034
2010-01-01,7.859,0.362,0.33,11.327,-0.032,1.4585887162788085,137211035770.034,7.287,0.323,0.274,8.134,-0.049,1.480178431866788,171000699876.747,6.647,0.273,0.279,8.134,0.006,1.5024168825185753,134977082623.78,6.295,0.3,0.382,7.899,0.082,1.525333754358794,117027307540.89,4.475,0.275,0.359,7.499,0.084,1.5489605728177032,103198223709.439,9.091,0.803,0.736,11.3271,-0.067,1.4376197567242126,161207270185.25
