,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Density,Population: Growth Rate,Economics: GDP
1997-01-01,0.03689,0.186,30.68384548741748,2.69934910304952,3868968301.91851,0.03654,0.186,29.877351468536588,2.774235401475737,3693710532.91191,0.03563,0.186,29.070857449655698,2.853395304147442,3383092827.5866,0.03549,0.186,28.2643634307748,2.937205384666673,3279096606.21358,0.03514,0.186,27.457869411893903,2.937205384666673,3284620543.22982,0.0434,0.186,31.49033950629838,2.6283994267003257,3783700461.64359
1998-01-01,0.0434,0.186,31.49033950629838,2.6283994267003257,3783700461.64359,0.03689,0.186,30.68384548741748,2.69934910304952,3868968301.91851,0.03654,0.186,29.877351468536588,2.774235401475737,3693710532.91191,0.03563,0.186,29.070857449655698,2.853395304147442,3383092827.5866,0.03549,0.186,28.2643634307748,2.937205384666673,3279096606.21358,0.04501,0.186,32.29683352517927,2.561083911844089,3588375476.76248
1999-01-01,0.04501,0.186,32.29683352517927,2.561083911844089,3588375476.76248,0.0434,0.186,31.49033950629838,2.6283994267003257,3783700461.64359,0.03689,0.186,30.68384548741748,2.69934910304952,3868968301.91851,0.03654,0.186,29.877351468536588,2.774235401475737,3693710532.91191,0.03563,0.186,29.070857449655698,2.853395304147442,3383092827.5866,0.05075,0.195,33.103327544060164,2.497130309236464,3461282543.12577
2000-01-01,0.05075,0.195,33.103327544060164,2.497130309236464,3461282543.12577,0.04501,0.186,32.29683352517927,2.561083911844089,3588375476.76248,0.0434,0.186,31.49033950629838,2.6283994267003257,3783700461.64359,0.03689,0.186,30.68384548741748,2.69934910304952,3868968301.91851,0.03654,0.186,29.877351468536588,2.774235401475737,3693710532.91191,0.0,0.347,33.90982156294106,2.4362929007890832,2995361140.63217
2001-01-01,0.0,0.347,33.90982156294106,2.4362929007890832,2995361140.63217,0.05075,0.195,33.103327544060164,2.497130309236464,3461282543.12577,0.04501,0.186,32.29683352517927,2.561083911844089,3588375476.76248,0.0434,0.186,31.49033950629838,2.6283994267003257,3783700461.64359,0.03689,0.186,30.68384548741748,2.69934910304952,3868968301.91851,0.0,0.347,34.69636048597355,2.3195018044331905,2829435956.51563
2002-01-01,0.0,0.347,34.69636048597355,2.3195018044331905,2829435956.51563,0.0,0.347,33.90982156294106,2.4362929007890832,2995361140.63217,0.05075,0.195,33.103327544060164,2.497130309236464,3461282543.12577,0.04501,0.186,32.29683352517927,2.561083911844089,3588375476.76248,0.0434,0.186,31.49033950629838,2.6283994267003257,3783700461.64359,0.0,0.347,35.482899409006045,2.2669205415664893,2950198648.95191
2003-01-01,0.0,0.347,35.482899409006045,2.2669205415664893,2950198648.95191,0.0,0.347,34.69636048597355,2.3195018044331905,2829435956.51563,0.0,0.347,33.90982156294106,2.4362929007890832,2995361140.63217,0.05075,0.195,33.103327544060164,2.497130309236464,3461282543.12577,0.04501,0.186,32.29683352517927,2.561083911844089,3588375476.76248,0.0,0.347,36.26943833203855,2.216670385264137,3446441698.00738
2004-01-01,0.0,0.347,36.26943833203855,2.216670385264137,3446441698.00738,0.0,0.347,35.482899409006045,2.2669205415664893,2950198648.95191,0.0,0.347,34.69636048597355,2.3195018044331905,2829435956.51563,0.0,0.347,33.90982156294106,2.4362929007890832,2995361140.63217,0.05075,0.195,33.103327544060164,2.497130309236464,3461282543.12577,0.0,0.337,37.05597725507104,2.1685996784176975,3635458132.65317
2005-01-01,0.0,0.337,37.05597725507104,2.1685996784176975,3635458132.65317,0.0,0.347,36.26943833203855,2.216670385264137,3446441698.00738,0.0,0.347,35.482899409006045,2.2669205415664893,2950198648.95191,0.0,0.347,34.69636048597355,2.3195018044331905,2829435956.51563,0.0,0.347,33.90982156294106,2.4362929007890832,2995361140.63217,0.0,0.337,37.84251617810353,2.122569640029819,2937071767.25576
2006-01-01,0.0,0.337,37.84251617810353,2.122569640029819,2937071767.25576,0.0,0.337,37.05597725507104,2.1685996784176975,3635458132.65317,0.0,0.347,36.26943833203855,2.216670385264137,3446441698.00738,0.0,0.347,35.482899409006045,2.2669205415664893,2950198648.95191,0.0,0.347,34.69636048597355,2.3195018044331905,2829435956.51563,0.0,0.331,38.629055101136025,2.0784530270944317,4220019242.74824
2007-01-01,0.0,0.331,38.629055101136025,2.0784530270944317,4220019242.74824,0.0,0.337,37.84251617810353,2.122569640029819,2937071767.25576,0.0,0.337,37.05597725507104,2.1685996784176975,3635458132.65317,0.0,0.347,36.26943833203855,2.216670385264137,3446441698.00738,0.0,0.347,35.482899409006045,2.2669205415664893,2950198648.95191,0.0,0.339,39.41559402416852,2.036132959952629,6281917655.90249
2008-01-01,0.0,0.339,39.41559402416852,2.036132959952629,6281917655.90249,0.0,0.331,38.629055101136025,2.0784530270944317,4220019242.74824,0.0,0.337,37.84251617810353,2.122569640029819,2937071767.25576,0.0,0.337,37.05597725507104,2.1685996784176975,3635458132.65317,0.0,0.347,36.26943833203855,2.216670385264137,3446441698.00738,0.0,0.314,40.202132947201015,1.9955018882887248,6964179193.84418
