,Electricity: Distribution Losses,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,Population: Percentage,Economics: GDP
2022-01-01,26.392742098185945,18.18431714335655,3.26000365317557,0.46793527845338734,0.6315846428173131,1330726347797.387
2023-01-01,25.686256740404573,16.005443353975167,1.175763874684675,0.34667132341659884,0.6403617759480571,1312035342903.7993
2024-01-01,26.53591412670133,16.63946259052105,1.1047104587255892,0.38745879883639167,0.639104754372508,1411133693117.3262
2025-01-01,25.72962840233236,16.996244134582174,2.4727304996099218,0.45310073252364486,0.6392367272268328,1335581533784.9685
2026-01-01,26.34769948435931,17.792893800325203,3.069064754728415,0.4713154254947327,0.6385467615432145,1318945119048.7576
2027-01-01,26.656231743794187,17.78746637774315,2.572447934265428,0.46074909907983486,0.6358638971994115,1380927164345.7234
2028-01-01,26.23982881613724,17.24764596128191,2.2269800102178623,0.3949154740026102,0.637395891459714,1339172430114.4626
2029-01-01,26.835969692619983,16.972765677292827,1.2432435298032884,0.38642946806947215,0.6373032041795949,1412074077316.8364
2030-01-01,26.498928251994318,17.28585002383374,2.166226592344457,0.47559677971346426,0.638178440186917,1383244542233.0146
2031-01-01,26.58022808269439,17.549957610150614,2.454131374517938,0.4759138329338116,0.6376020574847622,1372636829965.6694
