,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,Population: Percentage,Economics: GDP
2022-01-01,0.027513893275412482,0.15153455864654253,0.5506658042765544,0.990650282711595,0.0013875764331849234,1080331054.275996
2023-01-01,0.029836884017972305,0.1607701482247437,0.5621177677556756,1.0484768749253783,0.0013907461731859567,1169272992.0640543
2024-01-01,0.015423808970316841,0.14509208052754152,0.4885647863868758,1.3272683631520035,0.001387926915675316,1460452923.1812806
2025-01-01,0.02915791234581539,0.15843432950097142,0.5572355768432693,1.0619980145993337,0.0013900576270172592,1178216897.3865376
2026-01-01,0.031421209886088354,0.16845142166341215,0.6180410422555092,0.9945998085657557,0.0013960636547763995,1257621325.2205276
2027-01-01,0.022698044527882013,0.15245030200583845,0.5622364909931111,1.102625798839627,0.0013911839488314768,1316685862.415424
2028-01-01,0.028071698606127765,0.15123528298225916,0.5446181468584755,1.0135683746674635,0.0013870501267174455,1084908911.1390605
2029-01-01,0.03326270949506615,0.1702122748566099,0.6286259357911104,0.978890782100774,0.00139660295543064,1249747317.7524943
2030-01-01,0.028916439249840213,0.16567140912490072,0.6292636337443647,1.0146775938243198,0.0013970831453534926,1345191651.8197017
2031-01-01,0.03054014123475638,0.1629550643864784,0.6059719443944036,0.9951876246831571,0.0013939108697305458,1228194156.190705
