,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.417,0.715,3.6417845791794794,6463649985.01648
1993-01-01,0.488,0.724,3.6417845791794794,5368270614.8468
1994-01-01,0.409,0.726,3.513818865592061,4167356037.1517
1995-01-01,0.513,0.729,3.394540848845113,4258788725.44991
1996-01-01,0.548,0.757,3.2830948529552164,5785685310.86668
1997-01-01,0.664,0.754,3.178734000592623,6838557384.40357
1998-01-01,0.71,0.775,3.0808034537178504,6325141675.86989
1999-01-01,0.897,0.787,2.988726659567724,7641102523.15082
2000-01-01,0.948,0.873,2.9019939914851327,9652436179.64605
2001-01-01,1.03,0.873,3.282701423073008,9861560094.74009
2002-01-01,0.934,0.928,3.1783651839490363,10694628091.6726
2003-01-01,0.978,1.087,3.080457010810924,11777966673.3897
2004-01-01,0.977,0.7398,2.9884006145683184,13872791658.5487
2005-01-01,1.075,0.7992,2.9016865945441337,16746344766.2044
2006-01-01,1.376,0.91,2.819863007666175,19061978586.1278
2007-01-01,1.532,0.9474,2.742527489514269,21650532264.2322
2008-01-01,1.508,0.9942,2.6693206372543092,26910851361.7555
2009-01-01,1.639,1.3354,2.5999204248028405,25130274124.2525
2010-01-01,1.854,1.3354,2.5340374671229697,30906749533.221
2011-01-01,1.59,1.536,3.0493107283696816,32726417212.348
2012-01-01,2.33,1.536,2.959079208600859,35401341663.0425
2013-01-01,2.19,1.537,2.874034258412106,40415235701.9871
2014-01-01,1.924,1.524,2.79374117981293,43228585321.3272
2015-01-01,1.423,1.579,2.7178125319186037,42445102386.6049
2016-01-01,1.164,1.599,2.64232641086078,31317365269.4611
2017-01-01,0.958761,1.619,2.5743048732975624,26840128755.3648
2018-01-01,0.731799,1.769,2.509697605533299,21606140907.4454
2019-01-01,0.674994,1.769,2.4482538375938177,21606140907.4454
2020-01-01,0.589554,1.772,2.3897467705744546,21606140907.4454
2021-01-01,0.589554,1.772,2.187718354756402,21606140907.4454
