,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,Population: Percentage,Economics: GDP
1997-01-01,2.883,0.0,0.0,0.0,1.8642371683531247,0.4408855618226784,55252414130.3019,3.01,0.0,0.0,0.0,1.899651171562448,0.4390392316736187,53312793687.3836,3.266,0.0,0.0,0.0,1.936436714292062,0.437139039552719,44882079766.8913,2.697,0.0,0.0,0.0,1.9746750468879648,0.4351825936439867,34832077220.8537,2.301,0.0,0.0,0.0,1.9746750468879648,0.4331673583878158,35966302303.263,2.883,0.0,0.002,0.002,1.8301194022314833,0.4426802881161546,58147522522.5225
1998-01-01,2.883,0.0,0.002,0.002,1.8301194022314833,0.4426802881161546,58147522522.5225,2.883,0.0,0.0,0.0,1.8642371683531247,0.4408855618226784,55252414130.3019,3.01,0.0,0.0,0.0,1.899651171562448,0.4390392316736187,53312793687.3836,3.266,0.0,0.0,0.0,1.936436714292062,0.437139039552719,44882079766.8913,2.697,0.0,0.0,0.0,1.9746750468879648,0.4351825936439867,34832077220.8537,2.394,0.0,0.001,0.001,1.7972279841904797,0.4444255441838891,55501467877.381
1999-01-01,2.394,0.0,0.001,0.001,1.7972279841904797,0.4444255441838891,55501467877.381,2.883,0.0,0.002,0.002,1.8301194022314833,0.4426802881161546,58147522522.5225,2.883,0.0,0.0,0.0,1.8642371683531247,0.4408855618226784,55252414130.3019,3.01,0.0,0.0,0.0,1.899651171562448,0.4390392316736187,53312793687.3836,3.266,0.0,0.0,0.0,1.936436714292062,0.437139039552719,44882079766.8913,2.294,0.0,0.0,0.0,1.7654979607790464,0.4461233476311132,50187324567.883
2000-01-01,2.294,0.0,0.0,0.0,1.7654979607790464,0.4461233476311132,50187324567.883,2.394,0.0,0.001,0.001,1.7972279841904797,0.4444255441838891,55501467877.381,2.883,0.0,0.002,0.002,1.8301194022314833,0.4426802881161546,58147522522.5225,2.883,0.0,0.0,0.0,1.8642371683531247,0.4408855618226784,55252414130.3019,3.01,0.0,0.0,0.0,1.899651171562448,0.4390392316736187,53312793687.3836,2.287,0.0,0.0,0.0,1.734868885974968,0.4477756078192953,51744749133.213
2001-01-01,2.287,0.0,0.0,0.0,1.734868885974968,0.4477756078192953,51744749133.213,2.294,0.0,0.0,0.0,1.7654979607790464,0.4461233476311132,50187324567.883,2.394,0.0,0.001,0.001,1.7972279841904797,0.4444255441838891,55501467877.381,2.883,0.0,0.002,0.002,1.8301194022314833,0.4426802881161546,58147522522.5225,2.883,0.0,0.0,0.0,1.8642371683531247,0.4408855618226784,55252414130.3019,2.236,0.0,0.0,0.0,0.9661178762756956,0.4461233312802227,52030158775.4055
2002-01-01,2.236,0.0,0.0,0.0,0.9661178762756956,0.4461233312802227,52030158775.4055,2.287,0.0,0.0,0.0,1.734868885974968,0.4477756078192953,51744749133.213,2.294,0.0,0.0,0.0,1.7654979607790464,0.4461233476311132,50187324567.883,2.394,0.0,0.001,0.001,1.7972279841904797,0.4444255441838891,55501467877.381,2.883,0.0,0.002,0.002,1.8301194022314833,0.4426802881161546,58147522522.5225,2.276,0.0,0.0,0.0,0.9568733517709184,0.4445141818509974,54777553515.0809
2003-01-01,2.276,0.0,0.0,0.0,0.9568733517709184,0.4445141818509974,54777553515.0809,2.236,0.0,0.0,0.0,0.9661178762756956,0.4461233312802227,52030158775.4055,2.287,0.0,0.0,0.0,1.734868885974968,0.4477756078192953,51744749133.213,2.294,0.0,0.0,0.0,1.7654979607790464,0.4461233476311132,50187324567.883,2.394,0.0,0.001,0.001,1.7972279841904797,0.4444255441838891,55501467877.381,2.317,0.0,0.0,0.0,0.9478040672246312,0.442946492752686,58731030121.8671
2004-01-01,2.317,0.0,0.0,0.0,0.9478040672246312,0.442946492752686,58731030121.8671,2.276,0.0,0.0,0.0,0.9568733517709184,0.4445141818509974,54777553515.0809,2.236,0.0,0.0,0.0,0.9661178762756956,0.4461233312802227,52030158775.4055,2.287,0.0,0.0,0.0,1.734868885974968,0.4477756078192953,51744749133.213,2.294,0.0,0.0,0.0,1.7654979607790464,0.4461233476311132,50187324567.883,2.359,0.0,0.0,0.0,0.9389050866262224,0.4414186820042841,66768703497.5687
2005-01-01,2.359,0.0,0.0,0.0,0.9389050866262224,0.4414186820042841,66768703497.5687,2.317,0.0,0.0,0.0,0.9478040672246312,0.442946492752686,58731030121.8671,2.276,0.0,0.0,0.0,0.9568733517709184,0.4445141818509974,54777553515.0809,2.236,0.0,0.0,0.0,0.9661178762756956,0.4461233312802227,52030158775.4055,2.287,0.0,0.0,0.0,1.734868885974968,0.4477756078192953,51744749133.213,2.381,0.008,0.0,-0.008,0.9301716576184872,0.4399292470977876,76060606060.6061
2006-01-01,2.381,0.008,0.0,-0.008,0.9301716576184872,0.4399292470977876,76060606060.6061,2.359,0.0,0.0,0.0,0.9389050866262224,0.4414186820042841,66768703497.5687,2.317,0.0,0.0,0.0,0.9478040672246312,0.442946492752686,58731030121.8671,2.276,0.0,0.0,0.0,0.9568733517709184,0.4445141818509974,54777553515.0809,2.236,0.0,0.0,0.0,0.9661178762756956,0.4461233312802227,52030158775.4055,2.549,0.0,0.0,0.0,0.9215992030350176,0.4384767600695491,88643193061.748
