,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Density_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Density_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Density_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Density_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Density_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Density,Economics: GDP
1997-01-01,1.25152958,4.396,16.62746442,418.6894250281849,45340835000.0,1.21849924,4.396,16.18863276,415.4951521984216,42647331000.0,1.17841066,4.396,15.65602734,412.3008793686584,39690630000.0,1.1325104,4.23,15.0462096,409.1066065388952,36922456000.0,1.08120894,4.23,14.36463306,405.9123337091319,34630430000.0,1.31201833,4.396,17.43110067,421.8836978579481,48187039000.0
1998-01-01,1.31201833,4.396,17.43110067,421.8836978579481,48187039000.0,1.25152958,4.396,16.62746442,418.6894250281849,45340835000.0,1.21849924,4.396,16.18863276,415.4951521984216,42647331000.0,1.17841066,4.396,15.65602734,412.3008793686584,39690630000.0,1.1325104,4.23,15.0462096,409.1066065388952,36922456000.0,1.34486597,4.903,17.86750503,425.0779706877114,54086400000.0
1999-01-01,1.34486597,4.903,17.86750503,425.0779706877114,54086400000.0,1.31201833,4.396,17.43110067,421.8836978579481,48187039000.0,1.25152958,4.396,16.62746442,418.6894250281849,45340835000.0,1.21849924,4.396,16.18863276,415.4951521984216,42647331000.0,1.17841066,4.396,15.65602734,412.3008793686584,39690630000.0,1.40727608,4.9178,18.69666792,428.27224351747464,57841000000.0
2000-01-01,1.40727608,4.9178,18.69666792,428.27224351747464,57841000000.0,1.34486597,4.903,17.86750503,425.0779706877114,54086400000.0,1.31201833,4.396,17.43110067,421.8836978579481,48187039000.0,1.25152958,4.396,16.62746442,418.6894250281849,45340835000.0,1.21849924,4.396,16.18863276,415.4951521984216,42647331000.0,1.30881,4.9028,20.50419,431.4665163472378,61701800000.0
2001-01-01,1.30881,4.9028,20.50419,431.4665163472378,61701800000.0,1.40727608,4.9178,18.69666792,428.27224351747464,57841000000.0,1.34486597,4.903,17.86750503,425.0779706877114,54086400000.0,1.31201833,4.396,17.43110067,421.8836978579481,48187039000.0,1.25152958,4.396,16.62746442,418.6894250281849,45340835000.0,1.33812,4.9028,20.96388,430.2355580608794,69208400000.0
2002-01-01,1.33812,4.9028,20.96388,430.2355580608794,69208400000.0,1.30881,4.9028,20.50419,431.4665163472378,61701800000.0,1.40727608,4.9178,18.69666792,428.27224351747464,57841000000.0,1.34486597,4.903,17.86750503,425.0779706877114,54086400000.0,1.31201833,4.396,17.43110067,421.8836978579481,48187039000.0,1.390536,5.358,21.784464,429.0045997745208,71623500000.0
2003-01-01,1.390536,5.358,21.784464,429.0045997745208,71623500000.0,1.33812,4.9028,20.96388,430.2355580608794,69208400000.0,1.30881,4.9028,20.50419,431.4665163472378,61701800000.0,1.40727608,4.9178,18.69666792,428.27224351747464,57841000000.0,1.34486597,4.903,17.86750503,425.0779706877114,54086400000.0,1.436238,5.358,22.500762,427.7736414881623,74827400000.0
2004-01-01,1.436238,5.358,22.500762,427.7736414881623,74827400000.0,1.390536,5.358,21.784464,429.0045997745208,71623500000.0,1.33812,4.9028,20.96388,430.2355580608794,69208400000.0,1.30881,4.9028,20.50419,431.4665163472378,61701800000.0,1.40727608,4.9178,18.69666792,428.27224351747464,57841000000.0,1.448112,5.357425,22.686888,426.54268320180387,80322313000.0
2005-01-01,1.448112,5.357425,22.686888,426.54268320180387,80322313000.0,1.436238,5.358,22.500762,427.7736414881623,74827400000.0,1.390536,5.358,21.784464,429.0045997745208,71623500000.0,1.33812,4.9028,20.96388,430.2355580608794,69208400000.0,1.30881,4.9028,20.50419,431.4665163472378,61701800000.0,1.497708,5.402,23.4645763,425.3117249154453,83914521300.0
2006-01-01,1.497708,5.402,23.4645763,425.3117249154453,83914521300.0,1.448112,5.357425,22.686888,426.54268320180387,80322313000.0,1.436238,5.358,22.500762,427.7736414881623,74827400000.0,1.390536,5.358,21.784464,429.0045997745208,71623500000.0,1.33812,4.9028,20.96388,430.2355580608794,69208400000.0,1.496784,5.493,22.340216,424.0807666290868,87276164400.0
