,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Economics: GDP
1997-01-01,1.529,1.638,4.734,18241691857.3544,1.554,1.612,3.627,16637370839.1608,1.572,1.612,3.234,14644711384.8202,1.483,1.61,3.706,13081042400.0,1.546,1.61,2.412,11605382504.0,2.036,2.629,4.802,20017480054.834
1998-01-01,2.036,2.629,4.802,20017480054.834,1.529,1.638,4.734,18241691857.3544,1.554,1.612,3.627,16637370839.1608,1.572,1.612,3.234,14644711384.8202,1.483,1.61,3.706,13081042400.0,2.095,2.9405,5.175,21672231760.6491
1999-01-01,2.095,2.9405,5.175,21672231760.6491,2.036,2.629,4.802,20017480054.834,1.529,1.638,4.734,18241691857.3544,1.554,1.612,3.627,16637370839.1608,1.572,1.612,3.234,14644711384.8202,2.103,3.0805,6.461,22136621337.0889
2000-01-01,2.103,3.0805,6.461,22136621337.0889,2.095,2.9405,5.175,21672231760.6491,2.036,2.629,4.802,20017480054.834,1.529,1.638,4.734,18241691857.3544,1.554,1.612,3.627,16637370839.1608,1.456,3.0805,6.64766,24305717541.6371
2001-01-01,1.456,3.0805,6.64766,24305717541.6371,2.103,3.0805,6.461,22136621337.0889,2.095,2.9405,5.175,21672231760.6491,2.036,2.629,4.802,20017480054.834,1.529,1.638,4.734,18241691857.3544,1.477,5.0825,8.29362,25601765400.5153
2002-01-01,1.477,5.0825,8.29362,25601765400.5153,1.456,3.0805,6.64766,24305717541.6371,2.103,3.0805,6.461,22136621337.0889,2.095,2.9405,5.175,21672231760.6491,2.036,2.629,4.802,20017480054.834,1.58,5.034,10.27888,27137508656.8522
2003-01-01,1.58,5.034,10.27888,27137508656.8522,1.477,5.0825,8.29362,25601765400.5153,1.456,3.0805,6.64766,24305717541.6371,2.103,3.0805,6.461,22136621337.0889,2.095,2.9405,5.175,21672231760.6491,1.604,5.452,10.97538,21403167848.1444
2004-01-01,1.604,5.452,10.97538,21403167848.1444,1.58,5.034,10.27888,27137508656.8522,1.477,5.0825,8.29362,25601765400.5153,1.456,3.0805,6.64766,24305717541.6371,2.103,3.0805,6.461,22136621337.0889,1.354,5.321,9.8285,22322395368.0274
2005-01-01,1.354,5.321,9.8285,22322395368.0274,1.604,5.452,10.97538,21403167848.1444,1.58,5.034,10.27888,27137508656.8522,1.477,5.0825,8.29362,25601765400.5153,1.456,3.0805,6.64766,24305717541.6371,1.537,5.52861,10.5094,35777570135.5225
2006-01-01,1.537,5.52861,10.5094,35777570135.5225,1.354,5.321,9.8285,22322395368.0274,1.604,5.452,10.97538,21403167848.1444,1.58,5.034,10.27888,27137508656.8522,1.477,5.0825,8.29362,25601765400.5153,1.682,5.528,11.42394,37879869897.8979
2007-01-01,1.682,5.528,11.42394,37879869897.8979,1.537,5.52861,10.5094,35777570135.5225,1.354,5.321,9.8285,22322395368.0274,1.604,5.452,10.97538,21403167848.1444,1.58,5.034,10.27888,27137508656.8522,1.761,3.5463,11.92674,43965420072.4107
2008-01-01,1.761,3.5463,11.92674,43965420072.4107,1.682,5.528,11.42394,37879869897.8979,1.537,5.52861,10.5094,35777570135.5225,1.354,5.321,9.8285,22322395368.0274,1.604,5.452,10.97538,21403167848.1444,1.828,3.34686,9.895,48122547177.1881
2009-01-01,1.828,3.34686,9.895,48122547177.1881,1.761,3.5463,11.92674,43965420072.4107,1.682,5.528,11.42394,37879869897.8979,1.537,5.52861,10.5094,35777570135.5225,1.354,5.321,9.8285,22322395368.0274,1.809,3.36236,9.7925,48261033298.2133
2010-01-01,1.809,3.36236,9.7925,48261033298.2133,1.828,3.34686,9.895,48122547177.1881,1.761,3.5463,11.92674,43965420072.4107,1.682,5.528,11.42394,37879869897.8979,1.537,5.52861,10.5094,35777570135.5225,1.946,3.39236,12.04206,53860175555.9961
2011-01-01,1.946,3.39236,12.04206,53860175555.9961,1.809,3.36236,9.7925,48261033298.2133,1.828,3.34686,9.895,48122547177.1881,1.761,3.5463,11.92674,43965420072.4107,1.682,5.528,11.42394,37879869897.8979,2.012,4.9417,12.9184,58029750745.6495
2012-01-01,2.012,4.9417,12.9184,58029750745.6495,1.946,3.39236,12.04206,53860175555.9961,1.809,3.36236,9.7925,48261033298.2133,1.828,3.34686,9.895,48122547177.1881,1.761,3.5463,11.92674,43965420072.4107,2.158,5.2404,13.64062,60681537195.7996
2013-01-01,2.158,5.2404,13.64062,60681537195.7996,2.012,4.9417,12.9184,58029750745.6495,1.946,3.39236,12.04206,53860175555.9961,1.809,3.36236,9.7925,48261033298.2133,1.828,3.34686,9.895,48122547177.1881,2.241,5.338101,14.48936,62682163837.347
