,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.594,1.583,0.8974926885213624,9703011635.86585
1993-01-01,0.707,1.557,0.8974926885213624,10338679635.7616
1994-01-01,0.774,1.535,0.8895094066330992,11717604208.8223
1995-01-01,0.866,1.533,0.8816668966522078,13029697560.9756
1996-01-01,0.774,1.43,0.8739614677019836,13897738375.2488
1997-01-01,0.9,1.697,0.8663895568152246,15091913883.7091
1998-01-01,1.057,1.657,0.8589477234408514,15794972847.1683
1999-01-01,1.275,1.6875,0.8516326442311286,15656327859.5696
2000-01-01,1.468,1.8545,0.844441108093299,16330814179.9766
2001-01-01,1.281,2.0161,1.0077485154080172,15749753804.8344
2002-01-01,1.309,2.3044,0.9976942662515368,16536535647.0834
2003-01-01,1.444,2.558,0.9878386566146954,18881765437.2151
2004-01-01,1.365,2.6831,0.9781758573659428,20662525941.2985
2005-01-01,1.504,2.4336,0.9687002652411336,24405791044.7761
2006-01-01,1.561,2.468,0.9594064920083084,28279814924.5918
2007-01-01,1.561,2.459,0.950289354250744,32350248410.8216
2008-01-01,1.484,2.6888,0.9413438637268736,40713812309.7316
2009-01-01,1.431,2.7436,0.9325652182694248,42066217871.5349
2010-01-01,1.487,2.847,0.9239487931895372,56725749221.9043
2011-01-01,1.415,3.166,0.6465279603215648,65292753005.4665
2012-01-01,1.192,3.386,0.6423748274520201,68434409315.1123
2013-01-01,1.201,3.27945,0.6382747113761477,74317806538.3632
2014-01-01,1.426,4.01709,0.6342266033541184,79356449840.5771
2015-01-01,0.925,3.958804,0.630229520075608,80604080688.5775
2016-01-01,0.997,3.979089,0.3546772023804739,82401038709.5356
2017-01-01,0.82729,4.163372,0.3534236891273447,87428128123.7209
2018-01-01,1.40746,4.153112,0.3521790050951879,87963042340.8379
2019-01-01,1.371987,4.36945,0.3509430573274587,83990946939.4651
2020-01-01,1.496441,4.668,0.3497157541678091,80676681933.978
2021-01-01,1.496441,4.785,0.2695454158835894,80676681933.978
