,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1997-01-01,0.774,1.43,0.8739614677019836,13897738375.2488,0.866,1.533,0.8816668966522078,13029697560.9756,0.774,1.535,0.8895094066330992,11717604208.8223,0.707,1.557,0.8974926885213624,10338679635.7616,0.594,1.583,0.8974926885213624,9703011635.86585,0.9,1.697,0.8663895568152246,15091913883.7091
1998-01-01,0.9,1.697,0.8663895568152246,15091913883.7091,0.774,1.43,0.8739614677019836,13897738375.2488,0.866,1.533,0.8816668966522078,13029697560.9756,0.774,1.535,0.8895094066330992,11717604208.8223,0.707,1.557,0.8974926885213624,10338679635.7616,1.057,1.657,0.8589477234408514,15794972847.1683
1999-01-01,1.057,1.657,0.8589477234408514,15794972847.1683,0.9,1.697,0.8663895568152246,15091913883.7091,0.774,1.43,0.8739614677019836,13897738375.2488,0.866,1.533,0.8816668966522078,13029697560.9756,0.774,1.535,0.8895094066330992,11717604208.8223,1.275,1.6875,0.8516326442311286,15656327859.5696
2000-01-01,1.275,1.6875,0.8516326442311286,15656327859.5696,1.057,1.657,0.8589477234408514,15794972847.1683,0.9,1.697,0.8663895568152246,15091913883.7091,0.774,1.43,0.8739614677019836,13897738375.2488,0.866,1.533,0.8816668966522078,13029697560.9756,1.468,1.8545,0.844441108093299,16330814179.9766
2001-01-01,1.468,1.8545,0.844441108093299,16330814179.9766,1.275,1.6875,0.8516326442311286,15656327859.5696,1.057,1.657,0.8589477234408514,15794972847.1683,0.9,1.697,0.8663895568152246,15091913883.7091,0.774,1.43,0.8739614677019836,13897738375.2488,1.281,2.0161,1.0077485154080172,15749753804.8344
2002-01-01,1.281,2.0161,1.0077485154080172,15749753804.8344,1.468,1.8545,0.844441108093299,16330814179.9766,1.275,1.6875,0.8516326442311286,15656327859.5696,1.057,1.657,0.8589477234408514,15794972847.1683,0.9,1.697,0.8663895568152246,15091913883.7091,1.309,2.3044,0.9976942662515368,16536535647.0834
2003-01-01,1.309,2.3044,0.9976942662515368,16536535647.0834,1.281,2.0161,1.0077485154080172,15749753804.8344,1.468,1.8545,0.844441108093299,16330814179.9766,1.275,1.6875,0.8516326442311286,15656327859.5696,1.057,1.657,0.8589477234408514,15794972847.1683,1.444,2.558,0.9878386566146954,18881765437.2151
2004-01-01,1.444,2.558,0.9878386566146954,18881765437.2151,1.309,2.3044,0.9976942662515368,16536535647.0834,1.281,2.0161,1.0077485154080172,15749753804.8344,1.468,1.8545,0.844441108093299,16330814179.9766,1.275,1.6875,0.8516326442311286,15656327859.5696,1.365,2.6831,0.9781758573659428,20662525941.2985
2005-01-01,1.365,2.6831,0.9781758573659428,20662525941.2985,1.444,2.558,0.9878386566146954,18881765437.2151,1.309,2.3044,0.9976942662515368,16536535647.0834,1.281,2.0161,1.0077485154080172,15749753804.8344,1.468,1.8545,0.844441108093299,16330814179.9766,1.504,2.4336,0.9687002652411336,24405791044.7761
2006-01-01,1.504,2.4336,0.9687002652411336,24405791044.7761,1.365,2.6831,0.9781758573659428,20662525941.2985,1.444,2.558,0.9878386566146954,18881765437.2151,1.309,2.3044,0.9976942662515368,16536535647.0834,1.281,2.0161,1.0077485154080172,15749753804.8344,1.561,2.468,0.9594064920083084,28279814924.5918
