,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Population: Percentage,Economics: GDP
1992-01-01,0.119,0.0,0.314,0.0080167634811923,404600000.0
1993-01-01,0.12,0.0,0.314,0.008020910598766,428764705.882353
1994-01-01,0.12,0.0,0.314,0.0080249367347644,605492537.313433
1995-01-01,0.12,0.0,0.314,0.0080288471070716,691590497.737557
1996-01-01,0.117,0.0,0.314,0.0080326466377639,861411471.321696
1997-01-01,0.119,0.0,0.314,0.0080363399737796,926422500.0
1998-01-01,0.118,0.0,0.314,0.0080399315058784,1110850000.0
1999-01-01,0.12,0.0,0.389,0.008043425386055,886290697.674419
2000-01-01,0.105,0.0,0.389,0.0080468255435511,947671969.69697
2001-01-01,0.111,0.0,0.389,0.0080516220284567,834279357.798165
2002-01-01,0.121,0.0,0.389,0.008056293317291,1093574468.08511
2003-01-01,0.12,0.0,0.389,0.0080608442486387,1274190311.41869
2004-01-01,0.127,0.0,0.389,0.0080652794149199,1484092538.40527
2005-01-01,0.137,0.0,0.389,0.0080696031778482,1793388732.29125
2006-01-01,0.138,0.0,0.389,0.0080738196827381,2626380435.17877
2007-01-01,0.14,0.0,0.389,0.0080779328717613,2936612021.85792
2008-01-01,0.1551,0.0,0.389,0.0080819464962396,3532969034.60838
2009-01-01,0.1566,0.0,0.389,0.0080858641280564,3875409836.06557
2010-01-01,0.147,0.0,0.4102,0.0080896891702587,4368398047.64333
2011-01-01,0.17558,0.0,0.4663,0.0080744746544106,4422276621.78703
2012-01-01,0.17752,0.073,0.467,0.0080596361573773,4980000000.0
2013-01-01,0.1966,0.32,0.537,0.0080451599096489,5145757575.75758
2014-01-01,0.1896,0.443,0.5024,0.0080310328059126,5240606060.60606
2015-01-01,0.241713889,0.129,0.5035,0.0080172423654819,5126291450.81511
2016-01-01,0.2166,0.439,0.5102,0.008015755267697,3317438910.83068
2017-01-01,0.21685,0.891,0.5328,0.0080143006552351,3591623596.03082
2018-01-01,0.42615,0.808,0.5355,0.0080128774751447,3996247906.19765
2019-01-01,0.45242,0.8183,0.5427,0.0080114847194941,3984483762.37123
2020-01-01,0.45,0.8,0.5437,0.0080101214229904,2884248048.49068
2021-01-01,0.45,0.8,0.5337,0.0080153894792335,2884248048.49068
