,Electricity: Distribution Losses_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Population: Growth Rate,Economics: GDP
1997-01-01,0.16,3.333705334803932,8547939730.62374,0.153,3.4486739626777125,7663984567.90123,0.145,3.571855617337264,6927950564.55657,0.138,3.7041629704734618,8830712713.90781,0.124,3.7041629704734618,10492993077.6093,0.161,3.2261548388327297,8589211390.49612
1998-01-01,0.161,3.2261548388327297,8589211390.49612,0.16,3.333705334803932,8547939730.62374,0.153,3.4486739626777125,7663984567.90123,0.145,3.571855617337264,6927950564.55657,0.138,3.7041629704734618,8830712713.90781,0.165,3.12532695213703,7818224905.55071
1999-01-01,0.165,3.12532695213703,7818224905.55071,0.161,3.2261548388327297,8589211390.49612,0.16,3.333705334803932,8547939730.62374,0.153,3.4486739626777125,7663984567.90123,0.145,3.571855617337264,6927950564.55657,0.164,3.030610466415838,7700833482.00615
2000-01-01,0.164,3.030610466415838,7700833482.00615,0.165,3.12532695213703,7818224905.55071,0.161,3.2261548388327297,8589211390.49612,0.16,3.333705334803932,8547939730.62374,0.153,3.4486739626777125,7663984567.90123,0.167,2.941466087307815,8242392103.68061
2001-01-01,0.167,2.941466087307815,8242392103.68061,0.164,3.030610466415838,7700833482.00615,0.165,3.12532695213703,7818224905.55071,0.161,3.2261548388327297,8589211390.49612,0.16,3.333705334803932,8547939730.62374,0.201,3.31274138612312,8231326016.47494
2002-01-01,0.201,3.31274138612312,8231326016.47494,0.167,2.941466087307815,8242392103.68061,0.164,3.030610466415838,7700833482.00615,0.165,3.12532695213703,7818224905.55071,0.161,3.2261548388327297,8589211390.49612,0.204,3.2065177457076577,7850809498.16803
2003-01-01,0.204,3.2065177457076577,7850809498.16803,0.201,3.31274138612312,8231326016.47494,0.167,2.941466087307815,8242392103.68061,0.164,3.030610466415838,7700833482.00615,0.165,3.12532695213703,7818224905.55071,0.23,3.10689461842737,8623691300.04079
2004-01-01,0.23,3.10689461842737,8623691300.04079,0.204,3.2065177457076577,7850809498.16803,0.201,3.31274138612312,8231326016.47494,0.167,2.941466087307815,8242392103.68061,0.164,3.030610466415838,7700833482.00615,0.254,3.0132753293804284,10131187261.4421
2005-01-01,0.254,3.0132753293804284,10131187261.4421,0.23,3.10689461842737,8623691300.04079,0.204,3.2065177457076577,7850809498.16803,0.201,3.31274138612312,8231326016.47494,0.167,2.941466087307815,8242392103.68061,0.285,2.925133017803417,12401139453.9738
2006-01-01,0.285,2.925133017803417,12401139453.9738,0.254,3.0132753293804284,10131187261.4421,0.23,3.10689461842737,8623691300.04079,0.204,3.2065177457076577,7850809498.16803,0.201,3.31274138612312,8231326016.47494,0.327,2.8420007164794665,15280861834.6024
2007-01-01,0.327,2.8420007164794665,15280861834.6024,0.285,2.925133017803417,12401139453.9738,0.254,3.0132753293804284,10131187261.4421,0.23,3.10689461842737,8623691300.04079,0.204,3.2065177457076577,7850809498.16803,0.355,2.763463076058227,19707616772.7996
2008-01-01,0.355,2.763463076058227,19707616772.7996,0.327,2.8420007164794665,15280861834.6024,0.285,2.925133017803417,12401139453.9738,0.254,3.0132753293804284,10131187261.4421,0.23,3.10689461842737,8623691300.04079,0.484,2.689149424648064,27066912635.2228
2009-01-01,0.484,2.689149424648064,27066912635.2228,0.355,2.763463076058227,19707616772.7996,0.327,2.8420007164794665,15280861834.6024,0.285,2.925133017803417,12401139453.9738,0.254,3.0132753293804284,10131187261.4421,0.717,2.6187279179104586,32437389116.038
2010-01-01,0.717,2.6187279179104586,32437389116.038,0.484,2.689149424648064,27066912635.2228,0.355,2.763463076058227,19707616772.7996,0.327,2.8420007164794665,15280861834.6024,0.285,2.925133017803417,12401139453.9738,1.135,2.551900584857493,29933790334.3418
2011-01-01,1.135,2.551900584857493,29933790334.3418,0.717,2.6187279179104586,32437389116.038,0.484,2.689149424648064,27066912635.2228,0.355,2.763463076058227,19707616772.7996,0.327,2.8420007164794665,15280861834.6024,1.552,2.966031286005272,31952763089.33
2012-01-01,1.552,2.966031286005272,31952763089.33,1.135,2.551900584857493,29933790334.3418,0.717,2.6187279179104586,32437389116.038,0.484,2.689149424648064,27066912635.2228,0.355,2.763463076058227,19707616772.7996,1.74,2.8805920253123354,43310721414.0829
2013-01-01,1.74,2.8805920253123354,43310721414.0829,1.552,2.966031286005272,31952763089.33,1.135,2.551900584857493,29933790334.3418,0.717,2.6187279179104586,32437389116.038,0.484,2.689149424648064,27066912635.2228,1.655,2.799937256002203,47648211133.2183
