,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Consumption,Population: Growth Rate,Economics: GDP
2022-01-01,33.242995886898285,0.9910624997673521,0.09586623563218316,170.9210587099495,1.7008536472144744,366212779456.3169
2023-01-01,30.852615707879195,1.469429871084956,0.11800115289892547,157.33496584149015,1.8467209528782929,410082432856.7003
2024-01-01,28.27992964577381,1.2446132332046322,0.1590381435101474,151.31141279252222,1.7907057199237029,442070522680.4337
2025-01-01,26.88143428752957,1.2173546197989482,0.1102937681369975,168.4669164178555,1.9362272194226036,401854778037.0337
2026-01-01,31.477029672512657,0.9056437622021891,0.10707531589615667,170.12661623570523,1.8744023643263432,387364504278.994
2027-01-01,31.66513315348365,1.360230239008782,0.1393806490482952,181.37657019561578,1.8439691077563423,366640066469.09106
2028-01-01,33.913677784166765,1.510229346031724,0.11152608744472123,188.35249540388088,1.9647958957719842,444414442677.7225
2029-01-01,37.7594053401352,1.2926880590170016,0.15566177523029198,197.10115656325132,1.8053205059074766,461677034579.9523
2030-01-01,35.8168285130309,1.1811763052645887,0.07324490939091112,199.42257306973772,1.8413430446283954,453641528861.57776
2031-01-01,38.758107520257326,1.2278580116611755,0.12778102490800147,191.2911351901015,1.876312826727348,436100894959.7306
