,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,Population: Percentage,Economics: GDP
2022-01-01,12.109069892230549,75.24001259125946,234.86046283584972,1.502195848253402,0.333363378183336,1375478187809.2183
2023-01-01,11.66827633658676,76.13320005093111,234.0909811784344,1.4854115446915306,0.33394130820699136,1398174902959.5747
2024-01-01,11.500908931533854,77.217972026571,235.22733611225243,1.486019784525882,0.3344440458551515,1426699108443.3772
2025-01-01,11.736250432536222,74.47935528494477,234.21830978256654,1.5077477477867456,0.33305909220531915,1357559089637.4827
2026-01-01,12.160122996542773,72.5837088129824,230.33238242794317,1.4662700691448431,0.33234488545549934,1255907364950.0378
2027-01-01,11.702816698483112,75.5196102028625,233.2924144946802,1.486803877559322,0.3336266852737403,1384148050764.5579
2028-01-01,11.610239393478421,75.69943807904532,232.75820217080576,1.4768423418403143,0.33381171979308577,1392100913902.2334
2029-01-01,11.503004580248616,76.48913390490085,234.10345398301828,1.4854167714949822,0.33413026032528126,1419155113278.2378
2030-01-01,11.68949173875397,75.11065796665164,232.79590709733566,1.4806282794647054,0.33350301565637175,1366319474149.1304
2031-01-01,12.009399687410035,73.26599671506453,230.2880476970726,1.464054354984265,0.3326831709279441,1286254475951.9053
