,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.006,0.009,0.8324728962312854,310160444.444444
1993-01-01,0.006,0.012,0.8324728962312854,309812185.185185
1994-01-01,0.006,0.012,0.8255999999999999,325111814.814815
1995-01-01,0.008,0.025,0.8188396597689475,342172518.518519
1996-01-01,0.009,0.025,0.8121891330353207,366911444.444444
1997-01-01,0.009,0.025,0.8056457656757433,392190592.592593
1998-01-01,0.01,0.028,0.7992069884145964,445903592.592593
1999-01-01,0.014,0.0272,0.7928703134603565,482009370.37037
2000-01-01,0.017,0.027,0.7866333313006891,520044370.37037
2001-01-01,0.019,0.027,0.6149936704147713,520444185.185185
2002-01-01,0.02,0.032,0.6112346162136731,540336925.925926
2003-01-01,0.021,0.032,0.607521236117686,591018407.407407
2004-01-01,0.02,0.032,0.6038527027138157,599118592.592593
2005-01-01,0.016,0.032,0.6002282084546119,695555555.555555
2006-01-01,0.016,0.032,0.5966469650654009,698700666.666667
2007-01-01,0.007,0.0322,0.5931082029728098,758683592.592593
2008-01-01,0.016,0.04973,0.5896111707534402,825976037.037037
2009-01-01,0.018,0.04835,0.5861551346018696,771275555.555555
2010-01-01,0.017,0.04865,0.5827393778174458,771013259.259259
2011-01-01,0.016,0.05003,0.8665456554336648,778655925.925926
2012-01-01,0.015,0.04865,0.8591011517275889,799882259.259259
2013-01-01,0.015,0.04935,0.851783470125528,842620111.111111
2014-01-01,0.015,0.04935,0.8445893972493129,911497407.407407
2015-01-01,0.017,0.04923,0.8375158273710522,997007925.925926
2016-01-01,0.018,0.05023,0.7871911245587542,1061640740.74074
2017-01-01,0.018,0.05203,0.7810428247632032,1125685185.18519
2018-01-01,0.019,0.05549,0.7749898223630038,1166523555.55556
2019-01-01,0.019,0.05549,0.7690299187616625,1212694407.40741
2020-01-01,0.019,0.05649,0.7631609824781024,1042100555.55556
2021-01-01,0.018420452,0.05649,0.7176762653340125,1042100555.55556
