,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Economics: GDP
1992-01-01,2.53,0.052,0.325,2.812,6.358,8.615,1272835453.42634
1993-01-01,2.39,0.131,0.114,2.768,3.724,6.131,1201312829.27524
1994-01-01,2.241,0.0,0.02,2.768,3.273,5.494,1315158636.67553
1995-01-01,2.195,0.0,0.015,2.768,2.858,5.038,1468317435.20148
1996-01-01,2.349,0.0,0.0,3.018,3.486,5.835,1596968946.23708
1997-01-01,1.251,0.124,0.0,3.018,4.281,5.656,1639492444.76152
1998-01-01,1.764,0.387,0.0,3.018,3.671,5.822,1893726437.26462
1999-01-01,1.437,0.704,0.46,3.018,3.88,5.561,1845482173.02732
2000-01-01,1.512,0.815,0.4,3.174,3.69148,5.61848,1911563668.85006
2001-01-01,1.502,0.701,0.33,3.34,3.6946,5.5676,2118467913.37873
2002-01-01,1.414,0.66,0.3,3.298,3.44126,5.21526,2376335048.39976
2003-01-01,1.24,0.583,0.307,3.302,3.69574,5.21174,2807061008.69084
2004-01-01,0.956,1.012,0.26,3.131,4.19614,5.90414,3576615240.41616
2005-01-01,1.001,1.1511,0.3376,3.13664,4.16382,5.97832,4900469950.09033
2006-01-01,0.779,0.7545,0.3549,3.16164,4.43884,5.61744,6384451606.1421
2007-01-01,0.7754,0.4513,0.4187,3.10664,4.776465,5.584465,9206301700.39619
2008-01-01,0.892,0.36,0.343,3.11964,4.55743,5.46643,11662040713.8753
2009-01-01,0.843,0.336,0.291,3.14304,4.48976,5.37776,8647936747.98704
2010-01-01,0.73,1.061,0.246,3.44664,4.63072,6.17572,9260284937.79781
2011-01-01,0.904,1.383,0.205,3.4756,4.9886,7.0706,10142111334.4961
2012-01-01,0.981,1.696,0.098,4.022,5.04306,7.62206,10619320048.5857
2013-01-01,0.949,1.313,0.148,4.061,5.19162,7.30562,11121465767.4067
2014-01-01,0.929,1.314,0.206,4.066,5.29666,7.33366,11609512939.7542
2015-01-01,0.812,1.424,0.174,3.506,5.32894,7.39094,10553337672.9872
2016-01-01,0.706,1.229,0.275,3.531,5.29114,6.95114,10546135160.031
2017-01-01,0.668,1.44,0.319,3.547,5.57268,7.36168,11527458565.7334
2018-01-01,0.611,1.627,0.204,3.4706,5.35326,7.38726,12457941907.0333
2019-01-01,0.548,1.251,0.293,3.5036,5.79847,7.30447,13619291361.2814
2020-01-01,0.565,1.333,0.32,3.6326,5.86704,7.44504,12641209802.112
2021-01-01,0.565,0.995,0.368,3.7846,6.13238676,7.32438676,12641209802.112
