,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1997-01-01,0.078232,0.115,0.0,0.19,3.0927567156621203,6044585326.938,0.073143,0.115,0.0,0.193,3.1914608349631695,5755818947.42125,0.070455,0.114,0.0,0.162,3.29667285808584,3990430446.71216,0.067704,0.114,0.0,0.162,3.409058359747978,3220439044.18949,0.068761,0.112,0.0,0.162,3.409058359747978,2857457860.05088,0.08757,0.115,0.0,0.265,2.9999747937599386,6269333313.17108
1998-01-01,0.08757,0.115,0.0,0.265,2.9999747937599386,6269333313.17108,0.078232,0.115,0.0,0.19,3.0927567156621203,6044585326.938,0.073143,0.115,0.0,0.193,3.1914608349631695,5755818947.42125,0.070455,0.114,0.0,0.162,3.29667285808584,3990430446.71216,0.067704,0.114,0.0,0.162,3.409058359747978,3220439044.18949,0.08862,0.18,0.001,0.265,2.912597599918737,6584815846.52754
1999-01-01,0.08862,0.18,0.001,0.265,2.912597599918737,6584815846.52754,0.08757,0.115,0.0,0.265,2.9999747937599386,6269333313.17108,0.078232,0.115,0.0,0.19,3.0927567156621203,6044585326.938,0.073143,0.115,0.0,0.193,3.1914608349631695,5755818947.42125,0.070455,0.114,0.0,0.162,3.29667285808584,3990430446.71216,0.08848,0.18,0.001,0.28,2.8301662457706924,5998563257.94659
2000-01-01,0.08848,0.18,0.001,0.28,2.8301662457706924,5998563257.94659,0.08862,0.18,0.001,0.265,2.912597599918737,6584815846.52754,0.08757,0.115,0.0,0.265,2.9999747937599386,6269333313.17108,0.078232,0.115,0.0,0.19,3.0927567156621203,6044585326.938,0.073143,0.115,0.0,0.193,3.1914608349631695,5755818947.42125,0.623,0.165,0.001,0.2962,2.7522723623789673,6193246837.09687
2001-01-01,0.623,0.165,0.001,0.2962,2.7522723623789673,6193246837.09687,0.08848,0.18,0.001,0.28,2.8301662457706924,5998563257.94659,0.08862,0.18,0.001,0.265,2.912597599918737,6584815846.52754,0.08757,0.115,0.0,0.265,2.9999747937599386,6269333313.17108,0.078232,0.115,0.0,0.19,3.0927567156621203,6044585326.938,0.621,0.161,0.001,0.3208,3.4641088890967717,5840503868.57246
2002-01-01,0.621,0.161,0.001,0.3208,3.4641088890967717,5840503868.57246,0.623,0.165,0.001,0.2962,2.7522723623789673,6193246837.09687,0.08848,0.18,0.001,0.28,2.8301662457706924,5998563257.94659,0.08862,0.18,0.001,0.265,2.912597599918737,6584815846.52754,0.08757,0.115,0.0,0.265,2.9999747937599386,6269333313.17108,0.67,0.265,0.003,0.3211,3.348126153398698,6178563590.89254
2003-01-01,0.67,0.265,0.003,0.3211,3.348126153398698,6178563590.89254,0.621,0.161,0.001,0.3208,3.4641088890967717,5840503868.57246,0.623,0.165,0.001,0.2962,2.7522723623789673,6193246837.09687,0.08848,0.18,0.001,0.28,2.8301662457706924,5998563257.94659,0.08862,0.18,0.001,0.265,2.912597599918737,6584815846.52754,0.703,0.217,0.003,0.3217,3.239658306362632,6606884390.78019
2004-01-01,0.703,0.217,0.003,0.3217,3.239658306362632,6606884390.78019,0.67,0.265,0.003,0.3211,3.348126153398698,6178563590.89254,0.621,0.161,0.001,0.3208,3.4641088890967717,5840503868.57246,0.623,0.165,0.001,0.2962,2.7522723623789673,6193246837.09687,0.08848,0.18,0.001,0.28,2.8301662457706924,5998563257.94659,0.749,0.193,0.002,0.3223,3.1379978968440256,7939487473.86318
2005-01-01,0.749,0.193,0.002,0.3223,3.1379978968440256,7939487473.86318,0.703,0.217,0.003,0.3217,3.239658306362632,6606884390.78019,0.67,0.265,0.003,0.3211,3.348126153398698,6178563590.89254,0.621,0.161,0.001,0.3208,3.4641088890967717,5840503868.57246,0.623,0.165,0.001,0.2962,2.7522723623789673,6193246837.09687,0.763,0.063,0.002,0.372,3.042523571169749,9239221858.55839
2006-01-01,0.763,0.063,0.002,0.372,3.042523571169749,9239221858.55839,0.749,0.193,0.002,0.3223,3.1379978968440256,7939487473.86318,0.703,0.217,0.003,0.3217,3.239658306362632,6606884390.78019,0.67,0.265,0.003,0.3211,3.348126153398698,6178563590.89254,0.621,0.161,0.001,0.3208,3.4641088890967717,5840503868.57246,0.639,0.053,0.049,0.432,2.952687362192104,9977647644.69953
