,Electricity: Distribution Losses,Electricity: Exports,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,2.914,8.621,0.529,0.4282712117418553,195078126721.763
1993-01-01,3.171,8.806,-0.734,0.4282712117418553,190379720809.18
1994-01-01,3.059,9.0,-0.78,0.4264448711248658,203535242741.838
1995-01-01,3.328,9.76,-2.46,0.4246340410358302,241038283062.645
1996-01-01,3.246,8.476,0.952,0.4228385247212501,237250948791.266
1997-01-01,3.185,9.775,-0.765,0.421058128741449,212790348404.555
1998-01-01,3.34,10.467,-0.162,0.4192926629010993,218259904401.956
1999-01-01,3.38,13.507,-1.899,0.4175419401813721,217185787342.851
2000-01-01,3.216,15.192,-1.368,0.4158057766740727,196799778883.361
2001-01-01,3.705,14.252,0.215,0.4399278041073414,197337879194.631
2002-01-01,3.184,14.676,0.699,0.4380009162943294,213377771503.858
2003-01-01,3.307,13.389,5.613,0.4360908344435793,261695778781.038
2004-01-01,3.427,13.548,3.081,0.4341973396420141,300904221504.842
2005-01-01,3.432,17.732,2.665,0.4323202167620871,315974418604.651
2006-01-01,3.349,14.407,6.85,0.430459254380477,335998557270.104
2007-01-01,3.473,15.511,6.619,0.4286142446985903,388691445387.353
2008-01-01,3.448,14.934,4.862,0.4267849834652126,430294287388.311
2009-01-01,3.582,18.762,0.78,0.4249712699012439,400172297860.517
2010-01-01,3.350899,17.472074,2.436623,0.4231729066260658,391892746544.69
2011-01-01,3.470055,16.777354,8.199357,0.668654112143156,431120310088.82
2012-01-01,3.528233,20.626749,2.802965,0.6642128257702609,409425234155.263
2013-01-01,3.541171,17.689115,7.270456,0.6598301492903532,430068712971.867
2014-01-01,3.409874,17.436999,9.274725,0.6555049301312843,441996131736.508
2015-01-01,3.466995,19.327645,10.061517,0.6512360457446362,381817565893.574
2016-01-01,3.339002,19.206889,7.159271,0.6140779302466202,395568644341.038
2017-01-01,3.459036,22.816512,6.545913,0.6103300282415425,416230497429.163
2018-01-01,3.3359859,19.1293309,8.946805,0.6066275978522285,454945881027.378
2019-01-01,3.3045379,22.9182641,3.1285828,0.602969816538409,445011872704.47
2020-01-01,3.191822,22.3266802,2.1958117,0.5993558814794191,433258467676.515
2021-01-01,3.2357993,18.8930365,7.5431563,0.1787202351383515,433258467676.515
