,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Imports,Population: Density,Population: Growth Rate,Population: Percentage,Economics: GDP
2022-01-01,97.2900025770069,19.901534276257824,4.144160248314412,274.1795324681393,950.6868436845579,-15.757374027943403,8.50767669190918,-0.0625262942556964,1.956761359027163,1557183607942.6304
2023-01-01,93.42529086001045,18.31087158037652,2.907276828818326,270.93692866461896,934.3329715361714,-15.403594751558192,8.511484805749626,0.0907135543468965,1.9765575968205602,1548964643445.7886
2024-01-01,97.42080547877538,18.877994699932756,3.9018174197274713,269.6034392743655,934.2823907722458,-14.976177280205285,8.488450334695576,0.026551291133494845,1.9776121562428801,1552190905449.893
2025-01-01,96.4477148513782,19.92674991693188,4.163533869944027,270.5690651057173,933.35337849678,-15.763216046987845,8.5062471252872,-0.005765781818513595,1.9833958162072691,1432871377165.3035
2026-01-01,93.89175035823996,19.881325152732387,4.095066598855852,265.7707207483837,917.5460005684984,-15.786258553876532,8.51925167924661,-0.004897559443661312,2.026997631058969,1441705892620.463
2027-01-01,94.77729760863743,19.66231784075719,3.5927133139942864,258.9465568360573,904.6750789216213,-16.0696045267629,8.495780686903272,-0.02233101169998067,2.043861420551076,1445584029077.903
2028-01-01,96.40064299954743,19.533092628125004,4.3315562723486885,258.7571322798357,901.0822140501874,-15.201536355776314,8.504204967635527,0.0027531849014606966,2.052769025018742,1434887772418.2004
2029-01-01,95.8965428177414,19.998831657666017,4.689457040796168,255.91820272115896,889.771861713039,-15.309374616869848,8.509611640192972,-0.04239348145875661,2.0795788157085062,1342469321859.601
2030-01-01,96.5393284722276,19.468682201724267,4.42215145000513,255.95175199904358,891.9729212504856,-15.046530751719137,8.504002679146636,-0.024681251169399697,2.0700623263751,1388919603204.713
2031-01-01,96.80572951542692,19.826694085395186,4.238758391429183,253.41788684883335,890.9382985326786,-15.587935693966005,8.495526181887522,-0.03762783452971845,2.075541693129051,1433727498935.1948
