,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,3.537,5.721,5.849,13.785,63.968,67.377,0.128,0.3041589692092396,234781652446.675
1993-01-01,3.673,5.359,7.59,13.785,64.663,66.105,2.231,0.3041589692092396,224721795708.955
1994-01-01,3.57,5.07,9.1,14.631,67.735,67.275,4.03,0.3032366477471686,244884129491.198
1995-01-01,3.673,5.326,9.4,14.613,69.71,69.309,4.074,0.3023199030078337,288025588396.278
1996-01-01,3.834,5.446,9.637,14.573,71.19,70.833,4.191,0.3014086845649996,279201433224.756
1997-01-01,3.691,6.705,9.975,14.417,73.00595,73.42695,3.27,0.3005029425986156,252708051420.839
1998-01-01,3.839,6.435,7.83,15.103,74.89311,77.33711,1.395,0.2996026278857345,258528339631.029
1999-01-01,4.126,8.207,9.059,15.253,75.298,78.572,0.852,0.2987076917914123,258158533986.789
2000-01-01,3.789,7.319,11.645,15.988,78.53076,77.99376,4.326,0.2978180862602253,236204532891.1
2001-01-01,3.886,6.712,15.818,15.863,79.28752,74.06752,9.106,0.5978015348863573,236541297539.15
2002-01-01,3.772,9.07,16.658,15.904,80.098,76.282,7.588,0.594249104617903,257157820440.429
2003-01-01,3.757,8.254,14.664,16.016,81.41356,78.76056,6.41,0.5907386455063317,317381715575.621
2004-01-01,3.751,6.79,14.567,16.065,83.52596,79.49996,7.777,0.5872694181003905,368537000248.324
2005-01-01,3.856,8.024,14.328,16.785,83.06408,80.61608,6.304,0.5838407002175894,385570948886.954
2006-01-01,3.965,8.696,18.853,17.021,85.5111,79.3191,10.157,0.580451786443194,407918078032.869
2007-01-01,3.972,9.037,15.816,17.162,85.21944,82.41244,6.779,0.5771019876463018,470324254037.777
2008-01-01,4.021,6.561,17.158,17.657,85.33778,78.76178,10.597,0.5737906305126674,515223524241.98
2009-01-01,3.937,11.321,9.486,18.653,79.07678,84.84878,-1.835,0.5705170570936051,481345929424.84
2010-01-01,4.149,11.843999,12.395,19.67,87.404352,91.002351,0.551001,0.5672806243699873,480951629493.033
2011-01-01,3.964,10.652001,13.189002,21.738,84.733665,86.160664,2.537001,0.6809299585666234,522645519183.591
2012-01-01,4.114,6.911999,16.848,21.824,85.166338,79.344337,9.936001,0.6763246613304672,496181260258.3
2013-01-01,3.957,7.603001,17.243001,21.913,85.228951,79.545951,9.64,0.6717812391399551,521642714407.843
2014-01-01,3.785,4.187999,21.790999,21.831,83.249713,69.431713,17.603,0.6672984533214872,534678075827.361
2015-01-01,3.816,2.715001,23.714002,22.106,84.153489,66.970488,20.999001,0.6628750980447645,462149679343.822
2016-01-01,3.881,8.465001,14.648,22.357,84.355224,82.053225,6.182999,0.557264504699071,475739588764.759
2017-01-01,3.8493,8.167798,14.189398,23.0203,84.94295,82.77065,6.0216,0.5541762770137937,501522868356.441
2018-01-01,3.7817,4.3084,21.6358999,23.5636,85.3523042,71.8065043,17.3274999,0.5511220891384223,543008499294.079
2019-01-01,3.5902,14.5889366,12.7343405,24.8324,84.4756648,89.9204609,-1.8545961,0.5481013813548864,535288715239.999
2020-01-01,3.4549,14.0548358,13.7219436,26.6329,81.9030948,85.690887,-0.3328922,0.545113606149643,521861292586.616
2021-01-01,3.5741,23.0700333,15.1936775,27.5909,83.4132299,94.8636857,-7.8763558,0.4074351586360399,521861292586.616
