,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,1.597,0.0,0.0,2.294,0.0,1.9996654163724208,18094238119.0595
1993-01-01,1.74,0.0,0.0,2.4464,0.0,1.9996654163724208,18938717358.6793
1994-01-01,1.981,0.0,0.0,2.563,0.0,1.96046272133305,22708673336.6683
1995-01-01,2.104,0.0,0.0,2.55,0.0,1.9227675797148625,24432884442.2211
1996-01-01,2.176,0.0,0.0,2.739,0.0,1.8864946717729636,25226393196.5983
1997-01-01,2.537,0.0,0.0,3.126,0.0,1.8515649967645864,28162053026.5133
1998-01-01,2.515,0.0,0.0,3.4192,0.0,1.8179052985817183,27981896948.4742
1999-01-01,2.434,0.0,0.025,3.4806,0.025,1.7854475529138991,19645272636.3182
2000-01-01,2.561,0.0,0.02,3.49854,0.02,1.7541285083859572,18327764882.4412
2001-01-01,2.718,0.0,0.025,3.13591,0.025,1.8715215538232448,24468324000.0
2002-01-01,3.342,0.0,0.055,3.26763,0.055,1.837139099600492,28548945000.0
2003-01-01,3.655,0.067,1.12,3.30258,1.053,1.8039971623748352,32432858000.0
2004-01-01,4.248,0.035,1.642,3.35869,1.607,1.7720297951538098,36591661000.0
2005-01-01,3.397,0.016,1.723,3.62316,1.707,1.7411756439569457,41507085000.0
2006-01-01,3.518,0.00123,1.57,4.061,1.56877,1.71137755479668,46802044000.0
2007-01-01,3.573,0.03853,0.86099,4.552,0.82246,1.682582220336822,51007777000.0
2008-01-01,3.618,0.038,0.5,4.284,0.462,1.6547398616321862,61762635000.0
2009-01-01,3.343,0.021,1.12,4.51815,1.099,1.6278039409520204,62519686000.0
2010-01-01,3.29,0.01,0.873,4.88559,0.863,1.601730902202534,69555367000.0
2011-01-01,3.349,0.014,1.295,5.12596,1.281,1.6095402240955996,79276664000.0
2012-01-01,3.312,0.012,0.238,5.19125,0.226,1.5840443924318777,87924544000.0
2013-01-01,3.06,0.029,0.662,5.95019,0.633,1.5593436960557543,95129659000.0
2014-01-01,3.165,0.047,0.837,6.24085,0.79,1.5354015094096425,101726331000.0
2015-01-01,3.344,0.046,0.512,6.57044,0.466,1.5121834223183244,99290381000.0
2016-01-01,3.499,0.402,0.082,8.74471,-0.32,1.719809122085325,99937696000.0
2017-01-01,3.516,0.212,0.019,8.57993,-0.193,1.6907317629953371,104295862000.0
2018-01-01,3.783,0.256,0.106072,8.98037,-0.149928,1.6626212966348186,107562008000.0
2019-01-01,4.278,1.827,0.0058,9.34019,-1.8212,1.6354302844341786,108108009000.0
2020-01-01,4.417,1.341,0.251,9.35393,-1.09,1.6091143411872506,98808010000.0
2021-01-01,4.64210475,1.341,0.251,9.38637,-1.09,1.1723648193616374,98808010000.0
