,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1997-01-01,0.00049,0.002,1.6714852089051504,66515376.7900462,0.00049,0.002,1.699898765334071,56338028.1690141,0.00049,0.002,1.7292950302014485,54832577.8622606,0.00049,0.002,1.7597258824315245,46919624.6430029,0.00049,0.002,1.7597258824315245,47737955.346651,0.0007,0.002,1.6440058935607536,67537479.5903221
1998-01-01,0.0007,0.002,1.6440058935607536,67537479.5903221,0.00049,0.002,1.6714852089051504,66515376.7900462,0.00049,0.002,1.699898765334071,56338028.1690141,0.00049,0.002,1.7292950302014485,54832577.8622606,0.00049,0.002,1.7597258824315245,46919624.6430029,0.0007,0.002,1.6174154876209188,65334841.0604347
1999-01-01,0.0007,0.002,1.6174154876209188,65334841.0604347,0.0007,0.002,1.6440058935607536,67537479.5903221,0.00049,0.002,1.6714852089051504,66515376.7900462,0.00049,0.002,1.699898765334071,56338028.1690141,0.00049,0.002,1.7292950302014485,54832577.8622606,0.00084,0.002,1.5916715455314212,69032258.0645161
2000-01-01,0.00084,0.002,1.5916715455314212,69032258.0645161,0.0007,0.002,1.6174154876209188,65334841.0604347,0.0007,0.002,1.6440058935607536,67537479.5903221,0.00049,0.002,1.6714852089051504,66515376.7900462,0.00049,0.002,1.699898765334071,56338028.1690141,0.00091,0.0045,1.5667342817743328,67254174.3970315
2001-01-01,0.00091,0.0045,1.5667342817743328,67254174.3970315,0.00084,0.002,1.5916715455314212,69032258.0645161,0.0007,0.002,1.6174154876209188,65334841.0604347,0.0007,0.002,1.6440058935607536,67537479.5903221,0.00049,0.002,1.6714852089051504,66515376.7900462,0.00077,0.0046,2.1580393128138096,63101272.3699183
2002-01-01,0.00077,0.0046,2.1580393128138096,63101272.3699183,0.00091,0.0045,1.5667342817743328,67254174.3970315,0.00084,0.002,1.5916715455314212,69032258.0645161,0.0007,0.002,1.6174154876209188,65334841.0604347,0.0007,0.002,1.6440058935607536,67537479.5903221,0.00091,0.0046,2.1124517730863888,72196457.6768445
2003-01-01,0.00091,0.0046,2.1124517730863888,72196457.6768445,0.00077,0.0046,2.1580393128138096,63101272.3699183,0.00091,0.0045,1.5667342817743328,67254174.3970315,0.00084,0.002,1.5916715455314212,69032258.0645161,0.0007,0.002,1.6174154876209188,65334841.0604347,0.0,0.0036,2.06875041819645,90231856.8000519
2004-01-01,0.0,0.0036,2.06875041819645,90231856.8000519,0.00091,0.0046,2.1124517730863888,72196457.6768445,0.00077,0.0046,2.1580393128138096,63101272.3699183,0.00091,0.0045,1.5667342817743328,67254174.3970315,0.00084,0.002,1.5916715455314212,69032258.0645161,0.0,0.005,2.0268205593978315,102367039.270481
2005-01-01,0.0,0.005,2.0268205593978315,102367039.270481,0.0,0.0036,2.06875041819645,90231856.8000519,0.00091,0.0046,2.1124517730863888,72196457.6768445,0.00077,0.0046,2.1580393128138096,63101272.3699183,0.00091,0.0045,1.5667342817743328,67254174.3970315,0.003,0.005,1.9865566213717736,112133944.253532
2006-01-01,0.003,0.005,1.9865566213717736,112133944.253532,0.0,0.005,2.0268205593978315,102367039.270481,0.0,0.0036,2.06875041819645,90231856.8000519,0.00091,0.0046,2.1124517730863888,72196457.6768445,0.00077,0.0046,2.1580393128138096,63101272.3699183,0.003,0.005,1.9478612546425371,110234939.759036
