,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Population: Percentage,Economics: GDP
2022-01-01,1.6319860599737772,0.045461406430482784,2.840079126749762,2.067991544224116,1.9383576666354752,0.3911059776659508,33839802359.497147
2023-01-01,1.5876607398324236,0.054103758827166504,3.671750448301937,2.1674062243289485,2.5326203748398832,0.3889567382807017,31404147174.8172
2024-01-01,1.3866426725039473,0.1954752221104967,3.4945526406041028,3.279961265949935,3.4812914242245094,0.39128556537082243,29918964415.44709
2025-01-01,1.8203213396207936,0.09705356334622997,4.790040872853402,4.781351085624624,4.7647829596527025,0.40203073688651264,32759427415.31228
2026-01-01,2.8689207711551803,0.2565699796712656,5.3798211164430345,7.002761964668866,6.225650557065327,0.41384222697457973,33244929245.07552
2027-01-01,3.6070896669010706,0.14767500284169846,7.824814785786347,9.647246778123812,9.221034634516469,0.4225601575622808,35342141873.876785
2028-01-01,5.490505680801294,0.1948620706519352,9.502457787067023,13.883644576927647,13.78567804406785,0.44327158541502,30929092313.535076
2029-01-01,7.284184322481265,0.29757372125655057,11.458192240388682,20.0268812210627,17.894849779135104,0.47682172601128014,41915224526.71297
2030-01-01,10.584600112233158,0.3819842757646874,14.473941282079657,28.815771966545523,25.221099045843506,0.5249034999223728,56665394769.3006
2031-01-01,15.322209672703867,0.4715337122046128,22.290543633603445,41.361862582739924,35.75205190181999,0.5780084415712679,70151125870.96924
