,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Population: Growth Rate_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Population: Growth Rate_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Population: Growth Rate_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Population: Growth Rate_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Population: Growth Rate_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Population: Growth Rate,Population: Percentage,Economics: GDP
1997-01-01,0.482,0.0,1.255507964162789,0.0414529728147213,1345719472.35883,0.502,0.0,1.2714713887100957,0.0415275409393424,1452165005.2384,0.472,0.0,1.2878459819006145,0.041604284398765,925817092.217484,0.291,0.0,1.3046478366427503,0.0416832997917655,768401634.154573,0.285,0.0,1.3046478366427503,0.0417646895225238,1317611863.84977,0.493,0.0,1.2399404135201704,0.041380488825885,1180934202.83801
1998-01-01,0.493,0.0,1.2399404135201704,0.041380488825885,1180934202.83801,0.482,0.0,1.255507964162789,0.0414529728147213,1345719472.35883,0.502,0.0,1.2714713887100957,0.0415275409393424,1452165005.2384,0.472,0.0,1.2878459819006145,0.041604284398765,925817092.217484,0.291,0.0,1.3046478366427503,0.0416832997917655,768401634.154573,0.465,0.07,1.2247541913354996,0.0413100028014756,1124440248.9783
1999-01-01,0.465,0.07,1.2247541913354996,0.0413100028014756,1124440248.9783,0.493,0.0,1.2399404135201704,0.041380488825885,1180934202.83801,0.482,0.0,1.255507964162789,0.0414529728147213,1345719472.35883,0.502,0.0,1.2714713887100957,0.0415275409393424,1452165005.2384,0.472,0.0,1.2878459819006145,0.041604284398765,925817092.217484,0.509,0.06,1.209935456124184,0.0412414332560457,1057408588.68269
2000-01-01,0.509,0.06,1.209935456124184,0.0412414332560457,1057408588.68269,0.465,0.07,1.2247541913354996,0.0413100028014756,1124440248.9783,0.493,0.0,1.2399404135201704,0.041380488825885,1180934202.83801,0.482,0.0,1.255507964162789,0.0414529728147213,1345719472.35883,0.502,0.0,1.2714713887100957,0.0415275409393424,1452165005.2384,0.576,0.025,1.195471028285268,0.0411747030758114,1136896123.61298
2001-01-01,0.576,0.025,1.195471028285268,0.0411747030758114,1136896123.61298,0.509,0.06,1.209935456124184,0.0412414332560457,1057408588.68269,0.465,0.07,1.2247541913354996,0.0413100028014756,1124440248.9783,0.493,0.0,1.2399404135201704,0.041380488825885,1180934202.83801,0.482,0.0,1.255507964162789,0.0414529728147213,1345719472.35883,0.603,0.018,1.02628786293151,0.0410472170488064,1267997934.3125
2002-01-01,0.603,0.018,1.02628786293151,0.0410472170488064,1267997934.3125,0.576,0.025,1.195471028285268,0.0411747030758114,1136896123.61298,0.509,0.06,1.209935456124184,0.0412414332560457,1057408588.68269,0.465,0.07,1.2247541913354996,0.0413100028014756,1124440248.9783,0.493,0.0,1.2399404135201704,0.041380488825885,1180934202.83801,0.583,0.016,1.0158621925453075,0.0409230586148287,1396555719.97409
2003-01-01,0.583,0.016,1.0158621925453075,0.0409230586148287,1396555719.97409,0.603,0.018,1.02628786293151,0.0410472170488064,1267997934.3125,0.576,0.025,1.195471028285268,0.0411747030758114,1136896123.61298,0.509,0.06,1.209935456124184,0.0412414332560457,1057408588.68269,0.465,0.07,1.2247541913354996,0.0413100028014756,1124440248.9783,0.489,0.007,1.0056462128778985,0.0408020991688784,1595297355.78349
2004-01-01,0.489,0.007,1.0056462128778985,0.0408020991688784,1595297355.78349,0.583,0.016,1.0158621925453075,0.0409230586148287,1396555719.97409,0.603,0.018,1.02628786293151,0.0410472170488064,1267997934.3125,0.576,0.025,1.195471028285268,0.0411747030758114,1136896123.61298,0.509,0.06,1.209935456124184,0.0412414332560457,1057408588.68269,0.48,0.008,0.9956336606751994,0.0406842166487776,1992066808.09598
2005-01-01,0.48,0.008,0.9956336606751994,0.0406842166487776,1992066808.09598,0.489,0.007,1.0056462128778985,0.0408020991688784,1595297355.78349,0.583,0.016,1.0158621925453075,0.0409230586148287,1396555719.97409,0.603,0.018,1.02628786293151,0.0410472170488064,1267997934.3125,0.576,0.025,1.195471028285268,0.0411747030758114,1136896123.61298,0.42,0.012,0.9858185196602914,0.0405692951243102,2523471532.01083
2006-01-01,0.42,0.012,0.9858185196602914,0.0405692951243102,2523471532.01083,0.48,0.008,0.9956336606751994,0.0406842166487776,1992066808.09598,0.489,0.007,1.0056462128778985,0.0408020991688784,1595297355.78349,0.583,0.016,1.0158621925453075,0.0409230586148287,1396555719.97409,0.603,0.018,1.02628786293151,0.0410472170488064,1267997934.3125,0.442,0.021,0.9761950084787092,0.0404572244169392,3414055566.1138
2007-01-01,0.442,0.021,0.9761950084787092,0.0404572244169392,3414055566.1138,0.42,0.012,0.9858185196602914,0.0405692951243102,2523471532.01083,0.48,0.008,0.9956336606751994,0.0406842166487776,1992066808.09598,0.489,0.007,1.0056462128778985,0.0408020991688784,1595297355.78349,0.583,0.016,1.0158621925453075,0.0409230586148287,1396555719.97409,0.442,0.01,0.9667575693426956,0.0403478997474763,4234999823.30839
2008-01-01,0.442,0.01,0.9667575693426956,0.0403478997474763,4234999823.30839,0.442,0.021,0.9761950084787092,0.0404572244169392,3414055566.1138,0.42,0.012,0.9858185196602914,0.0405692951243102,2523471532.01083,0.48,0.008,0.9956336606751994,0.0406842166487776,1992066808.09598,0.489,0.007,1.0056462128778985,0.0408020991688784,1595297355.78349,0.436,0.016,0.9575008573279388,0.0402412214093389,5623216448.86852
2009-01-01,0.436,0.016,0.9575008573279388,0.0402412214093389,5623216448.86852,0.442,0.01,0.9667575693426956,0.0403478997474763,4234999823.30839,0.442,0.021,0.9761950084787092,0.0404572244169392,3414055566.1138,0.42,0.012,0.9858185196602914,0.0405692951243102,2523471532.01083,0.48,0.008,0.9956336606751994,0.0406842166487776,1992066808.09598,0.494,0.018,0.9484197302794632,0.0401370944652494,4583850367.88972
2010-01-01,0.494,0.018,0.9484197302794632,0.0401370944652494,4583850367.88972,0.436,0.016,0.9575008573279388,0.0402412214093389,5623216448.86852,0.442,0.01,0.9667575693426956,0.0403478997474763,4234999823.30839,0.442,0.021,0.9761950084787092,0.0404572244169392,3414055566.1138,0.42,0.012,0.9858185196602914,0.0405692951243102,2523471532.01083,0.505,0.022,0.9395092392862736,0.0400354284654404,7189481824.07288
