,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Electricity: Net Generation_lag1,Electricity: Net Imports_lag1,Population: Density_lag1,Population: Growth Rate_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Electricity: Net Generation_lag2,Electricity: Net Imports_lag2,Population: Density_lag2,Population: Growth Rate_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Electricity: Net Generation_lag3,Electricity: Net Imports_lag3,Population: Density_lag3,Population: Growth Rate_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Electricity: Net Generation_lag4,Electricity: Net Imports_lag4,Population: Density_lag4,Population: Growth Rate_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Electricity: Net Generation_lag5,Electricity: Net Imports_lag5,Population: Density_lag5,Population: Growth Rate_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Electricity: Net Imports,Population: Density,Population: Growth Rate,Population: Percentage,Economics: GDP
1997-01-01,4.565,9.156,3.53,6.94,13.545,-2.04,23.60079619506779,1.1585270435446535,0.0837701247533013,1827570586.16784,3.457,7.7,3.535,7.994,12.164,-0.713,23.33050597396362,1.1721062109778997,0.0840012706260034,1661018518.51852,2.148,8.2,3.554,8.145,12.743,-2.45,23.060215752859452,1.1860074782936416,0.0842391595898545,1681006993.00699,1.784,6.641,3.485,8.244,11.051,-1.023,22.789925531755284,1.200242443430401,0.0844840910812234,2028295454.54545,1.1,7.406,3.504,8.519,11.725,-2.106,22.519635310651108,1.200242443430401,0.0847363825320371,2316562500.0,4.116,2.417,3.524,6.693,12.426,-1.617,23.87108641617196,1.145258909361101,0.083545439273525,1767864035.71943
1998-01-01,4.116,2.417,3.524,6.693,12.426,-1.617,23.87108641617196,1.145258909361101,0.083545439273525,1767864035.71943,4.565,9.156,3.53,6.94,13.545,-2.04,23.60079619506779,1.1585270435446535,0.0837701247533013,1827570586.16784,3.457,7.7,3.535,7.994,12.164,-0.713,23.33050597396362,1.1721062109778997,0.0840012706260034,1661018518.51852,2.148,8.2,3.554,8.145,12.743,-2.45,23.060215752859452,1.1860074782936416,0.0842391595898545,1681006993.00699,1.784,6.641,3.485,8.244,11.051,-1.023,22.789925531755284,1.200242443430401,0.0844840910812234,2028295454.54545,3.82,0.998,3.679,6.998,11.416,-0.598,24.141376637276135,1.1322912430205128,0.0833269470731618,1645963749.83146
1999-01-01,3.82,0.998,3.679,6.998,11.416,-0.598,24.141376637276135,1.1322912430205128,0.0833269470731618,1645963749.83146,4.116,2.417,3.524,6.693,12.426,-1.617,23.87108641617196,1.145258909361101,0.083545439273525,1767864035.71943,4.565,9.156,3.53,6.94,13.545,-2.04,23.60079619506779,1.1585270435446535,0.0837701247533013,1827570586.16784,3.457,7.7,3.535,7.994,12.164,-0.713,23.33050597396362,1.1721062109778997,0.0840012706260034,1661018518.51852,2.148,8.2,3.554,8.145,12.743,-2.45,23.060215752859452,1.1860074782936416,0.0842391595898545,1681006993.00699,3.618,2.011,3.679,8.596,12.975,-0.761,24.411666858380304,1.1196139522831552,0.0831143955640586,1249061487.01457
2000-01-01,3.618,2.011,3.679,8.596,12.975,-0.761,24.411666858380304,1.1196139522831552,0.0831143955640586,1249061487.01457,3.82,0.998,3.679,6.998,11.416,-0.598,24.141376637276135,1.1322912430205128,0.0833269470731618,1645963749.83146,4.116,2.417,3.524,6.693,12.426,-1.617,23.87108641617196,1.145258909361101,0.083545439273525,1767864035.71943,4.565,9.156,3.53,6.94,13.545,-2.04,23.60079619506779,1.1585270435446535,0.0837701247533013,1827570586.16784,3.457,7.7,3.535,7.994,12.164,-0.713,23.33050597396362,1.1721062109778997,0.0840012706260034,1661018518.51852,3.791,3.153,3.677,9.114,15.708,-2.803,24.681957079484473,1.1072173918815438,0.0829075457093223,1369688498.06778
2001-01-01,3.791,3.153,3.677,9.114,15.708,-2.803,24.681957079484473,1.1072173918815438,0.0829075457093223,1369688498.06778,3.618,2.011,3.679,8.596,12.975,-0.761,24.411666858380304,1.1196139522831552,0.0831143955640586,1249061487.01457,3.82,0.998,3.679,6.998,11.416,-0.598,24.141376637276135,1.1322912430205128,0.0833269470731618,1645963749.83146,4.116,2.417,3.524,6.693,12.426,-1.617,23.87108641617196,1.145258909361101,0.083545439273525,1767864035.71943,4.565,9.156,3.53,6.94,13.545,-2.04,23.60079619506779,1.1585270435446535,0.0837701247533013,1827570586.16784,4.674,2.165,3.697,8.14464,14.66164,-1.843,24.956320298473127,1.1115942633929243,0.0827206357440504,1525116370.27939
2002-01-01,4.674,2.165,3.697,8.14464,14.66164,-1.843,24.956320298473127,1.1115942633929243,0.0827206357440504,1525116370.27939,3.791,3.153,3.677,9.114,15.708,-2.803,24.681957079484473,1.1072173918815438,0.0829075457093223,1369688498.06778,3.618,2.011,3.679,8.596,12.975,-0.761,24.411666858380304,1.1196139522831552,0.0831143955640586,1249061487.01457,3.82,0.998,3.679,6.998,11.416,-0.598,24.141376637276135,1.1322912430205128,0.0833269470731618,1645963749.83146,4.116,2.417,3.524,6.693,12.426,-1.617,23.87108641617196,1.145258909361101,0.083545439273525,1767864035.71943,4.428,1.062,3.697,7.73506,12.84006,-0.677,25.23068351746178,1.099373688537886,0.0825386044334184,1605643104.73021
2003-01-01,4.428,1.062,3.697,7.73506,12.84006,-0.677,25.23068351746178,1.099373688537886,0.0825386044334184,1605643104.73021,4.674,2.165,3.697,8.14464,14.66164,-1.843,24.956320298473127,1.1115942633929243,0.0827206357440504,1525116370.27939,3.791,3.153,3.677,9.114,15.708,-2.803,24.681957079484473,1.1072173918815438,0.0829075457093223,1369688498.06778,3.618,2.011,3.679,8.596,12.975,-0.761,24.411666858380304,1.1196139522831552,0.0831143955640586,1249061487.01457,3.82,0.998,3.679,6.998,11.416,-0.598,24.141376637276135,1.1322912430205128,0.0833269470731618,1645963749.83146,4.12,1.716,3.72,9.5894,15.3174,-1.608,25.505046736450428,1.0874188913620426,0.0823612632269112,1919008090.49641
2004-01-01,4.12,1.716,3.72,9.5894,15.3174,-1.608,25.505046736450428,1.0874188913620426,0.0823612632269112,1919008090.49641,4.428,1.062,3.697,7.73506,12.84006,-0.677,25.23068351746178,1.099373688537886,0.0825386044334184,1605643104.73021,4.674,2.165,3.697,8.14464,14.66164,-1.843,24.956320298473127,1.1115942633929243,0.0827206357440504,1525116370.27939,3.791,3.153,3.677,9.114,15.708,-2.803,24.681957079484473,1.1072173918815438,0.0829075457093223,1369688498.06778,3.618,2.011,3.679,8.596,12.975,-0.761,24.411666858380304,1.1196139522831552,0.0831143955640586,1249061487.01457,4.575,3.382,3.72,8.13492,16.03792,-3.328,25.77940995543908,1.0757212947841737,0.0821884331665835,2211534585.0034
2005-01-01,4.575,3.382,3.72,8.13492,16.03792,-3.328,25.77940995543908,1.0757212947841737,0.0821884331665835,2211534585.0034,4.12,1.716,3.72,9.5894,15.3174,-1.608,25.505046736450428,1.0874188913620426,0.0823612632269112,1919008090.49641,4.428,1.062,3.697,7.73506,12.84006,-0.677,25.23068351746178,1.099373688537886,0.0825386044334184,1605643104.73021,4.674,2.165,3.697,8.14464,14.66164,-1.843,24.956320298473127,1.1115942633929243,0.0827206357440504,1525116370.27939,3.791,3.153,3.677,9.114,15.708,-2.803,24.681957079484473,1.1072173918815438,0.0829075457093223,1369688498.06778,5.135,2.684,3.743,6.818,14.637,-2.684,26.053773174427736,1.0642726868570802,0.0820199442846895,2460248026.17783
2006-01-01,5.135,2.684,3.743,6.818,14.637,-2.684,26.053773174427736,1.0642726868570802,0.0820199442846895,2460248026.17783,4.575,3.382,3.72,8.13492,16.03792,-3.328,25.77940995543908,1.0757212947841737,0.0821884331665835,2211534585.0034,4.12,1.716,3.72,9.5894,15.3174,-1.608,25.505046736450428,1.0874188913620426,0.0823612632269112,1919008090.49641,4.428,1.062,3.697,7.73506,12.84006,-0.677,25.23068351746178,1.099373688537886,0.0825386044334184,1605643104.73021,4.674,2.165,3.697,8.14464,14.66164,-1.843,24.956320298473127,1.1115942633929243,0.0827206357440504,1525116370.27939,4.662,2.521,3.728,7.101,14.275,-2.512,26.328136393416383,1.0530652015422697,0.0818556350461413,2834168889.42019
