,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,0.343,0.0,2.308,0.65,2.874003072351652,3856799844.1609,0.195,0.0,2.209,0.6,2.959046149603562,2899922841.66085,0.198,0.0,2.358,0.705,3.049275622502007,2796549978.47183,0.086,0.0,2.358,0.78,3.1451808556159166,2729550591.08977,0.061,0.0,2.358,0.325,3.1451808556159166,2639953230.54915,0.315,0.483,2.309,0.203,2.7937117119184673,4648832184.06736
1998-01-01,0.315,0.483,2.309,0.203,2.7937117119184673,4648832184.06736,0.343,0.0,2.308,0.65,2.874003072351652,3856799844.1609,0.195,0.0,2.209,0.6,2.959046149603562,2899922841.66085,0.198,0.0,2.358,0.705,3.049275622502007,2796549978.47183,0.086,0.0,2.358,0.78,3.1451808556159166,2729550591.08977,0.412,0.9,2.309,-0.315,2.71778464401394,5263877520.08489
1999-01-01,0.412,0.9,2.309,-0.315,2.71778464401394,5263877520.08489,0.315,0.483,2.309,0.203,2.7937117119184673,4648832184.06736,0.343,0.0,2.308,0.65,2.874003072351652,3856799844.1609,0.195,0.0,2.209,0.6,2.959046149603562,2899922841.66085,0.198,0.0,2.358,0.705,3.049275622502007,2796549978.47183,0.212,5.6,2.382,-5.45,2.6458754474046193,5976408043.77265
2000-01-01,0.212,5.6,2.382,-5.45,2.6458754474046193,5976408043.77265,0.412,0.9,2.309,-0.315,2.71778464401394,5263877520.08489,0.315,0.483,2.309,0.203,2.7937117119184673,4648832184.06736,0.343,0.0,2.308,0.65,2.874003072351652,3856799844.1609,0.195,0.0,2.209,0.6,2.959046149603562,2899922841.66085,0.979,8.435,2.397,-6.492,2.5776734192893884,5656473652.41147
2001-01-01,0.979,8.435,2.397,-6.492,2.5776734192893884,5656473652.41147,0.212,5.6,2.382,-5.45,2.6458754474046193,5976408043.77265,0.412,0.9,2.309,-0.315,2.71778464401394,5263877520.08489,0.315,0.483,2.309,0.203,2.7937117119184673,4648832184.06736,0.343,0.0,2.308,0.65,2.874003072351652,3856799844.1609,1.261,10.37,2.402,-5.57,2.985742469611263,5398568543.63492
2002-01-01,1.261,10.37,2.402,-5.57,2.985742469611263,5398568543.63492,0.979,8.435,2.397,-6.492,2.5776734192893884,5656473652.41147,0.212,5.6,2.382,-5.45,2.6458754474046193,5976408043.77265,0.412,0.9,2.309,-0.315,2.71778464401394,5263877520.08489,0.315,0.483,2.309,0.203,2.7937117119184673,4648832184.06736,1.349,11.408,2.354,-6.376,2.8991804088728954,5677003239.29386
2003-01-01,1.349,11.408,2.354,-6.376,2.8991804088728954,5677003239.29386,1.261,10.37,2.402,-5.57,2.985742469611263,5398568543.63492,0.979,8.435,2.397,-6.492,2.5776734192893884,5656473652.41147,0.212,5.6,2.382,-5.45,2.6458754474046193,5976408043.77265,0.412,0.9,2.309,-0.315,2.71778464401394,5263877520.08489,1.388,9.643,2.354,-2.28,2.817496113528696,6303391143.83386
2004-01-01,1.388,9.643,2.354,-2.28,2.817496113528696,6303391143.83386,1.349,11.408,2.354,-6.376,2.8991804088728954,5677003239.29386,1.261,10.37,2.402,-5.57,2.985742469611263,5398568543.63492,0.979,8.435,2.397,-6.492,2.5776734192893884,5656473652.41147,0.212,5.6,2.382,-5.45,2.6458754474046193,5976408043.77265,1.641,10.402,2.354,-1.135,2.7402885890332342,7631120533.36168
2005-01-01,1.641,10.402,2.354,-1.135,2.7402885890332342,7631120533.36168,1.388,9.643,2.354,-2.28,2.817496113528696,6303391143.83386,1.349,11.408,2.354,-6.376,2.8991804088728954,5677003239.29386,1.261,10.37,2.402,-5.57,2.985742469611263,5398568543.63492,0.979,8.435,2.397,-6.492,2.5776734192893884,5656473652.41147,1.629,12.001,2.383,-2.413,2.6671996221409677,8542070109.70903
2006-01-01,1.629,12.001,2.383,-2.413,2.6671996221409677,8542070109.70903,1.641,10.402,2.354,-1.135,2.7402885890332342,7631120533.36168,1.388,9.643,2.354,-2.28,2.817496113528696,6303391143.83386,1.349,11.408,2.354,-6.376,2.8991804088728954,5677003239.29386,1.261,10.37,2.402,-5.57,2.985742469611263,5398568543.63492,2.075,12.825,2.383,-2.986,2.5979082238118876,9176889070.42298
