,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,1.131,3.15,0.95,3.944,-2.2,2.0480444325953324,2378759975.44506,1.206,3.0,0.98,3.944,-2.02,2.0908663035175237,2483809523.80952,0.978,3.65,1.05,3.944,-2.6,2.1355171112014864,2564705882.35294,1.177,4.4,1.251,3.944,-3.149,2.182116584244403,3340000000.0,1.095,3.9,0.95,3.944,-2.95,2.182116584244403,1600000000.0,0.935,2.7,0.95,3.924,-1.75,2.006941381368736,2450374944.86105
1998-01-01,0.935,2.7,0.95,3.924,-1.75,2.006941381368736,2450374944.86105,1.131,3.15,0.95,3.944,-2.2,2.0480444325953324,2378759975.44506,1.206,3.0,0.98,3.944,-2.02,2.0908663035175237,2483809523.80952,0.978,3.65,1.05,3.944,-2.6,2.1355171112014864,2564705882.35294,1.177,4.4,1.251,3.944,-3.149,2.182116584244403,3340000000.0,1.257,2.8,1.3,3.924,-1.5,1.9674556987896508,2605660026.06591
1999-01-01,1.257,2.8,1.3,3.924,-1.5,1.9674556987896508,2605660026.06591,0.935,2.7,0.95,3.924,-1.75,2.006941381368736,2450374944.86105,1.131,3.15,0.95,3.944,-2.2,2.0480444325953324,2378759975.44506,1.206,3.0,0.98,3.944,-2.02,2.0908663035175237,2483809523.80952,0.978,3.65,1.05,3.944,-2.6,2.1355171112014864,2564705882.35294,1.156,1.2,0.6,3.924,-0.6,1.9294937637764191,2450513196.48094
2000-01-01,1.156,1.2,0.6,3.924,-0.6,1.9294937637764191,2450513196.48094,1.257,2.8,1.3,3.924,-1.5,1.9674556987896508,2605660026.06591,0.935,2.7,0.95,3.924,-1.75,2.006941381368736,2450374944.86105,1.131,3.15,0.95,3.944,-2.2,2.0480444325953324,2378759975.44506,1.206,3.0,0.98,3.944,-2.02,2.0908663035175237,2483809523.80952,1.401,1.0,0.0,3.921,-1.0,1.892969044119928,2904732773.48312
2001-01-01,1.401,1.0,0.0,3.921,-1.0,1.892969044119928,2904732773.48312,1.156,1.2,0.6,3.924,-0.6,1.9294937637764191,2450513196.48094,1.257,2.8,1.3,3.924,-1.5,1.9674556987896508,2605660026.06591,0.935,2.7,0.95,3.924,-1.75,2.006941381368736,2450374944.86105,1.131,3.15,0.95,3.944,-2.2,2.0480444325953324,2378759975.44506,1.491,1.85,0.0,3.921,-1.85,1.5294764957545506,3534803921.56863
2002-01-01,1.491,1.85,0.0,3.921,-1.85,1.5294764957545506,3534803921.56863,1.401,1.0,0.0,3.921,-1.0,1.892969044119928,2904732773.48312,1.156,1.2,0.6,3.924,-0.6,1.9294937637764191,2450513196.48094,1.257,2.8,1.3,3.924,-1.5,1.9674556987896508,2605660026.06591,0.935,2.7,0.95,3.924,-1.75,2.006941381368736,2450374944.86105,1.499,1.056,0.0,3.921,-1.056,1.5064359125485154,4461978498.86577
2003-01-01,1.499,1.056,0.0,3.921,-1.056,1.5064359125485154,4461978498.86577,1.491,1.85,0.0,3.921,-1.85,1.5294764957545506,3534803921.56863,1.401,1.0,0.0,3.921,-1.0,1.892969044119928,2904732773.48312,1.156,1.2,0.6,3.924,-0.6,1.9294937637764191,2450513196.48094,1.257,2.8,1.3,3.924,-1.5,1.9674556987896508,2605660026.06591,1.468,1.065,0.0,3.921,-1.065,1.48407921035311,5977560877.44013
2004-01-01,1.468,1.065,0.0,3.921,-1.065,1.48407921035311,5977560877.44013,1.499,1.056,0.0,3.921,-1.056,1.5064359125485154,4461978498.86577,1.491,1.85,0.0,3.921,-1.85,1.5294764957545506,3534803921.56863,1.401,1.0,0.0,3.921,-1.0,1.892969044119928,2904732773.48312,1.156,1.2,0.6,3.924,-0.6,1.9294937637764191,2450513196.48094,1.627,1.173,0.0,3.9212,-1.173,1.462376386425043,6838351088.46688
2005-01-01,1.627,1.173,0.0,3.9212,-1.173,1.462376386425043,6838351088.46688,1.468,1.065,0.0,3.921,-1.065,1.48407921035311,5977560877.44013,1.499,1.056,0.0,3.921,-1.056,1.5064359125485154,4461978498.86577,1.491,1.85,0.0,3.921,-1.85,1.5294764957545506,3534803921.56863,1.401,1.0,0.0,3.921,-1.0,1.892969044119928,2904732773.48312,1.772,1.26,0.0,3.106,-1.26,1.4412991677382974,8103901996.37024
2006-01-01,1.772,1.26,0.0,3.106,-1.26,1.4412991677382974,8103901996.37024,1.627,1.173,0.0,3.9212,-1.173,1.462376386425043,6838351088.46688,1.468,1.065,0.0,3.921,-1.065,1.48407921035311,5977560877.44013,1.499,1.056,0.0,3.921,-1.056,1.5064359125485154,4461978498.86577,1.491,1.85,0.0,3.921,-1.85,1.5294764957545506,3534803921.56863,1.821,1.34,0.0,2.852,-1.34,1.4208208881030169,10276674364.8961
