,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Installed Capacity_lag1,Population: Growth Rate_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Installed Capacity_lag2,Population: Growth Rate_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Installed Capacity_lag3,Population: Growth Rate_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Installed Capacity_lag4,Population: Growth Rate_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Installed Capacity_lag5,Population: Growth Rate_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Population: Percentage,Economics: GDP
1997-01-01,0.255,0.1,0.071,0.307,2.237851613193852,0.400873484003437,4521580381.47139,0.236,0.087,0.084,0.307,2.289077777157227,0.3977359122217656,4401104417.67068,0.217,0.063,0.095,0.275,2.3427040960033927,0.3945068097877695,4066775510.20408,0.197,0.046,0.085,0.292,2.3989033019165524,0.3911821121551541,3660041666.66667,0.184,0.085,0.146,0.292,2.3989033019165524,0.3877575105060878,3401211581.29176,0.262,0.067,0.065,0.307,2.188867995447056,0.4039233624756606,4918691916.53516
1998-01-01,0.262,0.067,0.065,0.307,2.188867995447056,0.4039233624756606,4918691916.53516,0.255,0.1,0.071,0.307,2.237851613193852,0.400873484003437,4521580381.47139,0.236,0.087,0.084,0.307,2.289077777157227,0.3977359122217656,4401104417.67068,0.217,0.063,0.095,0.275,2.3427040960033927,0.3945068097877695,4066775510.20408,0.197,0.046,0.085,0.292,2.3989033019165524,0.3911821121551541,3660041666.66667,0.284,0.064,0.2,0.317,2.1419828190528336,0.4068891734346068,4856255044.39064
1999-01-01,0.284,0.064,0.2,0.317,2.1419828190528336,0.4068891734346068,4856255044.39064,0.262,0.067,0.065,0.307,2.188867995447056,0.4039233624756606,4918691916.53516,0.255,0.1,0.071,0.307,2.237851613193852,0.400873484003437,4521580381.47139,0.236,0.087,0.084,0.307,2.289077777157227,0.3977359122217656,4401104417.67068,0.217,0.063,0.095,0.275,2.3427040960033927,0.3945068097877695,4066775510.20408,0.323,0.095,0.25,0.389,2.097064067032468,0.4097743455093562,5033642384.10596
2000-01-01,0.323,0.095,0.25,0.389,2.097064067032468,0.4097743455093562,5033642384.10596,0.284,0.064,0.2,0.317,2.1419828190528336,0.4068891734346068,4856255044.39064,0.262,0.067,0.065,0.307,2.188867995447056,0.4039233624756606,4918691916.53516,0.255,0.1,0.071,0.307,2.237851613193852,0.400873484003437,4521580381.47139,0.236,0.087,0.084,0.307,2.289077777157227,0.3977359122217656,4401104417.67068,0.352,0.126,0.227,0.389,2.053990568872409,0.4125821233843257,5494252207.90502
2001-01-01,0.352,0.126,0.227,0.389,2.053990568872409,0.4125821233843257,5494252207.90502,0.323,0.095,0.25,0.389,2.097064067032468,0.4097743455093562,5033642384.10596,0.284,0.064,0.2,0.317,2.1419828190528336,0.4068891734346068,4856255044.39064,0.262,0.067,0.065,0.307,2.188867995447056,0.4039233624756606,4918691916.53516,0.255,0.1,0.071,0.307,2.237851613193852,0.400873484003437,4521580381.47139,0.392,0.143,0.12,0.439,1.0594951037276787,0.4114398729222652,6007055042.17687
2002-01-01,0.392,0.143,0.12,0.439,1.0594951037276787,0.4114398729222652,6007055042.17687,0.352,0.126,0.227,0.389,2.053990568872409,0.4125821233843257,5494252207.90502,0.323,0.095,0.25,0.389,2.097064067032468,0.4097743455093562,5033642384.10596,0.284,0.064,0.2,0.317,2.1419828190528336,0.4068891734346068,4856255044.39064,0.262,0.067,0.065,0.307,2.188867995447056,0.4039233624756606,4918691916.53516,0.417,0.186,0.245,0.639,1.048387489607197,0.4103274370584184,6050875806.66403
2003-01-01,0.417,0.186,0.245,0.639,1.048387489607197,0.4103274370584184,6050875806.66403,0.392,0.143,0.12,0.439,1.0594951037276787,0.4114398729222652,6007055042.17687,0.352,0.126,0.227,0.389,2.053990568872409,0.4125821233843257,5494252207.90502,0.323,0.095,0.25,0.389,2.097064067032468,0.4097743455093562,5033642384.10596,0.284,0.064,0.2,0.317,2.1419828190528336,0.4068891734346068,4856255044.39064,0.442,0.206,0.15,0.639,1.0375103607814014,0.40924366351654,6330473096.54071
2004-01-01,0.442,0.206,0.15,0.639,1.0375103607814014,0.40924366351654,6330473096.54071,0.417,0.186,0.245,0.639,1.048387489607197,0.4103274370584184,6050875806.66403,0.392,0.143,0.12,0.439,1.0594951037276787,0.4114398729222652,6007055042.17687,0.352,0.126,0.227,0.389,2.053990568872409,0.4125821233843257,5494252207.90502,0.323,0.095,0.25,0.389,2.097064067032468,0.4097743455093562,5033642384.10596,0.656,0.111,0.241,0.632,1.0268566169897484,0.4081874586428192,7273938314.71988
2005-01-01,0.656,0.111,0.241,0.632,1.0268566169897484,0.4081874586428192,7273938314.71988,0.442,0.206,0.15,0.639,1.0375103607814014,0.40924366351654,6330473096.54071,0.417,0.186,0.245,0.639,1.048387489607197,0.4103274370584184,6050875806.66403,0.392,0.143,0.12,0.439,1.0594951037276787,0.4114398729222652,6007055042.17687,0.352,0.126,0.227,0.389,2.053990568872409,0.4125821233843257,5494252207.90502,0.718,0.097,0.266,0.611,1.0164194466454983,0.4071577837246548,8130258041.46706
2006-01-01,0.718,0.097,0.266,0.611,1.0164194466454983,0.4071577837246548,8130258041.46706,0.656,0.111,0.241,0.632,1.0268566169897484,0.4081874586428192,7273938314.71988,0.442,0.206,0.15,0.639,1.0375103607814014,0.40924366351654,6330473096.54071,0.417,0.186,0.245,0.639,1.048387489607197,0.4103274370584184,6050875806.66403,0.392,0.143,0.12,0.439,1.0594951037276787,0.4114398729222652,6007055042.17687,0.815,0.077,0.329,0.617,1.0061923123125025,0.4061536515833889,9043715355.8881
2007-01-01,0.815,0.077,0.329,0.617,1.0061923123125025,0.4061536515833889,9043715355.8881,0.718,0.097,0.266,0.611,1.0164194466454983,0.4071577837246548,8130258041.46706,0.656,0.111,0.241,0.632,1.0268566169897484,0.4081874586428192,7273938314.71988,0.442,0.206,0.15,0.639,1.0375103607814014,0.40924366351654,6330473096.54071,0.417,0.186,0.245,0.639,1.048387489607197,0.4103274370584184,6050875806.66403,0.845,0.06,0.425,0.623,0.9961689370502574,0.4051741234175013,10325618017.379
2008-01-01,0.845,0.06,0.425,0.623,0.9961689370502574,0.4051741234175013,10325618017.379,0.815,0.077,0.329,0.617,1.0061923123125025,0.4061536515833889,9043715355.8881,0.718,0.097,0.266,0.611,1.0164194466454983,0.4071577837246548,8130258041.46706,0.656,0.111,0.241,0.632,1.0268566169897484,0.4081874586428192,7273938314.71988,0.442,0.206,0.15,0.639,1.0375103607814014,0.40924366351654,6330473096.54071,0.896,0.046,0.356,0.724,0.986343291567002,0.4042183058750464,12545438605.3959
2009-01-01,0.896,0.046,0.356,0.724,0.986343291567002,0.4042183058750464,12545438605.3959,0.845,0.06,0.425,0.623,0.9961689370502574,0.4051741234175013,10325618017.379,0.815,0.077,0.329,0.617,1.0061923123125025,0.4061536515833889,9043715355.8881,0.718,0.097,0.266,0.611,1.0164194466454983,0.4071577837246548,8130258041.46706,0.656,0.111,0.241,0.632,1.0268566169897484,0.4081874586428192,7273938314.71988,1.073,0.075,0.639,0.725,0.9767095821256,0.4032853483361435,12854985464.0764
2010-01-01,1.073,0.075,0.639,0.725,0.9767095821256,0.4032853483361435,12854985464.0764,0.896,0.046,0.356,0.724,0.986343291567002,0.4042183058750464,12545438605.3959,0.845,0.06,0.425,0.623,0.9961689370502574,0.4051741234175013,10325618017.379,0.815,0.077,0.329,0.617,1.0061923123125025,0.4061536515833889,9043715355.8881,0.718,0.097,0.266,0.611,1.0164194466454983,0.4071577837246548,8130258041.46706,1.101,0.031,0.694,0.726,0.9672622391515244,0.4023744403881445,16002656434.4746
2011-01-01,1.101,0.031,0.694,0.726,0.9672622391515244,0.4023744403881445,16002656434.4746,1.073,0.075,0.639,0.725,0.9767095821256,0.4032853483361435,12854985464.0764,0.896,0.046,0.356,0.724,0.986343291567002,0.4042183058750464,12545438605.3959,0.845,0.06,0.425,0.623,0.9961689370502574,0.4051741234175013,10325618017.379,0.815,0.077,0.329,0.617,1.0061923123125025,0.4061536515833889,9043715355.8881,1.102,0.004,0.746,0.75,0.3304360164492774,0.3986529458437505,21621710002.5111
2012-01-01,1.102,0.004,0.746,0.75,0.3304360164492774,0.3986529458437505,21621710002.5111,1.101,0.031,0.694,0.726,0.9672622391515244,0.4023744403881445,16002656434.4746,1.073,0.075,0.639,0.725,0.9767095821256,0.4032853483361435,12854985464.0764,0.896,0.046,0.356,0.724,0.986343291567002,0.4042183058750464,12545438605.3959,0.845,0.06,0.425,0.623,0.9961689370502574,0.4051741234175013,10325618017.379,1.075,0.004,0.79,0.7681,0.3293477329203357,0.3950234260937992,21703106502.4926
2013-01-01,1.075,0.004,0.79,0.7681,0.3293477329203357,0.3950234260937992,21703106502.4926,1.102,0.004,0.746,0.75,0.3304360164492774,0.3986529458437505,21621710002.5111,1.101,0.031,0.694,0.726,0.9672622391515244,0.4023744403881445,16002656434.4746,1.073,0.075,0.639,0.725,0.9767095821256,0.4032853483361435,12854985464.0764,0.896,0.046,0.356,0.724,0.986343291567002,0.4042183058750464,12545438605.3959,1.155,0.003,1.319,0.8045,0.3282665943339756,0.3914825130944841,22162208956.0893
