,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,0.252,1.5,0.02,1.7,-1.48,2.712736061012768,3181921787.7095
1993-01-01,0.261,1.5,0.02,1.681,-1.48,2.712736061012768,3273237853.35689
1994-01-01,0.28,1.5,0.02,1.681,-1.48,2.6410902533074045,3656647744.24858
1995-01-01,0.224,1.5,0.02,1.685,-1.48,2.5731315273342013,3807067121.8609
1996-01-01,0.138,1.3,0.03,1.685,-1.27,2.5085824026426455,3597220962.00017
1997-01-01,0.164,1.2,0.03,1.685,-1.17,2.447192560705995,4303281932.29365
1998-01-01,0.17,1.52,0.419,1.685,-1.101,2.3887356007885616,3537683046.02331
1999-01-01,0.225,1.7,0.15,1.685,-1.55,2.3330062499279114,3404311976.54941
2000-01-01,0.247,1.326,0.0,1.732,-1.326,2.2798179545610244,3600683039.73254
2001-01-01,0.275,1.052,0.0,1.7321,-1.052,3.9438847064684985,4094480988.11931
2002-01-01,0.304,0.778,0.103,1.7722,-0.675,3.794244093922216,4193845678.17033
2003-01-01,0.332,0.504,0.151,1.7722,-0.353,3.65554383775737,4901839731.26571
2004-01-01,0.334,0.231,0.403,1.8003,0.172,3.5266264614645806,6221077674.77871
2005-01-01,0.448,0.243,0.465,1.7946,0.222,3.4064922059227793,8331870169.14977
2006-01-01,0.564,0.552,0.187,1.914,-0.365,3.2942730511921057,12756858899.2812
2007-01-01,1.197,0.417,0.275,1.914,-0.142,3.189211709306944,14056957976.2648
2008-01-01,2.127,0.096,0.264,1.942,0.168,3.090644512617494,17910858637.9048
2009-01-01,1.802,0.589,0.01,1.953,-0.579,2.9979873801635057,15328342303.9575
2010-01-01,1.848,0.578,0.013,1.96,-0.565,2.9107242349289746,20265559483.8548
2011-01-01,2.73,0.029,0.12,1.971,0.091,3.561671526700173,23459515275.5776
2012-01-01,0.945,0.98,0.163,1.971,-0.817,3.439179258304934,25503060420.026
2013-01-01,1.139,1.083,0.073,2.08186,-1.01,3.324832314955575,28037239462.7142
2014-01-01,2.162,1.256,0.013,2.50786,-1.243,3.21784438499816,27141023558.0829
2015-01-01,1.276,1.176,0.785,2.50486,-0.391,3.117527210697939,21251216798.7762
2016-01-01,1.903,0.794,2.185,2.871494,1.391,3.298186940977571,20958412538.3093
2017-01-01,1.622298,1.063,0.753,2.940954,-0.31,3.1928797964886706,25873601260.8353
2018-01-01,1.672846,1.225,0.152,2.942904,-1.073,3.09408924606571,26311590296.7021
2019-01-01,1.610374267,0.976,0.198,3.0324,-0.778,3.00122855606272,23308667781.2258
2020-01-01,2.099272,1.34,0.13,3.0624,-1.21,2.9137793773296363,18110631358.3114
2021-01-01,2.195103459,1.34,0.141604017,3.3654,-1.198395983,2.8792698960228424,18110631358.3114
