,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,6.19,0.0,0.0,0.0,3.2387854808781404,137087876662.216
1993-01-01,6.751,0.0,0.0,0.0,3.2387854808781404,132967901415.22
1994-01-01,5.856,0.0,0.0,0.0,3.137178983452886,135174886488.652
1995-01-01,5.957,0.0,0.0,0.0,3.041753724867934,143343036341.789
1996-01-01,6.563,0.0,0.0,0.0,2.9519623016022503,158662398744.993
1997-01-01,8.025,0.0,0.0,0.0,2.867320093379423,165963557409.88
1998-01-01,6.38,0.0,0.0,0.0,2.7873965130778053,146775498080.0
1999-01-01,5.669,0.0,0.0,0.0,2.7118076803542173,161716960000.0
2000-01-01,9.131,0.0,0.0,0.0,2.6402102558583507,189514926213.333
2001-01-01,7.575,0.0,0.0,0.0,3.6498801014879225,184137469733.333
2002-01-01,9.828,0.0,0.0,0.0,3.52135487075739,189605920240.0
2003-01-01,7.002,0.0,0.0,0.0,3.4015734001488447,215807655253.333
2004-01-01,12.927,0.0,0.0,0.0,3.289672766375878,258742263040.0
2005-01-01,18.579,0.0,0.0,0.0,3.184899979126236,328459700114.755
2006-01-01,13.798,0.0,0.0,0.0,3.086595015133536,376900135727.637
2007-01-01,15.69,0.0,0.0,0.0,2.9941769001880663,415964583055.37
2008-01-01,17.712,0.0,0.0,0.0,2.9071322188338056,519796738640.0
2009-01-01,17.965,0.0,0.0,0.0,2.8250055716757823,429097899280.0
2010-01-01,21.388,0.003,0.001,-0.002,2.7473916057379197,528207332640.0
2011-01-01,23.508,0.074,0.005,-0.069,2.269772241052264,671238840106.667
2012-01-01,23.78,0.4697,0.416,-0.0537,2.2193969843820103,735974843360.0
2013-01-01,20.017,0.482,0.434,-0.048,2.1712092321588408,746647127413.333
2014-01-01,21.144,0.5153,0.465,-0.0503,2.1250695264116097,756350347333.333
2015-01-01,25.275,0.5117,0.461,-0.0507,2.080850016813965,654269902880.0
2016-01-01,26.186,1.0622,0.343,-0.7192,1.9830681351559272,644935541440.0
2017-01-01,32.423,0.0378,0.003,-0.0348,1.944507231855204,688586244293.333
2018-01-01,33.105,0.385,0.351,-0.034,1.9074173632844649,786521831573.333
2019-01-01,31.055,0.033,0.337,0.304,1.87171592866968,792966838160.0
2020-01-01,35.779,0.832,0.464,-0.368,1.8373263978200087,700117873253.333
2021-01-01,37.34907143,0.301707833,0.0,-0.301707833,0.5718695671849408,700117873253.333
