,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Consumption,Electricity: Net Generation,Population: Density,Population: Growth Rate,Economics: GDP
1992-01-01,3.125,3.405,9.85,7.208,38.66,35.34,50.06799903660886,-0.1655186358020965,17793000000.0
1993-01-01,4.047,3.605,9.61,7.208,33.326,31.368,49.98512716763006,-0.1655186358020965,17793000000.0
1994-01-01,3.837,3.85,7.8,7.205,29.627,29.514,49.90225529865125,-0.165793054203687,17793000000.0
1995-01-01,3.636,2.907,10.07,7.205,26.951,23.424,49.81938342967245,-0.1660683840496516,13489222222.2222
1996-01-01,3.757,2.601,11.144,7.39,27.091,22.305,49.73651156069364,-0.1663446298884608,14756846153.8462
1997-01-01,3.801,2.688,10.5,7.408,28.506,24.495,49.65363969171484,-0.1666217962988456,14108846153.8462
1998-01-01,3.796,2.073,10.2,7.408,26.322,21.991,49.57076782273603,-0.1668998878900507,15264369565.2174
1999-01-01,3.544,3.029,10.18,7.408,28.436,24.829,49.487895953757224,-0.1671789093022701,12152867469.8795
2000-01-01,3.41,2.764,10.0,7.859,28.36256,24.53656,49.40502408477842,-0.1674588652066344,12738912133.8912
2001-01-01,3.455,2.718,7.32,7.86,24.70802,23.56102,49.15210693641619,-0.5119259691650601,12354820143.8849
2002-01-01,3.406,3.513,8.4,7.913,26.35038,24.86938,48.89918978805395,-0.5145601361288749,14594249022.8922
2003-01-01,3.45,3.987,9.0,7.955,26.59406,25.03106,48.64627263969171,-0.5172215520512158,17827791321.3067
2004-01-01,3.578,4.723,7.975,7.958,29.01344,29.33944,48.39335549132948,-0.519910641942733,23144351851.8519
2005-01-01,3.634,5.055,9.091,7.9624,29.5093,29.1073,48.14043834296725,-0.522627839699084,30207567316.6202
2006-01-01,3.841,5.789,10.149,8.0284,30.36508,29.84608,47.887521194605014,-0.5253735883341443,36954312354.3124
2007-01-01,3.724,5.062,9.406,8.031,30.4917,29.8717,47.63460404624278,-0.52814834022089,45277399813.6067
2008-01-01,3.714,5.245,7.085,8.069,31.03038,32.90438,47.381686897880535,-0.5309525573398596,60763483146.0674
2009-01-01,3.487,3.933,8.404,8.122,29.46572,28.48172,47.128769749518305,-0.5337867115354787,50874078052.2735
2010-01-01,3.774,5.067,7.767,8.29,31.71764,32.79164,46.87585260115607,-0.5366512847809236,57222490768.7143
2011-01-01,3.412,3.704,9.289,8.3918,32.42488,30.25188,46.84616281310212,-0.063337062488365,61757788944.7236
2012-01-01,3.406,2.797,10.398,8.9928,33.12424,28.92924,46.816473025048175,-0.0633772037475059,65685102554.8759
2013-01-01,3.342,3.012,9.382,9.253304,32.62946,29.60146,46.78678323699422,-0.0634173959197485,75527984234.2342
2014-01-01,3.187,4.488,7.806,10.2622,32.76518,32.63418,46.75709344894027,-0.06345763910196,78813839984.3506
2015-01-01,2.916,3.482,6.104,9.8492,31.7157,32.0097,46.72740366088632,-0.0634979333913687,56454734396.5842
2016-01-01,2.876,3.298,6.319,10.0486,31.6923,31.5473,46.662982658959535,-0.1378655711203363,47722657820.6675
2017-01-01,2.872,3.407,5.992,10.1837,32.16826,32.45526,46.598561657032754,-0.1380559026790108,54726595249.1849
2018-01-01,2.835,4.248,3.257,10.197764,32.83396,36.65996,46.53414065510597,-0.138246760492152,60031262269.3365
2019-01-01,2.711,5.398,3.059,10.236,32.6335,37.6835,46.4697196531792,-0.1384381467452935,64409647193.8044
2020-01-01,2.736,4.777,4.277,11.422,32.9749,36.2109,46.40529865125241,-0.1386300636362426,60258239055.5829
2021-01-01,2.734984716,4.572931835,4.277,11.419,40.83656734,43.86748389,46.16737475915222,-0.5127084600580876,60258239055.5829
