,Electricity: Distribution Losses,Electricity: Exports,Electricity: Net Consumption,Population: Growth Rate,Economics: GDP
2022-01-01,0.45374864512679386,0.019716905757952256,1.4955789423514492,2.869425891456289,11358117427.125174
2023-01-01,0.5194224001266204,0.0231770931603208,1.4677294239234566,2.874499740243152,12379302509.729382
2024-01-01,0.5308102199618973,0.024246607780471663,1.474003132050067,2.8629329984607854,12255535469.394438
2025-01-01,0.495849882021726,0.023294475398959562,1.4262118572361253,2.8028472103679634,11526302210.2725
2026-01-01,0.4220589324821865,0.02217336710890259,1.4756462607971095,2.724019947806257,9029910531.415401
2027-01-01,0.5243087000631926,0.02308630409512081,1.4956733868628467,2.8974879513941647,12436234853.348083
2028-01-01,0.5964012534266528,0.025953703947233273,1.5065299567597665,2.9671053718563716,14074315082.561646
2029-01-01,0.6240717496109259,0.027316006774535016,1.4973948167290505,2.977637123091009,14610072102.591194
2030-01-01,0.6135110836521911,0.02720723456942865,1.474671123631782,2.94593368786341,14291964224.60765
2031-01-01,0.5623527315901341,0.02626161012758476,1.4885091565665838,2.876054517390145,12593147006.554852
