,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.00196,0.014,2.433743397598819,284874919.577641
1993-01-01,0.00266,0.014,2.433743397598819,322417837.161971
1994-01-01,0.00301,0.014,2.375919610935423,356013395.70854
1995-01-01,0.00378,0.017,2.320779749734854,398988954.970263
1996-01-01,0.00413,0.025,2.2681411883404534,450382327.952421
1997-01-01,0.00469,0.025,2.2178375024567707,508223602.378929
1998-01-01,0.00539,0.025,2.1697167115313563,540096397.621071
1999-01-01,0.00609,0.033,2.123639745089429,589239753.610875
2000-01-01,0.0,0.068,2.0794791004220383,624337145.284622
2001-01-01,0.0,0.07,2.798797905892594,870030468.628748
2002-01-01,0.0,0.083,2.722597893075325,897031250.0
2003-01-01,0.0,0.092,2.65043714714976,1052121054.6875
2004-01-01,0.0,0.092,2.582002786164787,1226829562.5
2005-01-01,0.0,0.092,2.517013429292318,1163362437.5
2006-01-01,0.0,0.109,2.455215329725094,1575200390.625
2007-01-01,0.0,0.116,2.396379063597329,1868383460.9375
2008-01-01,0.0,0.142,2.3402966838397483,2271646187.5
2009-01-01,0.0,0.142,2.2867792645448533,2345294875.0
2010-01-01,0.0,0.148,2.235654774729531,2588176054.6875
2011-01-01,0.0,0.1504,4.093590541381462,2774351760.03287
2012-01-01,0.0,0.1559,3.9326057638045224,2886170571.69634
2013-01-01,0.0,0.157093,3.783803682110801,3295011381.75405
2014-01-01,0.0,0.271407,3.645851807186172,3697351596.83753
2015-01-01,0.0,0.272407,3.517605136738724,4109424799.72407
2016-01-01,0.0,0.274407,3.6207189461456193,4379136461.83077
2017-01-01,0.02,0.278407,3.4942036524832467,4754175869.24027
2018-01-01,0.021,0.382407,3.3762312565988744,5300962659.51088
2019-01-01,0.021,0.551407,3.265964734406363,5607762625.14627
2020-01-01,0.022,0.557407,3.1626729511569676,3742769967.42798
2021-01-01,0.022504248,0.561407,0.9086614907918932,3742769967.42798
