,Electricity: Distribution Losses,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Population: Percentage,Economics: GDP
1992-01-01,0.4,0.11,1.22,1.944169065379684,0.0703640322449013,5843579160.90122
1993-01-01,0.52,0.09,1.22,1.944169065379684,0.0706702410717462,7941744492.1211
1994-01-01,0.829,0.1,1.22,1.9070919731886,0.0709675170372514,9599127049.9375
1995-01-01,1.086,0.31,1.22,1.8714026043352912,0.0712562454119356,11718795528.4939
1996-01-01,0.918,0.685,1.262,1.8370244803674187,0.0715367896249156,13690217333.2697
1997-01-01,1.123,0.608,1.309,1.8038866411710175,0.0718094927900424,15751867489.4446
1998-01-01,1.35,1.054,1.344,1.7719231560669222,0.0720746791058377,17247179005.5219
1999-01-01,1.43,1.25,2.2925,1.7410726859800736,0.0723326551412389,17391056369.2265
2000-01-01,1.385,1.4,2.2925,1.7112780905641116,0.0725837110178749,17260364842.4544
2001-01-01,1.416,1.1,2.294,1.5626335160376583,0.0727431274437601,17649751243.7811
2002-01-01,1.529,0.9,2.531,1.538590977744689,0.0728983828411806,19152238805.9701
2003-01-01,1.582,0.532,2.663,1.5152770615872928,0.0730496380257953,20082918739.6352
2004-01-01,1.561,0.216,2.663,1.4926591400307003,0.0731970456317133,21159827992.0602
2005-01-01,1.587,0.455,2.32,1.4707065049613686,0.0733407506252585,21497336498.9462
2006-01-01,1.532,0.929,2.314,1.4493902285872613,0.0734808907804993,22022709851.5526
2007-01-01,1.582,0.972,2.314,1.4286830362621932,0.0736175971198235,24827355014.6449
2008-01-01,1.678,0.561,2.314,1.4085591900581402,0.0737509943225191,29118916105.6182
2009-01-01,1.789,1.155,2.314,1.3889943820404982,0.073881201104039,35399582928.6222
2010-01-01,1.869,1.245,3.2183,1.3699656363161812,0.074008330568376,38443907042.3002
2011-01-01,1.868,0.84,3.264,5.617278513951719,0.0771875884836064,39927125961.2072
2012-01-01,1.645,0.323,3.212,5.3185223033461275,0.0802882726995486,44035991893.0218
2013-01-01,1.838,0.522,3.545,5.049940112174504,0.0833132605225651,46909335550.6109
2014-01-01,1.878,0.136,3.548,4.8071803818089505,0.0862652904669434,48133414840.4075
2015-01-01,1.878,0.268,3.655,4.586689923625994,0.0891469705237879,50065946086.17
2016-01-01,1.969,0.069,3.675,-2.3004341344035164,0.086134399320213,51389318290.8642
2017-01-01,2.254708,0.534,3.709,-2.3546001602178737,0.0831876370696428,53324800958.6119
2018-01-01,2.287767,0.011,3.73,-2.4113784818141437,0.0803045506972718,55276157552.246
2019-01-01,2.21879,0.09,3.751,-2.470962745759005,0.0774830983291294,51953744507.4091
2020-01-01,1.873081,0.0,3.78,-2.5335662232752862,0.0747213244694479,31735217784.5445
2021-01-01,1.802379329,0.09,3.78,-1.5291043159160032,0.0729675657680342,31735217784.5445
