,Electricity: Distribution Losses_lag1,Electricity: Exports_lag1,Electricity: Imports_lag1,Electricity: Net Imports_lag1,Population: Growth Rate_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Exports_lag2,Electricity: Imports_lag2,Electricity: Net Imports_lag2,Population: Growth Rate_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Exports_lag3,Electricity: Imports_lag3,Electricity: Net Imports_lag3,Population: Growth Rate_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Exports_lag4,Electricity: Imports_lag4,Electricity: Net Imports_lag4,Population: Growth Rate_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Exports_lag5,Electricity: Imports_lag5,Electricity: Net Imports_lag5,Population: Growth Rate_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1997-01-01,2.418,0.0,0.0,0.0,5.3142160230811335,73571233996.1863,2.273,0.0,0.0,0.0,5.612475072685205,65743666575.8649,2.136,0.0,0.0,0.0,5.946204307197584,59305093979.842,1.956,0.0,0.0,0.0,6.322131141436374,55625170253.337,1.682,0.0,0.0,0.0,6.322131141436374,54239171887.769,1.885,0.0,0.0,0.0,5.046057620479678,78839008444.5655
1998-01-01,1.885,0.0,0.0,0.0,5.046057620479678,78839008444.5655,2.418,0.0,0.0,0.0,5.3142160230811335,73571233996.1863,2.273,0.0,0.0,0.0,5.612475072685205,65743666575.8649,2.136,0.0,0.0,0.0,5.946204307197584,59305093979.842,1.956,0.0,0.0,0.0,6.322131141436374,55625170253.337,1.793,0.0,0.0,0.0,4.803662064796919,75674336283.1858
1999-01-01,1.793,0.0,0.0,0.0,4.803662064796919,75674336283.1858,1.885,0.0,0.0,0.0,5.046057620479678,78839008444.5655,2.418,0.0,0.0,0.0,5.3142160230811335,73571233996.1863,2.273,0.0,0.0,0.0,5.612475072685205,65743666575.8649,2.136,0.0,0.0,0.0,5.946204307197584,59305093979.842,0.884,0.0,0.0,0.0,4.583486845933838,84445473110.9598
2000-01-01,0.884,0.0,0.0,0.0,4.583486845933838,84445473110.9598,1.793,0.0,0.0,0.0,4.803662064796919,75674336283.1858,1.885,0.0,0.0,0.0,5.046057620479678,78839008444.5655,2.418,0.0,0.0,0.0,5.3142160230811335,73571233996.1863,2.273,0.0,0.0,0.0,5.612475072685205,65743666575.8649,1.351,0.0,0.0,0.0,4.382610471465674,104337372362.151
2001-01-01,1.351,0.0,0.0,0.0,4.382610471465674,104337372362.151,0.884,0.0,0.0,0.0,4.583486845933838,84445473110.9598,1.793,0.0,0.0,0.0,4.803662064796919,75674336283.1858,1.885,0.0,0.0,0.0,5.046057620479678,78839008444.5655,2.418,0.0,0.0,0.0,5.3142160230811335,73571233996.1863,3.098,0.0,0.0,0.0,15.895904324842688,103311640571.818
2002-01-01,3.098,0.0,0.0,0.0,15.895904324842688,103311640571.818,1.351,0.0,0.0,0.0,4.382610471465674,104337372362.151,0.884,0.0,0.0,0.0,4.583486845933838,84445473110.9598,1.793,0.0,0.0,0.0,4.803662064796919,75674336283.1858,1.885,0.0,0.0,0.0,5.046057620479678,78839008444.5655,3.362,0.0,0.0,0.0,13.715673920873275,109816201497.617
2003-01-01,3.362,0.0,0.0,0.0,13.715673920873275,109816201497.617,3.098,0.0,0.0,0.0,15.895904324842688,103311640571.818,1.351,0.0,0.0,0.0,4.382610471465674,104337372362.151,0.884,0.0,0.0,0.0,4.583486845933838,84445473110.9598,1.793,0.0,0.0,0.0,4.803662064796919,75674336283.1858,3.548,0.0,0.0,0.0,12.06137504880556,124346358066.712
2004-01-01,3.548,0.0,0.0,0.0,12.06137504880556,124346358066.712,3.362,0.0,0.0,0.0,13.715673920873275,109816201497.617,3.098,0.0,0.0,0.0,15.895904324842688,103311640571.818,1.351,0.0,0.0,0.0,4.382610471465674,104337372362.151,0.884,0.0,0.0,0.0,4.583486845933838,84445473110.9598,3.761,0.0,0.0,0.0,10.76318673008653,147824370319.946
2005-01-01,3.761,0.0,0.0,0.0,10.76318673008653,147824370319.946,3.548,0.0,0.0,0.0,12.06137504880556,124346358066.712,3.362,0.0,0.0,0.0,13.715673920873275,109816201497.617,3.098,0.0,0.0,0.0,15.895904324842688,103311640571.818,1.351,0.0,0.0,0.0,4.382610471465674,104337372362.151,3.757,0.0,0.0,0.0,9.717296014888792,180617467964.602
2006-01-01,3.757,0.0,0.0,0.0,9.717296014888792,180617467964.602,3.761,0.0,0.0,0.0,10.76318673008653,147824370319.946,3.548,0.0,0.0,0.0,12.06137504880556,124346358066.712,3.362,0.0,0.0,0.0,13.715673920873275,109816201497.617,3.098,0.0,0.0,0.0,15.895904324842688,103311640571.818,4.132,0.0,0.0,0.0,8.856667424222833,222116541865.214
