,Electricity: Distribution Losses_lag1,Electricity: Installed Capacity_lag1,Electricity: Net Consumption_lag1,Population: Growth Rate_lag1,Population: Percentage_lag1,Economics: GDP_lag1,Electricity: Distribution Losses_lag2,Electricity: Installed Capacity_lag2,Electricity: Net Consumption_lag2,Population: Growth Rate_lag2,Population: Percentage_lag2,Economics: GDP_lag2,Electricity: Distribution Losses_lag3,Electricity: Installed Capacity_lag3,Electricity: Net Consumption_lag3,Population: Growth Rate_lag3,Population: Percentage_lag3,Economics: GDP_lag3,Electricity: Distribution Losses_lag4,Electricity: Installed Capacity_lag4,Electricity: Net Consumption_lag4,Population: Growth Rate_lag4,Population: Percentage_lag4,Economics: GDP_lag4,Electricity: Distribution Losses_lag5,Electricity: Installed Capacity_lag5,Electricity: Net Consumption_lag5,Population: Growth Rate_lag5,Population: Percentage_lag5,Economics: GDP_lag5,Electricity: Distribution Losses,Electricity: Installed Capacity,Electricity: Net Consumption,Population: Growth Rate,Population: Percentage,Economics: GDP
1997-01-01,11.522,42.472,156.54566,1.0924204830670554,0.32361235621222,401089529590.288,11.507,41.789,152.334,1.1044861156267942,0.3247174969586263,367915800415.8,10.866,41.141,147.502,1.1168212512835909,0.3258548773669328,322807333102.733,10.658,39.518,143.988,1.1294350216245332,0.3270259290842983,312126194491.287,10.626,38.394,140.1334,1.1294350216245332,0.3282321697971646,325480273782.973,11.633,43.148,161.721,1.0806156167267116,0.3225381035079692,435323994365.315
1998-01-01,11.633,43.148,161.721,1.0806156167267116,0.3225381035079692,435323994365.315,11.522,42.472,156.54566,1.0924204830670554,0.32361235621222,401089529590.288,11.507,41.789,152.334,1.1044861156267942,0.3247174969586263,367915800415.8,10.866,41.141,147.502,1.1168212512835909,0.3258548773669328,322807333102.733,10.658,39.518,143.988,1.1294350216245332,0.3270259290842983,312126194491.287,13.322,44.335,172.088,1.0690631533390589,0.32149346173881,399404463135.047
1999-01-01,13.322,44.335,172.088,1.0690631533390589,0.32149346173881,399404463135.047,11.633,43.148,161.721,1.0806156167267116,0.3225381035079692,435323994365.315,11.522,42.472,156.54566,1.0924204830670554,0.32361235621222,401089529590.288,11.507,41.789,152.334,1.1044861156267942,0.3247174969586263,367915800415.8,10.866,41.141,147.502,1.1168212512835909,0.3258548773669328,322807333102.733,15.453,45.539,176.177,1.057755083488908,0.3204772232454549,389098884572.001
2000-01-01,15.453,45.539,176.177,1.057755083488908,0.3204772232454549,389098884572.001,13.322,44.335,172.088,1.0690631533390589,0.32149346173881,399404463135.047,11.633,43.148,161.721,1.0806156167267116,0.3225381035079692,435323994365.315,11.522,42.472,156.54566,1.0924204830670554,0.32361235621222,401089529590.288,11.507,41.789,152.334,1.1044861156267942,0.3247174969586263,367915800415.8,14.98,46.626,182.96956,1.046683733094054,0.3194882451590847,415576210513.094
2001-01-01,14.98,46.626,182.96956,1.046683733094054,0.3194882451590847,415576210513.094,15.453,45.539,176.177,1.057755083488908,0.3204772232454549,389098884572.001,13.322,44.335,172.088,1.0690631533390589,0.32149346173881,399404463135.047,11.633,43.148,161.721,1.0806156167267116,0.3225381035079692,435323994365.315,11.522,42.472,156.54566,1.0924204830670554,0.32361235621222,401089529590.288,18.151,47.578,193.37082,1.5780896197978722,0.3202386682652341,379083932596.329
2002-01-01,18.151,47.578,193.37082,1.5780896197978722,0.3202386682652341,379083932596.329,14.98,46.626,182.96956,1.046683733094054,0.3194882451590847,415576210513.094,15.453,45.539,176.177,1.057755083488908,0.3204772232454549,389098884572.001,13.322,44.335,172.088,1.0690631533390589,0.32149346173881,399404463135.047,11.633,43.148,161.721,1.0806156167267116,0.3225381035079692,435323994365.315,15.062,50.31,199.56076,1.5535728479484003,0.3209695041055928,395342716617.832
2003-01-01,15.062,50.31,199.56076,1.5535728479484003,0.3209695041055928,395342716617.832,18.151,47.578,193.37082,1.5780896197978722,0.3202386682652341,379083932596.329,14.98,46.626,182.96956,1.046683733094054,0.3194882451590847,415576210513.094,15.453,45.539,176.177,1.057755083488908,0.3204772232454549,389098884572.001,13.322,44.335,172.088,1.0690631533390589,0.32149346173881,399404463135.047,11.25,51.616,202.29056,1.5298061942877137,0.3216815096898951,467390797903.32
2004-01-01,11.25,51.616,202.29056,1.5298061942877137,0.3216815096898951,467390797903.32,15.062,50.31,199.56076,1.5535728479484003,0.3209695041055928,395342716617.832,18.151,47.578,193.37082,1.5780896197978722,0.3202386682652341,379083932596.329,14.98,46.626,182.96956,1.046683733094054,0.3194882451590847,415576210513.094,15.453,45.539,176.177,1.057755083488908,0.3204772232454549,389098884572.001,11.644,51.869,211.34346,1.5067557514689551,0.3223754035147557,614166310997.297
2005-01-01,11.644,51.869,211.34346,1.5067557514689551,0.3223754035147557,614166310997.297,11.25,51.616,202.29056,1.5298061942877137,0.3216815096898951,467390797903.32,15.062,50.31,199.56076,1.5535728479484003,0.3209695041055928,395342716617.832,18.151,47.578,193.37082,1.5780896197978722,0.3202386682652341,379083932596.329,14.98,46.626,182.96956,1.046683733094054,0.3194882451590847,415576210513.094,15.352,50.635,200.1373,1.4843896254138238,0.3230518679821189,695075176665.163
2006-01-01,15.352,50.635,200.1373,1.4843896254138238,0.3230518679821189,695075176665.163,11.644,51.869,211.34346,1.5067557514689551,0.3223754035147557,614166310997.297,11.25,51.616,202.29056,1.5298061942877137,0.3216815096898951,467390797903.32,15.062,50.31,199.56076,1.5535728479484003,0.3209695041055928,395342716617.832,18.151,47.578,193.37082,1.5780896197978722,0.3202386682652341,379083932596.329,15.699,51.2141,204.131836,1.4626777880744148,0.3237115516377279,747556154537.287
