,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Population: Growth Rate,Population: Percentage,Economics: GDP
1992-01-01,2.372,0.0,0.0,5.173,1.4616089795842335,0.2586537647314835,45964327558.8836
1993-01-01,2.88,0.0,0.0,5.205,1.4616089795842335,0.2585496847507619,49297773130.1185
1994-01-01,2.77,0.0,0.0,5.835,1.4405537170993612,0.2584486410379545,57008425295.8256
1995-01-01,2.927,0.0,0.0,6.295,1.4200964646908605,0.2583505026401149,73447063319.3034
1996-01-01,2.688,0.0,0.0,7.592,1.400212102130334,0.2582551460281603,78039572221.6024
1997-01-01,2.519,0.0,0.0,7.89,1.3808768967071192,0.2581624545781403,84952360922.4958
1998-01-01,2.903,0.0,0.0,8.735,1.3620684087335837,0.2580723180954008,81577430181.4602
1999-01-01,2.105,0.0,0.12,9.052,1.3437654046690823,0.2579846323775595,75173794497.0494
2000-01-01,2.924,0.0,1.19,9.894,1.3259477771556856,0.2578992988126536,77860932151.9302
2001-01-01,3.131,0.0,1.351,10.493,1.0763318357672658,0.2572281416992854,70979923960.3422
2002-01-01,2.698,0.0,1.8,10.542,1.0648702977430158,0.2565745028801424,69736811435.1319
2003-01-01,2.849,0.0,1.7,10.993,1.0536502887757713,0.255937705307218,75643459839.5605
2004-01-01,4.034,0.0,1.903,11.87,1.0426642538540642,0.255317106377546,99210392857.6283
2005-01-01,4.54,0.0,2.152,12.586,1.0319049498086703,0.2547120957702083,122964812046.139
2006-01-01,4.904,0.0,2.285,12.865,1.0213654293871892,0.2541220934443117,154788024805.865
2007-01-01,4.935,0.0,1.62766,13.18,1.011039026294988,0.2535465477841295,173605968179.267
2008-01-01,5.081,0.0,1.154,14.019,1.000919341134396,0.2529849338789413,179638496278.497
2009-01-01,6.404,0.0,1.348,16.196,0.9910002281798466,0.2524367519262934,172389498444.68
2010-01-01,4.967,0.0,0.958,16.732,0.9812757829319289,0.2519015257484722,218537551220.123
2011-01-01,4.687001,0.0,0.732,18.116,1.0185294635513265,0.2512833611420956,252251992029.518
2012-01-01,3.498998,0.0,0.0,19.012,1.008260037995154,0.2506804741511839,267122320056.772
2013-01-01,4.889999,0.0,0.0,19.782,0.9981956303532664,0.2500923053216117,278384332694.3
2014-01-01,4.363999,0.0,0.0,21.439,0.9883301618640972,0.2495183221855359,260541637327.855
2015-01-01,3.707,0.0,0.0,22.402,0.9786577917270048,0.248958017653617,243919079437.422
2016-01-01,2.872999,0.002,0.0,25.456,1.600650336841531,0.2501497144101303,250440149690.846
2017-01-01,4.175212,0.039,0.0,27.341462,1.5754331606488912,0.2513153788140298,277034675515.684
2018-01-01,3.5114358,0.0,0.0,28.298514,1.5509982203642196,0.2524558546556049,297571693064.193
2019-01-01,3.570323,0.0,0.0,28.186801,1.527309674493357,0.2535719496484077,279385487344.492
2020-01-01,3.28122,0.0,0.0,30.453282,1.5043338382451614,0.2546644373369642,252940023046.007
2021-01-01,3.31627,0.0,0.0,32.658282,0.7860441656004059,0.2545341803672308,252940023046.007
