,Electricity: Distribution Losses,Electricity: Exports,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.01071,0.0,0.145,3.6049215819718463,3386232592.01834
1993-01-01,0.01043,0.0,0.145,3.6049215819718463,3052673622.85839
1994-01-01,0.00966,0.0,0.145,3.479488741391136,1938058161.25116
1995-01-01,0.00973,0.0,0.145,3.3624912373570544,2302537682.18029
1996-01-01,0.01001,0.0,0.145,3.253105838592433,2405687081.12795
1997-01-01,0.0098,0.0,0.145,3.150613061148729,2290318800.33457
1998-01-01,0.00952,0.0,0.145,3.0543813242108717,2643363406.97664
1999-01-01,0.00994,0.0,0.145,2.9638539234947396,2537790022.73535
2000-01-01,0.039,0.0,0.1455,2.878538254499477,2241753120.21267
2001-01-01,0.038,0.0,0.1456,4.3233440867477535,2448714680.56221
2002-01-01,0.031,0.0,0.1456,4.144177053174941,2782192986.95772
2003-01-01,0.052,0.0,0.1457,3.9792690963979505,3394084884.67098
2004-01-01,0.059,0.001,0.1328,3.826983139022455,3760443965.72976
2005-01-01,0.067,0.001,0.134,3.6859234693337934,4383315656.99096
2006-01-01,0.08,0.002,0.134,3.5548928398404476,4756361479.98873
2007-01-01,0.098,0.002,0.134,3.432858402295375,5731485267.33492
2008-01-01,0.09,0.002,0.134,3.318924426262599,7297600896.86099
2009-01-01,0.115,0.002,0.135,3.212310275869413,7352131669.2941
2010-01-01,0.114,0.002,0.136,3.112332499179072,7851191899.3408
2011-01-01,0.138,0.0,0.137,4.181495131143373,8772951261.81807
2012-01-01,0.158,0.0,0.138,4.013663967751391,9426913349.22319
2013-01-01,0.149,0.003,0.192,3.85878529285904,10224897934.722
2014-01-01,0.185,0.0,0.23,3.715415390212864,10862944203.5591
2015-01-01,0.209,0.0,0.277,3.582317417554758,9683867893.68343
2016-01-01,0.123,0.0,0.288,4.178745122993082,10398862244.9737
2017-01-01,0.203377,0.0,0.29,4.01113021476662,11185102399.5762
2018-01-01,0.294718,0.0,0.318041,3.8564432541827656,12808660528.0617
2019-01-01,0.312884,0.0,0.318041,3.713244102481287,12916455161.1081
2020-01-01,0.329513,0.0,0.324041,3.580298865988755,13741378450.136
2021-01-01,0.330214979,0.0,0.324041,3.851331073005562,13741378450.136
