Country,MSE,MAE,R2
Albania,3.2965558239757215e+18,1589106790.9377697,-0.6437289730481879
Algeria,2.2139198934858234e+22,134081577345.47931,-40.3875429238642
Angola,1.0065692914987104e+22,77898709673.74323,-10.806219708898967
Antigua and Barbuda,4.6243858281707736e+16,174382457.28302097,-1.0212708064741638
Argentina,4.60502321926055e+21,50305750368.50247,0.330350255283017
Armenia,1.0337768384746485e+20,7633488981.106471,-104.42133699503019
Aruba,3.413054661790975e+17,421356818.3393897,-10.105412599096775
Australia,5.8826387392387075e+23,716664658614.3634,-59.26994344718002
Austria,2.0892330163415745e+21,35562245780.03666,-3.1322427205222683
Azerbaijan,7.347954421137357e+20,17137126059.11539,-3.220263736771317
Bahamas,2.4364973502349286e+18,1414112833.544774,-0.8426722501465032
Bahrain,4.455358342101932e+19,5325820624.655872,-6.8156370148295125
Bangladesh,1.4246589773685058e+21,33751459282.693962,0.6188061475140629
Barbados,1.5149183534515645e+17,349276011.65555733,-1.258920430034017
Belarus,1.915679690724028e+20,10183171379.763771,-1.2421587819766238
Belgium,8.800605745399563e+21,81847008000.47018,-11.765329398917826
Belize,2.809142339308672e+16,115164447.10698284,-0.6066951173073403
Benin,2.508285103473888e+18,1116953000.412692,-0.1542056897921833
Bermuda,3.3312119125509395e+17,506393037.2847993,-2.013704725136564
Bhutan,1.073490116794644e+17,275576177.5499923,-0.651389710515865
Bolivia,2.0479081111418466e+19,3567519872.448766,-0.9241014943970334
Bosnia and Herzegovina,3.720444623191995e+19,5223787393.683069,-18.06087494167009
Botswana,2.713015216341488e+18,1346319666.2449164,-2.0001825712446424
Brazil,5.417425271176539e+24,2015210536304.0876,-43.46925316232491
Brunei Darussalam,3.890267656790282e+19,4904456178.758282,-6.784877793935501
Bulgaria,1.8481227429232783e+19,3640954406.469818,0.6288237103166157
Burkina Faso,4.982122367187521e+19,5063300814.856711,-10.68723196379749
Burundi,2.893194483716549e+16,121867930.64459684,-0.023676891659875965
COD,3.0277180131938464e+19,4796464763.16912,0.25797770363243266
Cabo Verde,2.5414581964197744e+16,138693226.81329912,-0.5742611358321144
Cambodia,3.307831360291133e+18,1084795290.6163173,0.8070549577140348
Cameroon,1.0677506917603131e+20,7915147332.495451,-9.691789439977708
Canada,1.7446734033744778e+22,106147310838.23451,-0.7237199264384382
Central African Republic,6.596524848558697e+17,803103983.6932492,-8.816993474069996
Chad,3.4711611888746974e+20,17285878505.400803,-232.33245370374047
Chile,4.853249659136069e+21,53593894445.13032,-16.118404981168204
China,2.0755234302849705e+25,3763093248664.771,-4.95293385609826
Colombia,1.3637616589794851e+23,322518073800.12054,-83.14503774875901
Comoros,8021630592752302.0,83120094.93813853,0.0182561334841157
Costa Rica,2.7094820862687615e+20,12312604285.923548,-12.885150350916527
Croatia,2.2083377279932085e+20,13390574071.674835,-14.333158912725521
Cyprus,1.0954802207855796e+19,2727007550.40518,-2.0622294546611153
Denmark,5.019788745090974e+20,20838900649.932014,-0.4039471490011237
Dominica,8217953421868766.0,81861748.41633503,-5.424219288684176
Dominican Republic,3.696874426810109e+19,4352022055.517447,0.4130815627512392
Ecuador,6.951475947905273e+19,6400385199.436781,-3.152150838638641
Egypt,1.0303992405629065e+22,68696853829.68359,-4.572623416265506
El Salvador,1.7111983348719762e+18,1160141506.720397,0.20369984679246866
Equatorial Guinea,4.915877198581881e+19,6270972036.171816,-1.5426656838160606
Estonia,1.1313914041889028e+19,2989447794.4646745,-0.2520941773715808
Eswatini,2.847324563726357e+18,1457914417.904096,-31.80405066221173
Ethiopia,2.948842515657911e+21,39514137865.09843,-6.144958148334949
Fiji,1.1037447574683575e+18,833337767.0133967,-4.3782277848476685
Finland,1.0931335363357295e+21,30759813049.222115,-4.316956817710906
France,1.6590636631448682e+23,300965679865.52386,-7.634229844399908
Gabon,6.747930991482479e+19,7274559652.990514,-33.7175159000883
Georgia,1.1515108550273984e+20,8148513855.034263,-113.78635128783694
Germany,1.1418723294687183e+23,297389999834.4293,-1.9728381807115487
Ghana,5.128285105743125e+19,4673747200.148058,-0.15039699551072028
Greece,1.8048687882302815e+21,40777816711.990204,-4.653495442127645
Grenada,2.3306975753482904e+16,114574448.38802053,-0.8935772863415796
Guatemala,3.1249359734845702e+19,5066768448.791228,0.5802728614362593
Guinea,1.955804296867968e+18,1050012071.455801,0.7590181358653001
Guinea-Bissau,2.810671966268093e+16,142211821.34914923,0.14568580968728195
Guyana,1.083444848056674e+18,999615968.7083906,-3.3531211463885144
Haiti,3.6794547112739436e+18,1522012273.0835109,-8.07210519327081
Honduras,4.880120354873913e+19,5309284064.51362,-10.34417684060886
Hong Kong,5.609653234254891e+20,20638328859.741497,0.34381453256351935
Hungary,2.8870645803301172e+20,14746164968.92822,-0.6427720025225678
Iceland,6.601171760659549e+19,7538039343.693826,-4.7928739114060175
India,8.490543249376031e+22,230825262396.76825,0.2572134659435289
Indonesia,3.4737486883977117e+22,175878874350.60883,-3.789980542437685
Iran,3.5015054406855216e+22,145544462471.7306,-2.576074569835001
Iraq,4.968464108244024e+21,55454309185.3381,-4.239260963053193
Ireland,9.103580944352363e+21,86241586339.20543,-0.9823104794671405
