Country,MSE,MAE,R2
Israel,3.335250132703085e+20,14178493407.94711,0.8282157686911431
Italy,3.4277728434872845e+23,530996315728.0378,-24.704274234761794
Jamaica,7.860395695137928e+17,801620174.0155735,-0.40971489187690335
Japan,2.452156108929877e+24,1454939992057.0737,-55.0336608407632
Jordan,1.5455856397250013e+21,26010291022.817654,-142.59052143024917
Kazakhstan,1.2588567226897117e+21,27311369158.441372,-0.617259861570356
Kenya,7.114843331164459e+19,5863011030.361355,0.670715989563127
Kiribati,112950057108174.48,9447085.241916252,-0.30372630122766897
Kuwait,2.494599997566709e+22,141330236719.76767,-43.69085914225701
Kyrgyzstan,1.0810187683882914e+19,2561570639.849715,-25.545507397143805
Laos,1.4885186810458676e+20,8485347833.690892,-22.09034502946436
Latvia,4.312646059287752e+20,17114711015.517931,-64.94972423210271
Lebanon,1.8086256433779368e+21,33100908732.115654,-24.905687348048684
Lesotho,7.092037116306597e+16,215766794.33097076,-0.42477035350713077
Lithuania,2.0647138454905967e+19,3577617760.929668,0.29517810759541785
Luxembourg,1.183962145265055e+20,9653052358.787111,-4.797870213526849
Madagascar,7.713315658246605e+18,2287072385.7783227,-10.194797815283088
Malawi,4.118733251019375e+19,5793483634.786533,-4.765104623154411
Malaysia,1.3816247747116458e+22,93191215399.15578,-29.829991420271096
Maldives,1.0433198102131062e+18,897194539.3468952,-0.8951571480113818
Mali,8.95987173342192e+18,2399399393.4123287,-1.9140386496157773
Malta,1.8960311885757657e+19,4135084912.045576,-5.323962279246116
Mauritania,1.161629770419956e+18,902910798.0863367,-1.8070454971071799
Mauritius,1.8283145904956923e+18,1210329349.9762247,-0.403236175102629
Mexico,3.8502032653285e+22,166329617679.0736,-3.9277395366562002
Moldova,1.2392420028490047e+19,3087375179.998145,-3.977514261362015
Mongolia,3.3316812766347694e+19,5182855499.756388,-35.184061159712556
Morocco,8.660277988932905e+19,7977611087.400944,-1.3454279716551607
Mozambique,2.0890769270460424e+19,3894622304.283527,-6.033661922104314
Myanmar,2.7417551444149346e+21,40296464084.759575,-50.42741227676944
Namibia,1.451886819546839e+18,1044230395.9572743,-0.33200288525062116
Nepal,5.0730429509846065e+19,5350401142.562139,-1.1403808266453996
Netherlands,5.426387820014546e+21,71467331749.52467,-0.765746063660671
New Zealand,1.117728524948959e+20,9188566869.727455,0.2034507935113934
Nicaragua,4.186603126803408e+18,1613281702.9834452,-6.228373081244987
Niger,4.5201549061501317e+18,1848644896.947203,-1.040693595886811
Nigeria,2.4586063794837356e+22,144722171304.75543,-7.815326433212634
North Macedonia,3.3743819054364554e+18,1484506511.030205,-3.3231910284287896
Norway,3.4047361836162136e+23,508744666627.0534,-108.48555648005168
Oman,7.547983178226237e+21,67636826961.20558,-138.31769783216535
Pakistan,2.463315505300766e+21,44129196849.601036,-2.978671379261814
Panama,1.376195860906488e+21,26148261831.911144,-30.27984479054143
Papua New Guinea,1.0514662396901286e+20,9724757716.572748,-47.370781656824995
Paraguay,1.666126721758917e+19,3091436177.2037725,-4.135145535844383
Peru,1.6395102071425839e+21,31106446087.152588,-9.961606016472631
Philippines,1.7174086820420144e+22,92318985068.44347,-17.59324349977277
Poland,1.096944186509814e+23,212954281471.46964,-47.11776957599483
Portugal,8.556734357732861e+20,25477606157.77844,-3.829461042653188
Puerto Rico,2.2147968107745848e+18,1154077068.7217,-0.8816521094415304
Republic of the Congo,1.5713794918319538e+20,9775179247.508984,-17.303733161001837
Romania,1.7266072927605406e+21,33753497978.25891,-1.1979772024307702
Russia,7.540690900411497e+23,761956078677.7107,-6.8531330673371
Rwanda,1.5604430165242733e+19,2940217761.3062224,-17.43340955076784
Saint Kitts and Nevis,9979535195360260.0,75230353.4638483,-0.17956238017810766
Saint Lucia,4.732705337168822e+16,163779174.75235546,-0.4591909339764464
Saint Vincent and the Grenadines,800707253637875.5,22699358.03554164,0.3729373792185471
Samoa,4570463645502524.0,56511344.23517939,-4.82263375423518
Saudi Arabia,5.465416886756517e+23,502977771508.8694,-208.2846973330013
Senegal,1.880803952746071e+18,1142622638.280935,0.6934323746430717
Seychelles,6.066220999550824e+16,233864906.3666888,-0.8237716444527483
Sierra Leone,4.7970321283811795e+17,602262533.4943373,-1.4582856071725785
Singapore,9.502936381679754e+20,27080812939.214836,-0.5567960615852245
Slovenia,1.3294305144842794e+20,10245033658.961632,-7.5036869884611015
Solomon Islands,1.19142161837484e+18,914259542.6764423,-91.93884107854248
South Africa,1.047038878193113e+21,27775658098.10585,-0.22161288591244022
South Korea,2.1514333405715266e+23,375352142294.41547,-17.37398621101912
Spain,3.4090819136938112e+22,155077487820.13757,-5.781146737228079
Sri Lanka,1.2296063255623537e+20,8708348090.287218,-6.872867957026175
Sudan,5.967482683101061e+20,23037197564.597553,-3.8725521088142036
Suriname,1.381514569551526e+19,2248054602.646501,-16.17383220863455
Sweden,9.949887530350169e+21,97939231727.2261,-14.316516562473586
Switzerland,1.1347750982922502e+21,26807239694.216797,-1.770626714853655
Tajikistan,2.6079586446467953e+18,1513398890.315715,-7.121869843037242
Tanzania,8.24330175453921e+19,7990472758.8811455,-1.1318242240219534
Thailand,6.384369151369665e+21,57302480851.24817,-1.53083532855312
Togo,4.276421223328411e+17,544780195.6558843,0.7578065206455707
Tonga,1.052112369949723e+17,302190963.69891036,-123.86868093196296
Trinidad and Tobago,9.639635520752943e+20,24392362283.951214,-205.26713099340085
Tunisia,2.736014468060753e+20,15142339025.13605,-27.89862447934765
Turkmenistan,7.141991358815974e+20,20694860930.35884,-51.167317007820664
Türkiye,6.375563254394726e+22,241549813032.63123,-8.046423768884122
Uganda,1.0388548735594237e+20,8565599537.041402,-10.056944758209003
Ukraine,7.991930528647852e+21,85113645788.36127,-7.473613114520585
United Arab Emirates,1.2312843170537988e+22,89130142201.75035,-18.697287357206317
United Kingdom,2.5942084408384322e+23,471561917633.727,-17.286997475220474
United States,1.3828345716745998e+24,1009494999711.3416,0.4485295865245207
United States Minor Outlying Islands,3.812333709976061e+18,1580385406.208163,-7.015538756004508
Uruguay,9.033104368167426e+19,7998461742.456,-4.291063056284234
Uzbekistan,4.2635820988468245e+20,17107013943.03049,-1.9288217796985814
Vanuatu,6.947746339328258e+16,223680252.94854417,-12.545595101038682
Vietnam,1.7114727417240415e+21,27025854773.103806,-0.3023439231272782
Western Sahara,4.4146432200894896e+23,494407385206.1724,-67.30017842879423
Yemen,7.10740903535389e+20,21903974749.47897,-7.740398305390881
Zambia,4.257011033844253e+20,18095911740.364933,-31.91839530246576
Zimbabwe,1.420354543007396e+20,8628238902.937181,-155.42153009466873
